Title:               All-Transactions House Price Index for Goldsboro, NC (MSA)
Series ID:           ATNHPIUS24140Q
Source:              U.S. Federal Housing Finance Agency
Release:             House Price Index (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Index 1995:Q1=100
Date Range:          1990-07-01 to 2018-07-01
Last Updated:        2018-11-27 9:11 AM CST
Notes:               Estimated using sales prices and appraisal data.

DATE         VALUE
1990-07-01   86.97
1990-10-01   87.38
1991-01-01   88.12
1991-04-01   89.20
1991-07-01   86.39
1991-10-01   90.97
1992-01-01   92.86
1992-04-01   91.95
1992-07-01   93.74
1992-10-01   93.97
1993-01-01   94.57
1993-04-01   92.34
1993-07-01   94.57
1993-10-01   96.15
1994-01-01   95.93
1994-04-01   98.71
1994-07-01   99.62
1994-10-01   99.61
1995-01-01  100.00
1995-04-01  106.47
1995-07-01  105.21
1995-10-01  103.74
1996-01-01  106.54
1996-04-01  105.74
1996-07-01  107.47
1996-10-01  108.56
1997-01-01  108.01
1997-04-01  108.46
1997-07-01  109.17
1997-10-01  113.80
1998-01-01  112.80
1998-04-01  115.27
1998-07-01  115.44
1998-10-01  115.16
1999-01-01  116.74
1999-04-01  117.82
1999-07-01  116.98
1999-10-01  118.93
2000-01-01  118.52
2000-04-01  121.25
2000-07-01  124.07
2000-10-01  124.58
2001-01-01  126.15
2001-04-01  125.79
2001-07-01  128.33
2001-10-01  127.50
2002-01-01  128.08
2002-04-01  129.81
2002-07-01  130.81
2002-10-01  130.52
2003-01-01  132.55
2003-04-01  132.95
2003-07-01  134.17
2003-10-01  138.28
2004-01-01  137.16
2004-04-01  135.28
2004-07-01  140.27
2004-10-01  140.04
2005-01-01  141.72
2005-04-01  142.32
2005-07-01  147.77
2005-10-01  144.52
2006-01-01  152.05
2006-04-01  148.85
2006-07-01  151.64
2006-10-01  153.56
2007-01-01  152.74
2007-04-01  158.32
2007-07-01  156.64
2007-10-01  157.90
2008-01-01  158.71
2008-04-01  160.76
2008-07-01  157.24
2008-10-01  159.65
2009-01-01  160.67
2009-04-01  160.02
2009-07-01  158.52
2009-10-01  161.04
2010-01-01  159.35
2010-04-01  156.31
2010-07-01  156.52
2010-10-01  158.50
2011-01-01  153.38
2011-04-01  148.68
2011-07-01  155.67
2011-10-01  155.45
2012-01-01  154.16
2012-04-01  150.81
2012-07-01  156.59
2012-10-01  155.51
2013-01-01  155.32
2013-04-01  158.55
2013-07-01  155.03
2013-10-01  158.83
2014-01-01  148.74
2014-04-01  154.43
2014-07-01  154.65
2014-10-01  148.39
2015-01-01  158.61
2015-04-01  151.93
2015-07-01  158.31
2015-10-01  150.64
2016-01-01  159.06
2016-04-01  158.29
2016-07-01  157.02
2016-10-01  158.33
2017-01-01  159.12
2017-04-01  153.47
2017-07-01  154.24
2017-10-01  147.15
2018-01-01  162.09
2018-04-01  161.38
2018-07-01  169.73
