Title:               All-Transactions House Price Index for Greensboro-High Point, NC (MSA)
Series ID:           ATNHPIUS24660Q
Source:              U.S. Federal Housing Finance Agency
Release:             House Price Index (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Index 1995:Q1=100
Date Range:          1979-01-01 to 2018-07-01
Last Updated:        2018-11-27 9:11 AM CST
Notes:               Estimated using sales prices and appraisal data.

DATE         VALUE
1979-01-01   49.73
1979-04-01   51.11
1979-07-01   54.36
1979-10-01   54.42
1980-01-01   54.25
1980-04-01   52.45
1980-07-01   54.93
1980-10-01   55.66
1981-01-01   54.52
1981-04-01   56.64
1981-07-01   56.12
1981-10-01   60.23
1982-01-01   60.04
1982-04-01   57.15
1982-07-01   60.95
1982-10-01   62.43
1983-01-01   63.15
1983-04-01   61.37
1983-07-01   63.37
1983-10-01   59.06
1984-01-01   64.74
1984-04-01   66.81
1984-07-01   67.53
1984-10-01   69.00
1985-01-01   70.32
1985-04-01   71.64
1985-07-01   73.84
1985-10-01   73.37
1986-01-01   75.11
1986-04-01   75.81
1986-07-01   78.17
1986-10-01   78.72
1987-01-01   81.19
1987-04-01   82.48
1987-07-01   84.16
1987-10-01   83.24
1988-01-01   85.27
1988-04-01   86.17
1988-07-01   86.90
1988-10-01   86.52
1989-01-01   86.87
1989-04-01   87.09
1989-07-01   88.72
1989-10-01   88.82
1990-01-01   88.25
1990-04-01   88.74
1990-07-01   88.77
1990-10-01   89.49
1991-01-01   90.54
1991-04-01   90.64
1991-07-01   91.14
1991-10-01   91.63
1992-01-01   93.08
1992-04-01   92.92
1992-07-01   93.99
1992-10-01   93.97
1993-01-01   94.79
1993-04-01   94.87
1993-07-01   95.78
1993-10-01   96.56
1994-01-01   97.29
1994-04-01   97.88
1994-07-01   98.71
1994-10-01   99.90
1995-01-01  100.00
1995-04-01  101.94
1995-07-01  102.42
1995-10-01  103.66
1996-01-01  105.22
1996-04-01  105.05
1996-07-01  107.02
1996-10-01  106.93
1997-01-01  109.71
1997-04-01  109.47
1997-07-01  111.17
1997-10-01  113.05
1998-01-01  113.85
1998-04-01  114.92
1998-07-01  116.01
1998-10-01  117.25
1999-01-01  117.92
1999-04-01  119.52
1999-07-01  121.08
1999-10-01  120.78
2000-01-01  122.38
2000-04-01  123.37
2000-07-01  124.71
2000-10-01  126.08
2001-01-01  127.86
2001-04-01  129.38
2001-07-01  130.54
2001-10-01  130.82
2002-01-01  132.05
2002-04-01  132.43
2002-07-01  133.74
2002-10-01  134.53
2003-01-01  135.34
2003-04-01  136.16
2003-07-01  136.21
2003-10-01  138.32
2004-01-01  139.29
2004-04-01  139.28
2004-07-01  140.20
2004-10-01  141.45
2005-01-01  143.43
2005-04-01  143.53
2005-07-01  145.95
2005-10-01  147.45
2006-01-01  148.44
2006-04-01  147.38
2006-07-01  149.98
2006-10-01  151.02
2007-01-01  152.08
2007-04-01  152.74
2007-07-01  151.64
2007-10-01  155.10
2008-01-01  154.93
2008-04-01  153.97
2008-07-01  152.87
2008-10-01  151.95
2009-01-01  155.09
2009-04-01  152.92
2009-07-01  149.96
2009-10-01     148
2010-01-01     146
2010-04-01  145.69
2010-07-01  148.11
2010-10-01  146.88
2011-01-01  143.03
2011-04-01  141.16
2011-07-01  141.23
2011-10-01  142.66
2012-01-01  138.97
2012-04-01  140.10
2012-07-01  141.67
2012-10-01  142.17
2013-01-01  140.87
2013-04-01  142.69
2013-07-01  142.73
2013-10-01  141.76
2014-01-01  141.39
2014-04-01  143.58
2014-07-01  142.92
2014-10-01  143.53
2015-01-01  144.30
2015-04-01  145.08
2015-07-01  146.72
2015-10-01  146.78
2016-01-01  149.68
2016-04-01  152.33
2016-07-01  153.06
2016-10-01  152.20
2017-01-01  152.82
2017-04-01  156.79
2017-07-01  161.26
2017-10-01  160.83
2018-01-01  160.16
2018-04-01  164.55
2018-07-01  170.51
