Title:               All-Transactions House Price Index for Wilmington, NC (MSA)
Series ID:           ATNHPIUS48900Q
Source:              U.S. Federal Housing Finance Agency
Release:             House Price Index (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Index 1995:Q1=100
Date Range:          1984-10-01 to 2018-07-01
Last Updated:        2018-11-27 9:11 AM CST
Notes:               Estimated using sales prices and appraisal data.

DATE         VALUE
1984-10-01   58.61
1985-01-01   61.11
1985-04-01   63.17
1985-07-01   64.24
1985-10-01   67.35
1986-01-01   66.34
1986-04-01   67.59
1986-07-01   67.60
1986-10-01   69.02
1987-01-01   70.18
1987-04-01   70.25
1987-07-01   72.27
1987-10-01   70.97
1988-01-01   70.92
1988-04-01   75.01
1988-07-01   75.61
1988-10-01   74.46
1989-01-01   75.15
1989-04-01   77.01
1989-07-01   78.30
1989-10-01   79.19
1990-01-01   78.61
1990-04-01   77.72
1990-07-01   81.18
1990-10-01   81.45
1991-01-01   81.29
1991-04-01   81.83
1991-07-01   81.36
1991-10-01   84.94
1992-01-01   85.57
1992-04-01   84.95
1992-07-01   86.81
1992-10-01   87.36
1993-01-01   88.03
1993-04-01   88.96
1993-07-01   90.62
1993-10-01   91.05
1994-01-01   92.42
1994-04-01   95.26
1994-07-01   96.32
1994-10-01   98.60
1995-01-01  100.00
1995-04-01  101.89
1995-07-01  105.77
1995-10-01  107.39
1996-01-01  108.71
1996-04-01  110.72
1996-07-01  112.56
1996-10-01  113.23
1997-01-01  114.10
1997-04-01  116.58
1997-07-01  119.48
1997-10-01  121.32
1998-01-01  123.42
1998-04-01  122.25
1998-07-01  124.96
1998-10-01  126.57
1999-01-01  129.24
1999-04-01  127.57
1999-07-01  126.66
1999-10-01  125.67
2000-01-01  127.80
2000-04-01  128.34
2000-07-01  129.69
2000-10-01  131.21
2001-01-01  134.27
2001-04-01  135.00
2001-07-01  135.01
2001-10-01  136.77
2002-01-01  137.89
2002-04-01  137.18
2002-07-01  139.16
2002-10-01  140.44
2003-01-01  141.82
2003-04-01  141.71
2003-07-01  143.04
2003-10-01  144.26
2004-01-01  147.36
2004-04-01  152.01
2004-07-01  155.93
2004-10-01  161.16
2005-01-01  167.26
2005-04-01  175.37
2005-07-01  185.13
2005-10-01  196.19
2006-01-01  204.38
2006-04-01  215.25
2006-07-01  218.72
2006-10-01  223.12
2007-01-01  227.31
2007-04-01  228.21
2007-07-01  227.34
2007-10-01  229.54
2008-01-01  229.37
2008-04-01  225.06
2008-07-01  221.05
2008-10-01  217.56
2009-01-01  220.21
2009-04-01     213
2009-07-01  204.70
2009-10-01  202.68
2010-01-01  199.54
2010-04-01  192.29
2010-07-01  192.45
2010-10-01  192.12
2011-01-01  186.26
2011-04-01  179.11
2011-07-01  180.52
2011-10-01  178.22
2012-01-01  174.08
2012-04-01  172.28
2012-07-01  173.31
2012-10-01  172.91
2013-01-01  171.94
2013-04-01  172.60
2013-07-01  175.28
2013-10-01  174.01
2014-01-01  179.63
2014-04-01  178.62
2014-07-01  182.89
2014-10-01  184.47
2015-01-01  183.37
2015-04-01  189.19
2015-07-01  190.63
2015-10-01  194.40
2016-01-01  195.88
2016-04-01  196.73
2016-07-01  199.66
2016-10-01  202.55
2017-01-01  204.93
2017-04-01     212
2017-07-01  219.83
2017-10-01  220.69
2018-01-01  221.42
2018-04-01  231.47
2018-07-01  233.12
