Title:               Economic Conditions Index for Charlotte-Concord-Gastonia, NC-SC (MSA)
Series ID:           CGRAGRIDX
Source:              Federal Reserve Bank of St. Louis
Release:             Metro Area Economic Conditions Indexes (Not a Press Release)
Seasonal Adjustment: Seasonally Adjusted Annual Rate
Frequency:           Monthly
Units:               Percent
Date Range:          1990-02-01 to 2018-09-01
Last Updated:        2019-01-08 5:41 PM CST
Notes:               The economic activity index measures average economic growth in the
                     metropolitan area. It is computed using a dynamic factor model that
                     includes 12 variables measuring various aspects of economic activity
                     in the MSA. The index is calibrated to Gross Metropolitan Product
                     (GMP) growth and variance to allow for comparison across metro areas.
                     
                     For additional details, see Arias, M.A., C.S. Gascon and D.E. Rapach
                     (2016), “Metro Business Cycles,” Journal of Urban Economics 94,
                     90-108,
                     http://www.sciencedirect.com/science/article/pii/S009411901630016X.
                     Federal Reserve Bank of St. Louis Working Paper 2014-046C,
                     https://research.stlouisfed.org/wp/more/2014-046.

DATE         VALUE
1990-02-01    3.77
1990-03-01    2.69
1990-04-01    1.35
1990-05-01    0.95
1990-06-01    0.58
1990-07-01   -0.53
1990-08-01    0.01
1990-09-01    0.20
1990-10-01   -0.57
1990-11-01   -0.47
1990-12-01   -0.92
1991-01-01   -1.21
1991-02-01   -1.17
1991-03-01   -0.51
1991-04-01    0.38
1991-05-01    0.63
1991-06-01    1.45
1991-07-01    2.47
1991-08-01    3.09
1991-09-01    2.54
1991-10-01    2.07
1991-11-01    1.94
1991-12-01    2.56
1992-01-01    3.30
1992-02-01    3.29
1992-03-01    4.12
1992-04-01    4.43
1992-05-01    4.16
1992-06-01    4.27
1992-07-01    5.19
1992-08-01    5.44
1992-09-01    6.08
1992-10-01    6.65
1992-11-01    6.07
1992-12-01    6.17
1993-01-01    5.64
1993-02-01    5.23
1993-03-01    5.20
1993-04-01    6.22
1993-05-01    6.17
1993-06-01    6.28
1993-07-01    6.31
1993-08-01    6.36
1993-09-01    6.74
1993-10-01    7.44
1993-11-01    7.17
1993-12-01    6.25
1994-01-01    5.23
1994-02-01    5.77
1994-03-01    6.02
1994-04-01    5.70
1994-05-01    5.49
1994-06-01    6.11
1994-07-01    6.07
1994-08-01    5.77
1994-09-01    5.91
1994-10-01    5.60
1994-11-01    6.35
1994-12-01    6.71
1995-01-01    6.64
1995-02-01    5.59
1995-03-01    4.80
1995-04-01    4.42
1995-05-01    4.84
1995-06-01    3.76
1995-07-01    2.12
1995-08-01    3.36
1995-09-01    3.83
1995-10-01    3.70
1995-11-01    3.44
1995-12-01    3.23
1996-01-01    3.63
1996-02-01    5.35
1996-03-01    5.12
1996-04-01    4.70
1996-05-01    4.97
1996-06-01    4.83
1996-07-01    4.35
1996-08-01    4.98
1996-09-01    4.79
1996-10-01    5.16
1996-11-01    5.26
1996-12-01    4.71
1997-01-01    3.80
1997-02-01    4.66
1997-03-01    5.18
1997-04-01    4.74
1997-05-01    4.40
1997-06-01    4.19
1997-07-01    4.67
1997-08-01    5.30
1997-09-01    5.43
1997-10-01    4.47
1997-11-01    5.49
1997-12-01    5.90
1998-01-01    6.24
1998-02-01    5.58
1998-03-01    5.65
1998-04-01    6.79
1998-05-01    6.21
1998-06-01    5.78
1998-07-01    5.87
1998-08-01    4.65
1998-09-01    4.27
1998-10-01    3.86
1998-11-01    4.82
1998-12-01    5.41
1999-01-01    6.01
1999-02-01    5.41
1999-03-01    4.17
1999-04-01    3.37
1999-05-01    3.66
1999-06-01    4.32
1999-07-01    5.00
1999-08-01    4.44
1999-09-01    4.49
1999-10-01    4.59
1999-11-01    4.52
1999-12-01    4.84
2000-01-01    4.35
2000-02-01    3.99
2000-03-01    4.81
2000-04-01    4.93
2000-05-01    3.90
2000-06-01    2.98
2000-07-01    0.73
2000-08-01   -0.27
2000-09-01    2.01
2000-10-01    1.59
2000-11-01    2.36
2000-12-01    1.43
2001-01-01    0.51
2001-02-01    0.16
2001-03-01   -0.27
2001-04-01    0.43
2001-05-01   -0.22
2001-06-01    0.31
2001-07-01   -0.40
2001-08-01   -0.55
2001-09-01   -0.55
2001-10-01   -0.73
2001-11-01   -0.37
2001-12-01    0.57
2002-01-01    1.98
2002-02-01    3.40
2002-03-01    2.69
2002-04-01    2.17
2002-05-01    2.55
2002-06-01    3.12
2002-07-01    3.19
2002-08-01    2.82
2002-09-01    1.89
2002-10-01    1.03
2002-11-01    0.91
2002-12-01    1.11
2003-01-01    1.76
2003-02-01    1.31
2003-03-01    1.07
2003-04-01    0.20
2003-05-01   -0.13
2003-06-01   -1.57
2003-07-01   -2.14
2003-08-01    0.14
2003-09-01    2.18
2003-10-01    3.11
2003-11-01    3.79
2003-12-01    3.66
2004-01-01    2.98
2004-02-01    3.46
2004-03-01    4.37
2004-04-01    5.41
2004-05-01    6.02
2004-06-01    6.02
2004-07-01    5.87
2004-08-01    5.12
2004-09-01    4.27
2004-10-01    4.11
2004-11-01    3.80
2004-12-01    3.76
2005-01-01    4.19
2005-02-01    4.14
2005-03-01    4.18
2005-04-01    4.48
2005-05-01    4.63
2005-06-01    4.90
2005-07-01    5.27
2005-08-01    4.55
2005-09-01    4.55
2005-10-01    4.90
2005-11-01    5.42
2005-12-01    6.19
2006-01-01    6.87
2006-02-01    5.59
2006-03-01    5.90
2006-04-01    6.11
2006-05-01    5.03
2006-06-01    4.56
2006-07-01    4.76
2006-08-01    4.60
2006-09-01    4.68
2006-10-01    5.10
2006-11-01    5.13
2006-12-01    5.35
2007-01-01    4.98
2007-02-01    3.94
2007-03-01    2.68
2007-04-01    1.12
2007-05-01    2.25
2007-06-01    3.37
2007-07-01    2.35
2007-08-01    2.65
2007-09-01    2.67
2007-10-01    2.74
2007-11-01    2.64
2007-12-01    1.87
2008-01-01    0.92
2008-02-01    1.01
2008-03-01   -0.35
2008-04-01   -1.58
2008-05-01   -1.96
2008-06-01   -2.39
2008-07-01   -3.16
2008-08-01   -3.51
2008-09-01   -4.53
2008-10-01   -7.59
2008-11-01  -11.06
2008-12-01  -12.45
2009-01-01  -13.87
2009-02-01  -11.15
2009-03-01   -9.83
2009-04-01   -8.51
2009-05-01   -6.04
2009-06-01   -4.38
2009-07-01   -2.70
2009-08-01   -2.00
2009-09-01   -1.48
2009-10-01   -0.93
2009-11-01    0.35
2009-12-01    1.11
2010-01-01    1.39
2010-02-01    2.14
2010-03-01    3.68
2010-04-01    4.96
2010-05-01    4.75
2010-06-01    4.57
2010-07-01    4.14
2010-08-01    3.86
2010-09-01    4.06
2010-10-01    4.25
2010-11-01    3.54
2010-12-01    3.70
2011-01-01    4.06
2011-02-01    5.93
2011-03-01    5.58
2011-04-01    5.30
2011-05-01    4.90
2011-06-01    5.20
2011-07-01    5.89
2011-08-01    5.86
2011-09-01    5.97
2011-10-01    5.79
2011-11-01    6.17
2011-12-01    6.82
2012-01-01    8.13
2012-02-01    7.25
2012-03-01    6.54
2012-04-01    5.55
2012-05-01    5.14
2012-06-01    4.58
2012-07-01    4.35
2012-08-01    4.75
2012-09-01    5.03
2012-10-01    4.75
2012-11-01    5.66
2012-12-01    5.67
2013-01-01    5.98
2013-02-01    6.54
2013-03-01    5.90
2013-04-01    4.83
2013-05-01    4.72
2013-06-01    5.39
2013-07-01    5.96
2013-08-01    6.19
2013-09-01    5.87
2013-10-01    5.87
2013-11-01    6.20
2013-12-01    6.31
