Title:               All Employees: Government in Charlotte-Concord-Gastonia, NC-SC (MSA)
Series ID:           CHAR737GOVT
Source:              U.S. Bureau of Labor Statistics
Release:             State Employment and Unemployment
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Monthly
Units:               Thousands of Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2018-12-24 12:34 PM CST
Notes:               The data services of the Federal Reserve Bank of St. Louis include
                     series that are seasonally adjusted. To make these adjustments, we use
                     the X-12 Procedure of SAS to remove the seasonal component of the
                     series so that non-seasonal trends can be analyzed. This procedure is
                     based on the U.S. Bureau of the Census X-12-ARIMA Seasonal Adjustment
                     Program. More information on this program can be found at
                     http://www.census.gov/srd/www/x12a/.
                     The seasonal moving average function used is that of the Census
                     Bureau’s X-11-ARIMA program. This includes a 3x3 moving average for
                     the initial seasonal factors and a 3x5 moving average to calculate the
                     final seasonal factors. The D11 function is also used to output the
                     entire seasonally adjusted series that is displayed. For specific
                     information on the SAS X-12 procedure, please visit their website:
                     http://support.sas.com/documentation/cdl/en/etsug/60372/HTML/default/viewer.htm#etsug_x12_sect001.htm.

DATE        VALUE
1990-01-01   77.4
1990-02-01   77.9
1990-03-01   78.3
1990-04-01   79.1
1990-05-01   79.6
1990-06-01   80.7
1990-07-01   79.0
1990-08-01   80.0
1990-09-01   80.2
1990-10-01   80.5
1990-11-01   80.7
1990-12-01   80.8
1991-01-01   81.1
1991-02-01   81.0
1991-03-01   81.1
1991-04-01   81.0
1991-05-01   80.8
1991-06-01   81.3
1991-07-01   81.6
1991-08-01   81.5
1991-09-01   81.8
1991-10-01   82.1
1991-11-01   81.8
1991-12-01   82.1
1992-01-01   82.5
1992-02-01   83.2
1992-03-01   83.3
1992-04-01   83.6
1992-05-01   84.0
1992-06-01   83.6
1992-07-01   84.1
1992-08-01   85.8
1992-09-01   83.2
1992-10-01   84.6
1992-11-01   85.1
1992-12-01   84.8
1993-01-01   84.8
1993-02-01   84.8
1993-03-01   85.2
1993-04-01   85.3
1993-05-01   85.7
1993-06-01   86.1
1993-07-01   87.0
1993-08-01   86.1
1993-09-01   86.4
1993-10-01   86.5
1993-11-01   87.1
1993-12-01   87.1
1994-01-01   87.5
1994-02-01   87.7
1994-03-01   87.5
1994-04-01   87.5
1994-05-01   87.8
1994-06-01   88.9
1994-07-01   89.5
1994-08-01   88.8
1994-09-01   88.6
1994-10-01   89.1
1994-11-01   88.8
1994-12-01   89.7
1995-01-01   89.5
1995-02-01   89.3
1995-03-01   90.1
1995-04-01   90.9
1995-05-01   90.9
1995-06-01   90.9
1995-07-01   91.6
1995-08-01   90.0
1995-09-01   93.4
1995-10-01   92.7
1995-11-01   93.6
1995-12-01   94.1
1996-01-01   93.7
1996-02-01   94.5
1996-03-01   94.8
1996-04-01   95.1
1996-05-01   95.6
1996-06-01   95.9
1996-07-01   92.4
1996-08-01   92.4
1996-09-01   96.8
1996-10-01   95.9
1996-11-01   96.8
1996-12-01   96.7
1997-01-01   97.8
1997-02-01   97.9
1997-03-01   98.3
1997-04-01   98.1
1997-05-01   98.8
1997-06-01   99.5
1997-07-01   99.5
1997-08-01  100.3
1997-09-01  100.0
1997-10-01  100.0
1997-11-01  100.1
1997-12-01  100.4
1998-01-01  100.7
1998-02-01  101.1
1998-03-01  101.1
1998-04-01  101.8
1998-05-01  102.2
1998-06-01  102.4
1998-07-01  104.3
1998-08-01  103.5
1998-09-01  103.9
1998-10-01  104.4
1998-11-01  104.2
1998-12-01  104.5
1999-01-01  104.6
1999-02-01  105.1
1999-03-01  105.0
1999-04-01  105.2
1999-05-01  105.2
