Title:               Civilian Labor Force in Charlotte-Concord-Gastonia, NC-SC (MSA)
Series ID:           CHAR737LFN
Source:              U.S. Bureau of Labor Statistics
Release:             Metropolitan Area Employment and Unemployment
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 10:16 AM CST
Notes:               

DATE          VALUE
1990-01-01   731999
1990-02-01   738595
1990-03-01   742295
1990-04-01   741489
1990-05-01   750839
1990-06-01   759992
1990-07-01   769313
1990-08-01   763861
1990-09-01   753057
1990-10-01   753850
1990-11-01   751299
1990-12-01   751415
1991-01-01   743772
1991-02-01   746552
1991-03-01   748675
1991-04-01   750560
1991-05-01   755148
1991-06-01   765892
1991-07-01   774134
1991-08-01   770924
1991-09-01   764416
1991-10-01   767888
1991-11-01   762887
1991-12-01   758414
1992-01-01   755232
1992-02-01   755832
1992-03-01   760214
1992-04-01   757721
1992-05-01   766247
1992-06-01   778337
1992-07-01   790521
1992-08-01   789822
1992-09-01   774667
1992-10-01   778318
1992-11-01   778862
1992-12-01   777270
1993-01-01   770289
1993-02-01   775186
1993-03-01   777640
1993-04-01   776709
1993-05-01   787248
1993-06-01   796581
1993-07-01   803830
1993-08-01   796504
1993-09-01   783722
1993-10-01   793285
1993-11-01   792316
1993-12-01   792944
1994-01-01   785348
1994-02-01   790844
1994-03-01   790016
1994-04-01   793503
1994-05-01   799642
1994-06-01   807364
1994-07-01   821069
1994-08-01   816144
1994-09-01   813446
1994-10-01   817814
1994-11-01   817347
1994-12-01   816507
1995-01-01   807952
1995-02-01   812804
1995-03-01   814501
1995-04-01   819293
1995-05-01   821429
1995-06-01   826692
1995-07-01   839729
1995-08-01   831571
1995-09-01   827454
1995-10-01   830965
1995-11-01   831258
1995-12-01   833094
1996-01-01   827464
1996-02-01   838566
1996-03-01   845633
1996-04-01   847796
1996-05-01   857082
1996-06-01   864489
1996-07-01   873009
1996-08-01   864256
1996-09-01   863594
1996-10-01   870611
1996-11-01   870387
1996-12-01   871401
1997-01-01   863255
1997-02-01   868017
1997-03-01   877463
1997-04-01   875157
1997-05-01   883052
1997-06-01   887326
1997-07-01   889773
1997-08-01   883926
1997-09-01   876115
1997-10-01   872562
1997-11-01   873934
1997-12-01   874027
1998-01-01   865796
1998-02-01   871616
1998-03-01   875802
1998-04-01   873665
1998-05-01   882281
1998-06-01   888137
1998-07-01   898681
1998-08-01   895999
1998-09-01   887098
1998-10-01   887207
1998-11-01   888694
1998-12-01   889163
1999-01-01   897021
1999-02-01   905070
1999-03-01   903949
1999-04-01   899920
1999-05-01   909089
1999-06-01   914109
1999-07-01   930386
1999-08-01   924310
1999-09-01   918041
1999-10-01   924361
1999-11-01   927489
1999-12-01   929478
2000-01-01   923642
2000-02-01   929289
2000-03-01   932501
2000-04-01   937790
2000-05-01   938889
2000-06-01   946080
2000-07-01   949797
2000-08-01   946683
2000-09-01   935843
2000-10-01   947960
2000-11-01   944485
2000-12-01   944917
2001-01-01   955346
2001-02-01   958224
2001-03-01   961344
2001-04-01   958120
2001-05-01   965688
2001-06-01   959974
2001-07-01   967570
2001-08-01   955535
2001-09-01   955317
2001-10-01   963432
2001-11-01   961184
2001-12-01   958079
2002-01-01   958005
2002-02-01   965027
2002-03-01   965677
2002-04-01   962885
2002-05-01   962122
2002-06-01   966394
2002-07-01   967657
2002-08-01   965892
2002-09-01   963261
2002-10-01   965662
2002-11-01   961128
2002-12-01   955261
2003-01-01   968737
2003-02-01   977653
2003-03-01   981064
2003-04-01   985682
2003-05-01   986663
2003-06-01   992834
2003-07-01   980607
2003-08-01   976217
2003-09-01   978273
2003-10-01   985184
2003-11-01   988590
2003-12-01   980358
2004-01-01   980739
2004-02-01   981615
2004-03-01   981576
2004-04-01   975703
2004-05-01   978372
2004-06-01   985002
2004-07-01   983937
2004-08-01   979329
2004-09-01   977559
2004-10-01   988543
2004-11-01   990282
2004-12-01   983183
2005-01-01   980093
2005-02-01   985980
2005-03-01   986460
2005-04-01   991574
2005-05-01   998621
2005-06-01  1001983
2005-07-01  1004477
2005-08-01  1003618
2005-09-01  1005887
2005-10-01  1019663
2005-11-01  1016186
2005-12-01  1010002
2006-01-01  1014866
2006-02-01  1021495
2006-03-01  1027071
2006-04-01  1032285
2006-05-01  1040587
2006-06-01  1042765
2006-07-01  1049796
2006-08-01  1054405
2006-09-01  1056308
2006-10-01  1065042
2006-11-01  1068547
2006-12-01  1061527
2007-01-01  1056454
2007-02-01  1057116
2007-03-01  1062016
2007-04-01  1060630
2007-05-01  1067236
2007-06-01  1069716
2007-07-01  1072562
2007-08-01  1069506
2007-09-01  1073421
2007-10-01  1079097
2007-11-01  1081531
2007-12-01  1074779
2008-01-01  1074179
2008-02-01  1074440
2008-03-01  1079553
2008-04-01  1081113
2008-05-01  1087756
2008-06-01  1089086
2008-07-01  1089156
2008-08-01  1089587
2008-09-01  1089327
2008-10-01  1096947
2008-11-01  1101546
2008-12-01  1101728
2009-01-01  1096566
2009-02-01  1099609
2009-03-01  1097835
2009-04-01  1096839
2009-05-01  1095986
2009-06-01  1097139
2009-07-01  1095478
2009-08-01  1092734
2009-09-01  1086940
2009-10-01  1088771
2009-11-01  1086343
2009-12-01  1079261
2010-01-01  1125633
2010-02-01  1130860
2010-03-01  1140615
2010-04-01  1151045
2010-05-01  1153014
2010-06-01  1143299
2010-07-01  1139764
2010-08-01  1143311
2010-09-01  1138050
2010-10-01  1140627
2010-11-01  1146059
2010-12-01  1141521
