Title:               Home Price Sales Pair Counts for Charlotte, North Carolina
Series ID:           CRXRPSNSA
Source:              S&P Dow Jones Indices LLC
Release:             S&P/Case-Shiller Home Price Indices
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Units
Date Range:          1987-01-01 to 2018-10-01
Last Updated:        2018-12-26 8:42 AM CST
Notes:               For more information regarding the index, please visit,
                     http://us.spindices.com/index-family/real-estate/sp-corelogic-case-shiller.
                     There is more information about home price sales pairs in the
                     Methodology section. Copyright, 2016, Standard & Poor's Financial
                     Services LLC. Reprinted with permission.

DATE       VALUE
1987-01-01   973
1987-02-01   949
1987-03-01   907
1987-04-01  1040
1987-05-01  1200
1987-06-01  1403
1987-07-01  1547
1987-08-01  1572
1987-09-01  1437
1987-10-01  1337
1987-11-01  1243
1987-12-01  1170
1988-01-01   991
1988-02-01   904
1988-03-01   979
1988-04-01  1190
1988-05-01  1373
1988-06-01  1527
1988-07-01  1550
1988-08-01  1650
1988-09-01  1585
1988-10-01  1578
1988-11-01  1448
1988-12-01  1343
1989-01-01  1214
1989-02-01  1132
1989-03-01  1147
1989-04-01  1210
1989-05-01  1392
1989-06-01  1512
1989-07-01  1660
1989-08-01  1729
1989-09-01  1673
1989-10-01  1669
1989-11-01  1482
1989-12-01  1404
1990-01-01  1235
1990-02-01  1218
1990-03-01  1376
1990-04-01  1508
1990-05-01  1701
1990-06-01  1816
1990-07-01  1896
1990-08-01  2014
1990-09-01  1907
1990-10-01  1780
1990-11-01  1533
1990-12-01  1392
1991-01-01  1269
1991-02-01  1158
1991-03-01  1173
1991-04-01  1335
1991-05-01  1635
1991-06-01  1759
1991-07-01  1780
1991-08-01  1679
1991-09-01  1600
1991-10-01  1542
1991-11-01  1433
1991-12-01  1329
1992-01-01  1176
1992-02-01  1252
1992-03-01  1524
1992-04-01  1787
1992-05-01  1871
1992-06-01  1949
1992-07-01  1998
1992-08-01  2004
1992-09-01  1840
1992-10-01  1758
1992-11-01  1747
1992-12-01  1870
1993-01-01  1631
1993-02-01  1460
1993-03-01  1274
1993-04-01  1516
1993-05-01  1786
1993-06-01  2170
1993-07-01  2358
1993-08-01  2489
1993-09-01  2285
1993-10-01  2214
1993-11-01  2088
1993-12-01  2214
1994-01-01  2015
1994-02-01  1806
1994-03-01  1812
1994-04-01  2057
1994-05-01  2450
1994-06-01  2625
1994-07-01  2707
1994-08-01  2779
1994-09-01  2492
1994-10-01  2333
1994-11-01  1964
1994-12-01  1916
1995-01-01  1698
1995-02-01  1554
1995-03-01  1580
1995-04-01  1724
1995-05-01  2017
1995-06-01  2285
1995-07-01  2590
1995-08-01  2850
1995-09-01  2684
1995-10-01  2596
1995-11-01  2207
1995-12-01  2048
1996-01-01  1541
1996-02-01  1201
1996-03-01  1003
1996-04-01  1191
1996-05-01  1384
1996-06-01  1440
1996-07-01  1519
1996-08-01  1535
1996-09-01  1690
1996-10-01  1988
1996-11-01  2109
1996-12-01  2150
1997-01-01  1740
1997-02-01  1667
1997-03-01  1623
1997-04-01  1907
1997-05-01  2148
1997-06-01  2322
1997-07-01  2291
1997-08-01  2312
1997-09-01  2189
1997-10-01  2143
1997-11-01  1922
1997-12-01  1909
1998-01-01  1739
1998-02-01  1766
1998-03-01  1905
1998-04-01  2184
1998-05-01  2370
1998-06-01  2588
1998-07-01  2828
1998-08-01  2948
1998-09-01  2722
1998-10-01  2419
1998-11-01  2127
1998-12-01  2077
1999-01-01  1754
1999-02-01  1560
1999-03-01  1518
1999-04-01  1913
1999-05-01  2222
1999-06-01  2398
1999-07-01  2506
1999-08-01  2501
1999-09-01  2272
1999-10-01  1930
1999-11-01  1746
1999-12-01  1671
2000-01-01  1494
2000-02-01  1426
2000-03-01  1499
2000-04-01  1837
2000-05-01  2124
2000-06-01  2261
2000-07-01  2207
2000-08-01  2074
2000-09-01  1854
2000-10-01  1488
2000-11-01  1221
2000-12-01   914
2001-01-01   910
2001-02-01   987
2001-03-01  1343
2001-04-01  1753
2001-05-01  2062
2001-06-01  2306
2001-07-01  2417
2001-08-01  2232
2001-09-01  1935
2001-10-01  1745
2001-11-01  1732
2001-12-01  1736
2002-01-01  1577
2002-02-01  1531
2002-03-01  1662
2002-04-01  1972
2002-05-01  2207
2002-06-01  2310
2002-07-01  2312
2002-08-01  2287
2002-09-01  2103
2002-10-01  1956
2002-11-01  1749
2002-12-01  1735
2003-01-01  1541
2003-02-01  1481
2003-03-01  1461
2003-04-01  1718
2003-05-01  1992
2003-06-01  2301
2003-07-01  2527
2003-08-01  2605
2003-09-01  2517
2003-10-01  2406
2003-11-01  2108
2003-12-01  1945
2004-01-01  1509
2004-02-01  1301
2004-03-01  1447
2004-04-01  1799
2004-05-01  2392
2004-06-01  2748
2004-07-01  3125
2004-08-01  3199
2004-09-01  2820
2004-10-01  2479
2004-11-01  2191
2004-12-01  2180
2005-01-01  1928
2005-02-01  1711
2005-03-01  1811
2005-04-01  2226
2005-05-01  2834
2005-06-01  3192
2005-07-01  3526
2005-08-01  3808
2005-09-01  3762
2005-10-01  3541
2005-11-01  3123
2005-12-01  2930
2006-01-01  2585
2006-02-01  2340
2006-03-01  2445
2006-04-01  2832
2006-05-01  3610
2006-06-01  4299
2006-07-01  4697
2006-08-01  4721
2006-09-01  4175
2006-10-01  3868
2006-11-01  3393
2006-12-01  3212
2007-01-01  2874
2007-02-01  2679
2007-03-01  2838
2007-04-01  3193
2007-05-01  3809
2007-06-01  4140
2007-07-01  4310
2007-08-01  4116
2007-09-01  3508
2007-10-01  3045
2007-11-01  2531
2007-12-01  2322
2008-01-01  1961
2008-02-01  1879
2008-03-01  1907
2008-04-01  2186
2008-05-01  2419
2008-06-01  2558
2008-07-01  2575
2008-08-01  2405
2008-09-01  2194
2008-10-01  1917
2008-11-01  1559
2008-12-01  1269
2009-01-01   960
2009-02-01   889
2009-03-01   961
2009-04-01  1170
2009-05-01  1395
2009-06-01  1614
2009-07-01  1873
2009-08-01  1965
2009-09-01  1922
2009-10-01  1812
2009-11-01  1773
2009-12-01  1621
2010-01-01  1262
2010-02-01   988
2010-03-01  1026
2010-04-01  1378
2010-05-01  1733
2010-06-01  1915
2010-07-01  1752
2010-08-01  1502
2010-09-01  1203
2010-10-01  1137
2010-11-01  1052
2010-12-01  1053
2011-01-01   926
2011-02-01   839
2011-03-01   867
2011-04-01  1062
2011-05-01  1350
2011-06-01  1527
2011-07-01  1614
2011-08-01  1608
2011-09-01  1464
2011-10-01  1334
2011-11-01  1184
2011-12-01  1174
2012-01-01  1059
2012-02-01  1025
2012-03-01  1103
2012-04-01  1353
2012-05-01  1732
2012-06-01  1857
2012-07-01  1955
2012-08-01  1943
2012-09-01  1800
2012-10-01  1624
2012-11-01  1423
2012-12-01  1380
2013-01-01  1302
2013-02-01  1205
2013-03-01  1367
2013-04-01  1752
2013-05-01  2325
2013-06-01  2653
2013-07-01  2890
2013-08-01  2891
2013-09-01  2673
2013-10-01  2352
2013-11-01  2052
2013-12-01  1990
2014-01-01  1760
2014-02-01  1515
2014-03-01  2098
2014-04-01  2585
2014-05-01  3243
2014-06-01  3813
2014-07-01  4164
2014-08-01  4233
2014-09-01  3879
2014-10-01  3493
2014-11-01  2913
2014-12-01  2758
2015-01-01  2397
2015-02-01  2370
2015-03-01  2597
2015-04-01  3266
2015-05-01  4061
2015-06-01  4768
2015-07-01  5226
2015-08-01  5185
2015-09-01  4637
2015-10-01  4019
2015-11-01  3437
2015-12-01  3246
2016-01-01  2860
2016-02-01  2830
2016-03-01  2993
2016-04-01  3718
2016-05-01  4646
2016-06-01  5386
2016-07-01  5611
2016-08-01  5647
2016-09-01  5157
2016-10-01  4754
2016-11-01  4088
2016-12-01  3763
2017-01-01  3350
2017-02-01  3078
2017-03-01  3385
2017-04-01  4005
2017-05-01  4847
2017-06-01  5340
2017-07-01  5545
2017-08-01  5469
2017-09-01  4925
2017-10-01  4483
2017-11-01  4094
2017-12-01  3769
2018-01-01  3340
2018-02-01  2979
2018-03-01  3246
2018-04-01  3945
2018-05-01  4807
2018-06-01  5290
2018-07-01  5418
2018-08-01  5389
2018-09-01  4790
2018-10-01  4300
