Title:               New Private Housing Units Authorized by Building Permits: 1-Unit Structures for Durham, NC (MSA)
Series ID:           DURH537BP1FH
Source:              U.S. Bureau of the Census
Release:             Housing Units Authorized By Building Permits (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Units
Date Range:          2004-01-01 to 2018-10-01
Last Updated:        2018-11-28 8:01 AM CST
Notes:               The Saint Louis Federal Reserve Bank uses the most recent Metropolitan
                     Statistical Area definitions released by the Office of Management and
                     Budget. For more information on specific definitions visit
                     https://census.gov/programs-surveys/metro-micro.html.

DATE       VALUE
2004-01-01   383
2004-02-01   268
2004-03-01   352
2004-04-01   326
2004-05-01   344
2004-06-01   398
2004-07-01   401
2004-08-01   399
2004-09-01   361
2004-10-01   308
2004-11-01   248
2004-12-01   324
2005-01-01   322
2005-02-01   309
2005-03-01   343
2005-04-01   446
2005-05-01   346
2005-06-01   353
2005-07-01   344
2005-08-01   428
2005-09-01   390
2005-10-01   316
2005-11-01   320
2005-12-01   261
2006-01-01   290
2006-02-01   387
2006-03-01   387
2006-04-01   367
2006-05-01   386
2006-06-01   342
2006-07-01   259
2006-08-01   306
2006-09-01   239
2006-10-01   275
2006-11-01   200
2006-12-01   216
2007-01-01   234
2007-02-01   245
2007-03-01   253
2007-04-01   256
2007-05-01   385
2007-06-01   337
2007-07-01   238
2007-08-01   238
2007-09-01   200
2007-10-01   143
2007-11-01   137
2007-12-01   130
2008-01-01   167
2008-02-01   152
2008-03-01   199
2008-04-01   233
2008-05-01   199
2008-06-01   191
2008-07-01   212
2008-08-01   135
2008-09-01   126
2008-10-01   109
2008-11-01    98
2008-12-01   106
2009-01-01    64
2009-02-01   102
2009-03-01   134
2009-04-01    93
2009-05-01   129
2009-06-01   112
2009-07-01   143
2009-08-01   127
2009-09-01   109
2009-10-01    76
2009-11-01    80
2009-12-01   113
2010-01-01   139
2010-02-01   126
2010-03-01   165
2010-04-01   142
2010-05-01   102
2010-06-01   156
2010-07-01   135
2010-08-01   135
2010-09-01   114
2010-10-01    68
2010-11-01    97
2010-12-01   102
2011-01-01   110
2011-02-01    96
2011-03-01   166
2011-04-01   134
2011-05-01   165
2011-06-01   197
2011-07-01   122
2011-08-01   136
2011-09-01   150
2011-10-01    96
2011-11-01   107
2011-12-01    95
2012-01-01   124
2012-02-01   152
2012-03-01   155
2012-04-01   154
2012-05-01   140
2012-06-01   130
2012-07-01   138
2012-08-01   173
2012-09-01   102
2012-10-01   153
2012-11-01   117
2012-12-01   140
2013-01-01   131
2013-02-01   153
2013-03-01   228
2013-04-01   178
2013-05-01   177
2013-06-01   155
2013-07-01   165
2013-08-01   200
2013-09-01   153
2013-10-01   160
2013-11-01   131
2013-12-01   135
2014-01-01   153
2014-02-01   185
2014-03-01   129
2014-04-01   176
2014-05-01   182
2014-06-01   207
2014-07-01   197
2014-08-01   210
2014-09-01   182
2014-10-01   199
2014-11-01   159
2014-12-01   178
2015-01-01   165
2015-02-01   157
2015-03-01   211
2015-04-01   226
2015-05-01   236
2015-06-01   237
2015-07-01   230
2015-08-01   339
2015-09-01   187
2015-10-01   189
2015-11-01   173
2015-12-01   220
2016-01-01   181
2016-02-01   249
2016-03-01   219
2016-04-01   259
2016-05-01   259
2016-06-01   304
2016-07-01   237
2016-08-01   297
2016-09-01   240
2016-10-01   228
2016-11-01   216
2016-12-01   212
2017-01-01   243
2017-02-01   261
2017-03-01   304
2017-04-01   276
2017-05-01   325
2017-06-01   297
2017-07-01   279
2017-08-01   296
2017-09-01   245
2017-10-01   273
2017-11-01   264
2017-12-01   213
2018-01-01   267
2018-02-01   239
2018-03-01   317
2018-04-01   293
2018-05-01   318
2018-06-01   325
2018-07-01   316
2018-08-01   293
2018-09-01   225
2018-10-01   296
