Title:               Employment Level for North Carolina
Series ID:           EMPLOYNC
Source:              U.S. Bureau of Labor Statistics
Release:             Alternative Measures of Labor Underutilization for States
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Persons, 4-Quarter Moving Average
Date Range:          2003-10-01 to 2018-01-01
Last Updated:        2018-04-27 10:31 AM CDT
Notes:               

DATE          VALUE
2003-10-01  3944400
2004-01-01  3960600
2004-04-01  3986100
2004-07-01  3997400
2004-10-01  3992900
2005-01-01  3998800
2005-04-01  4012000
2005-07-01  4041600
2005-10-01  4074600
2006-01-01  4095900
2006-04-01  4127400
2006-07-01  4180800
2006-10-01  4217600
2007-01-01  4245000
2007-04-01  4269900
2007-07-01  4285500
2007-10-01  4290300
2008-01-01  4292800
2008-04-01  4292200
2008-07-01  4280200
2008-10-01  4258100
2009-01-01  4206500
2009-04-01  4168200
2009-07-01  4124800
2009-10-01  4102200
2010-01-01  4116300
2010-04-01  4124000
2010-07-01  4121900
2010-10-01  4109100
2011-01-01  4093000
2011-04-01  4081300
2011-07-01  4071100
2011-10-01  4071700
2012-01-01  4108900
2012-04-01  4128500
2012-07-01  4183100
2012-10-01  4262300
2013-01-01  4261700
2013-04-01  4270600
2013-07-01  4280900
2013-10-01  4294100
2014-01-01  4330500
2014-04-01  4364300
2014-07-01  4355800
2014-10-01  4353900
2015-01-01  4402100
2015-04-01  4435700
2015-07-01  4480800
2015-10-01  4507700
2016-01-01  4533100
2016-04-01  4559400
2016-07-01  4583000
2016-10-01  4628200
2017-01-01  4633800
2017-04-01  4646800
2017-07-01  4683900
2017-10-01  4685700
2018-01-01  4712400
