Title:               Number of Private Establishments for All Industries in Bertie County, NC
Series ID:           ENU3701520510
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Establishments
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:25 AM CDT
Notes:               An establishment is an economic unit, such as a factory, mine, store,
                     or office that produces goods or services. It generally is at a single
                     location and is engaged predominantly in one type of economic
                     activity. Where a single location encompasses two or more distinct
                     activities, these are treated as separate establishments, if separate
                     payroll records are available, and the various activities are
                     classified under different industry codes.

DATE       VALUE
1990-01-01   286
1990-04-01   289
1990-07-01   295
1990-10-01   294
1991-01-01   296
1991-04-01   297
1991-07-01   300
1991-10-01   298
1992-01-01   304
1992-04-01   301
1992-07-01   301
1992-10-01   303
1993-01-01   309
1993-04-01   311
1993-07-01   315
1993-10-01   311
1994-01-01   302
1994-04-01   301
1994-07-01   304
1994-10-01   301
1995-01-01   308
1995-04-01   311
1995-07-01   312
1995-10-01   315
1996-01-01   318
1996-04-01   315
1996-07-01   312
1996-10-01   312
1997-01-01   311
1997-04-01   323
1997-07-01   325
1997-10-01   326
1998-01-01   318
1998-04-01   323
1998-07-01   326
1998-10-01   330
1999-01-01   332
1999-04-01   341
1999-07-01   341
1999-10-01   339
2000-01-01   337
2000-04-01   331
2000-07-01   326
2000-10-01   327
2001-01-01   317
2001-04-01   321
2001-07-01   322
2001-10-01   322
2002-01-01   335
2002-04-01   334
2002-07-01   333
2002-10-01   336
2003-01-01   338
2003-04-01   339
2003-07-01   338
2003-10-01   337
2004-01-01   331
2004-04-01   326
2004-07-01   329
2004-10-01   330
2005-01-01   335
2005-04-01   330
2005-07-01   331
2005-10-01   332
2006-01-01   338
2006-04-01   338
2006-07-01   337
2006-10-01   335
2007-01-01   334
2007-04-01   329
2007-07-01   344
2007-10-01   344
2008-01-01   348
2008-04-01   334
2008-07-01   336
2008-10-01   343
2009-01-01   340
2009-04-01   330
2009-07-01   331
2009-10-01   340
2010-01-01   338
2010-04-01   337
2010-07-01   336
2010-10-01   331
2011-01-01   327
2011-04-01   322
2011-07-01   318
2011-10-01   312
2012-01-01   304
2012-04-01   304
2012-07-01   303
2012-10-01   306
2013-01-01   302
2013-04-01   299
2013-07-01   296
2013-10-01   295
2014-01-01   280
2014-04-01   278
2014-07-01   282
2014-10-01   277
2015-01-01   274
2015-04-01   282
2015-07-01   287
2015-10-01   286
2016-01-01   279
2016-04-01   279
2016-07-01   268
2016-10-01   272
2017-01-01   271
2017-04-01   267
2017-07-01   268
2017-10-01   272
2018-01-01   269
