Title:               Number of Private Establishments for All Industries in Bladen County, NC
Series ID:           ENU3701720510
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Establishments
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:22 AM CDT
Notes:               An establishment is an economic unit, such as a factory, mine, store,
                     or office that produces goods or services. It generally is at a single
                     location and is engaged predominantly in one type of economic
                     activity. Where a single location encompasses two or more distinct
                     activities, these are treated as separate establishments, if separate
                     payroll records are available, and the various activities are
                     classified under different industry codes.

DATE       VALUE
1990-01-01   456
1990-04-01   479
1990-07-01   478
1990-10-01   476
1991-01-01   479
1991-04-01   485
1991-07-01   490
1991-10-01   494
1992-01-01   511
1992-04-01   497
1992-07-01   494
1992-10-01   500
1993-01-01   499
1993-04-01   515
1993-07-01   519
1993-10-01   528
1994-01-01   528
1994-04-01   534
1994-07-01   542
1994-10-01   547
1995-01-01   547
1995-04-01   558
1995-07-01   553
1995-10-01   556
1996-01-01   554
1996-04-01   549
1996-07-01   558
1996-10-01   566
1997-01-01   566
1997-04-01   573
1997-07-01   576
1997-10-01   570
1998-01-01   575
1998-04-01   577
1998-07-01   574
1998-10-01   572
1999-01-01   572
1999-04-01   584
1999-07-01   588
1999-10-01   592
2000-01-01   590
2000-04-01   592
2000-07-01   576
2000-10-01   573
2001-01-01   570
2001-04-01   570
2001-07-01   556
2001-10-01   552
2002-01-01   558
2002-04-01   557
2002-07-01   555
2002-10-01   550
2003-01-01   539
2003-04-01   540
2003-07-01   546
2003-10-01   541
2004-01-01   542
2004-04-01   547
2004-07-01   557
2004-10-01   564
2005-01-01   560
2005-04-01   560
2005-07-01   560
2005-10-01   559
2006-01-01   566
2006-04-01   562
2006-07-01   567
2006-10-01   559
2007-01-01   560
2007-04-01   557
2007-07-01   546
2007-10-01   556
2008-01-01   582
2008-04-01   555
2008-07-01   557
2008-10-01   557
2009-01-01   560
2009-04-01   553
2009-07-01   553
2009-10-01   567
2010-01-01   566
2010-04-01   576
2010-07-01   580
2010-10-01   586
2011-01-01   588
2011-04-01   581
2011-07-01   582
2011-10-01   578
2012-01-01   587
2012-04-01   593
2012-07-01   591
2012-10-01   586
2013-01-01   577
2013-04-01   581
2013-07-01   577
2013-10-01   577
2014-01-01   563
2014-04-01   563
2014-07-01   557
2014-10-01   568
2015-01-01   558
2015-04-01   565
2015-07-01   563
2015-10-01   560
2016-01-01   555
2016-04-01   555
2016-07-01   556
2016-10-01   557
2017-01-01   556
2017-04-01   559
2017-07-01   553
2017-10-01   560
2018-01-01   554
