Title:               Number of Private Establishments for All Industries in Cabarrus County, NC
Series ID:           ENU3702520510
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Establishments
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:25 AM CDT
Notes:               An establishment is an economic unit, such as a factory, mine, store,
                     or office that produces goods or services. It generally is at a single
                     location and is engaged predominantly in one type of economic
                     activity. Where a single location encompasses two or more distinct
                     activities, these are treated as separate establishments, if separate
                     payroll records are available, and the various activities are
                     classified under different industry codes.

DATE       VALUE
1990-01-01  1956
1990-04-01  1999
1990-07-01  2004
1990-10-01  1991
1991-01-01  2001
1991-04-01  2030
1991-07-01  2018
1991-10-01  2044
1992-01-01  2013
1992-04-01  2022
1992-07-01  2033
1992-10-01  2055
1993-01-01  2075
1993-04-01  2104
1993-07-01  2130
1993-10-01  2148
1994-01-01  2178
1994-04-01  2202
1994-07-01  2223
1994-10-01  2261
1995-01-01  2286
1995-04-01  2326
1995-07-01  2319
1995-10-01  2365
1996-01-01  2394
1996-04-01  2418
1996-07-01  2441
1996-10-01  2493
1997-01-01  2521
1997-04-01  2554
1997-07-01  2580
1997-10-01  2569
1998-01-01  2578
1998-04-01  2614
1998-07-01  2648
1998-10-01  2684
1999-01-01  2738
1999-04-01  2820
1999-07-01  2908
1999-10-01  2976
2000-01-01  3033
2000-04-01  3088
2000-07-01  3132
2000-10-01  3176
2001-01-01  3194
2001-04-01  3241
2001-07-01  3246
2001-10-01  3259
2002-01-01  3353
2002-04-01  3417
2002-07-01  3466
2002-10-01  3528
2003-01-01  3395
2003-04-01  3433
2003-07-01  3467
2003-10-01  3528
2004-01-01  3531
2004-04-01  3553
2004-07-01  3552
2004-10-01  3590
2005-01-01  3598
2005-04-01  3644
2005-07-01  3674
2005-10-01  3724
2006-01-01  3750
2006-04-01  3772
2006-07-01  3828
2006-10-01  3850
2007-01-01  4048
2007-04-01  4075
2007-07-01  4121
2007-10-01  4199
2008-01-01  4256
2008-04-01  4274
2008-07-01  4293
2008-10-01  4294
2009-01-01  4251
2009-04-01  4211
2009-07-01  4178
2009-10-01  4171
2010-01-01  4088
2010-04-01  4087
2010-07-01  4081
2010-10-01  4110
2011-01-01  4009
2011-04-01  4001
2011-07-01  4010
2011-10-01  4055
2012-01-01  4047
2012-04-01  4067
2012-07-01  4074
2012-10-01  4090
2013-01-01  4044
2013-04-01  4033
2013-07-01  4009
2013-10-01  4050
2014-01-01  4099
2014-04-01  4099
2014-07-01  4104
2014-10-01  4136
2015-01-01  4237
2015-04-01  4257
2015-07-01  4270
2015-10-01  4343
2016-01-01  4390
2016-04-01  4493
2016-07-01  4436
2016-10-01  4511
2017-01-01  4531
2017-04-01  4579
2017-07-01  4607
2017-10-01  4625
2018-01-01  4664
