Title:               Number of Private Establishments for All Industries in Carteret County, NC
Series ID:           ENU3703120510
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Establishments
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:25 AM CDT
Notes:               An establishment is an economic unit, such as a factory, mine, store,
                     or office that produces goods or services. It generally is at a single
                     location and is engaged predominantly in one type of economic
                     activity. Where a single location encompasses two or more distinct
                     activities, these are treated as separate establishments, if separate
                     payroll records are available, and the various activities are
                     classified under different industry codes.

DATE       VALUE
1990-01-01  1302
1990-04-01  1352
1990-07-01  1351
1990-10-01  1371
1991-01-01  1371
1991-04-01  1387
1991-07-01  1405
1991-10-01  1411
1992-01-01  1408
1992-04-01  1421
1992-07-01  1434
1992-10-01  1458
1993-01-01  1477
1993-04-01  1494
1993-07-01  1516
1993-10-01  1542
1994-01-01  1546
1994-04-01  1572
1994-07-01  1587
1994-10-01  1619
1995-01-01  1622
1995-04-01  1642
1995-07-01  1661
1995-10-01  1698
1996-01-01  1691
1996-04-01  1704
1996-07-01  1705
1996-10-01  1710
1997-01-01  1702
1997-04-01  1716
1997-07-01  1735
1997-10-01  1752
1998-01-01  1755
1998-04-01  1768
1998-07-01  1779
1998-10-01  1798
1999-01-01  1804
1999-04-01  1828
1999-07-01  1861
1999-10-01  1906
2000-01-01  1906
2000-04-01  1934
2000-07-01  1935
2000-10-01  1944
2001-01-01  1915
2001-04-01  1937
2001-07-01  1943
2001-10-01  1939
2002-01-01  1951
2002-04-01  1972
2002-07-01  1977
2002-10-01  1969
2003-01-01  1900
2003-04-01  1908
2003-07-01  1943
2003-10-01  1951
2004-01-01  1940
2004-04-01  1960
2004-07-01  1983
2004-10-01  1998
2005-01-01  1985
2005-04-01  2000
2005-07-01  2022
2005-10-01  2020
2006-01-01  2046
2006-04-01  2061
2006-07-01  2077
2006-10-01  2087
2007-01-01  2142
2007-04-01  2172
2007-07-01  2201
2007-10-01  2201
2008-01-01  2232
2008-04-01  2190
2008-07-01  2190
2008-10-01  2189
2009-01-01  2173
2009-04-01  2155
2009-07-01  2156
2009-10-01  2132
2010-01-01  2110
2010-04-01  2130
2010-07-01  2126
2010-10-01  2128
2011-01-01  2104
2011-04-01  2108
2011-07-01  2132
2011-10-01  2136
2012-01-01  2101
2012-04-01  2116
2012-07-01  2078
2012-10-01  2065
2013-01-01  2027
2013-04-01  2018
2013-07-01  1996
2013-10-01  2007
2014-01-01  2004
2014-04-01  2017
2014-07-01  2039
2014-10-01  2015
2015-01-01  2041
2015-04-01  2055
2015-07-01  2051
2015-10-01  2071
2016-01-01  2065
2016-04-01  2073
2016-07-01  2060
2016-10-01  2081
2017-01-01  2083
2017-04-01  2094
2017-07-01  2089
2017-10-01  2116
2018-01-01  2143
