Title:               Number of Private Establishments for All Industries in Caswell County, NC
Series ID:           ENU3703320510
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Establishments
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:25 AM CDT
Notes:               An establishment is an economic unit, such as a factory, mine, store,
                     or office that produces goods or services. It generally is at a single
                     location and is engaged predominantly in one type of economic
                     activity. Where a single location encompasses two or more distinct
                     activities, these are treated as separate establishments, if separate
                     payroll records are available, and the various activities are
                     classified under different industry codes.

DATE       VALUE
1990-01-01   180
1990-04-01   187
1990-07-01   186
1990-10-01   203
1991-01-01   193
1991-04-01   191
1991-07-01   192
1991-10-01   195
1992-01-01   186
1992-04-01   185
1992-07-01   183
1992-10-01   185
1993-01-01   187
1993-04-01   190
1993-07-01   189
1993-10-01   195
1994-01-01   197
1994-04-01   200
1994-07-01   207
1994-10-01   204
1995-01-01   203
1995-04-01   201
1995-07-01   206
1995-10-01   209
1996-01-01   209
1996-04-01   206
1996-07-01   211
1996-10-01   215
1997-01-01   219
1997-04-01   219
1997-07-01   224
1997-10-01   227
1998-01-01   218
1998-04-01   218
1998-07-01   214
1998-10-01   210
1999-01-01   215
1999-04-01   222
1999-07-01   229
1999-10-01   235
2000-01-01   232
2000-04-01   236
2000-07-01   241
2000-10-01   244
2001-01-01   244
2001-04-01   249
2001-07-01   245
2001-10-01   254
2002-01-01   252
2002-04-01   253
2002-07-01   254
2002-10-01   253
2003-01-01   232
2003-04-01   226
2003-07-01   226
2003-10-01   222
2004-01-01   225
2004-04-01   229
2004-07-01   229
2004-10-01   233
2005-01-01   234
2005-04-01   233
2005-07-01   235
2005-10-01   234
2006-01-01   241
2006-04-01   243
2006-07-01   244
2006-10-01   240
2007-01-01   239
2007-04-01   245
2007-07-01   243
2007-10-01   241
2008-01-01   247
2008-04-01   239
2008-07-01   245
2008-10-01   246
2009-01-01   245
2009-04-01   235
2009-07-01   240
2009-10-01   239
2010-01-01   237
2010-04-01   238
2010-07-01   237
2010-10-01   239
2011-01-01   233
2011-04-01   237
2011-07-01   245
2011-10-01   248
2012-01-01   251
2012-04-01   258
2012-07-01   252
2012-10-01   254
2013-01-01   253
2013-04-01   253
2013-07-01   253
2013-10-01   253
2014-01-01   249
2014-04-01   240
2014-07-01   245
2014-10-01   242
2015-01-01   233
2015-04-01   236
2015-07-01   242
2015-10-01   249
2016-01-01   245
2016-04-01   238
2016-07-01   242
2016-10-01   244
2017-01-01   249
2017-04-01   250
2017-07-01   251
2017-10-01   254
2018-01-01   251
