Title:               Number of Private Establishments for All Industries in Chowan County, NC
Series ID:           ENU3704120510
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Establishments
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:25 AM CDT
Notes:               An establishment is an economic unit, such as a factory, mine, store,
                     or office that produces goods or services. It generally is at a single
                     location and is engaged predominantly in one type of economic
                     activity. Where a single location encompasses two or more distinct
                     activities, these are treated as separate establishments, if separate
                     payroll records are available, and the various activities are
                     classified under different industry codes.

DATE       VALUE
1990-01-01   306
1990-04-01   316
1990-07-01   317
1990-10-01   319
1991-01-01   317
1991-04-01   315
1991-07-01   317
1991-10-01   321
1992-01-01   333
1992-04-01   331
1992-07-01   323
1992-10-01   322
1993-01-01   326
1993-04-01   331
1993-07-01   333
1993-10-01   335
1994-01-01   321
1994-04-01   324
1994-07-01   327
1994-10-01   333
1995-01-01   326
1995-04-01   331
1995-07-01   325
1995-10-01   326
1996-01-01   317
1996-04-01   321
1996-07-01   329
1996-10-01   328
1997-01-01   322
1997-04-01   324
1997-07-01   325
1997-10-01   331
1998-01-01   340
1998-04-01   338
1998-07-01   344
1998-10-01   342
1999-01-01   353
1999-04-01   352
1999-07-01   359
1999-10-01   360
2000-01-01   363
2000-04-01   367
2000-07-01   368
2000-10-01   371
2001-01-01   377
2001-04-01   378
2001-07-01   383
2001-10-01   379
2002-01-01   376
2002-04-01   377
2002-07-01   377
2002-10-01   380
2003-01-01   364
2003-04-01   363
2003-07-01   371
2003-10-01   371
2004-01-01   365
2004-04-01   366
2004-07-01   372
2004-10-01   370
2005-01-01   375
2005-04-01   380
2005-07-01   386
2005-10-01   388
2006-01-01   391
2006-04-01   398
2006-07-01   407
2006-10-01   406
2007-01-01   404
2007-04-01   402
2007-07-01   408
2007-10-01   410
2008-01-01   413
2008-04-01   413
2008-07-01   409
2008-10-01   406
2009-01-01   409
2009-04-01   409
2009-07-01   410
2009-10-01   408
2010-01-01   408
2010-04-01   402
2010-07-01   410
2010-10-01   411
2011-01-01   402
2011-04-01   399
2011-07-01   400
2011-10-01   400
2012-01-01   389
2012-04-01   391
2012-07-01   394
2012-10-01   399
2013-01-01   385
2013-04-01   380
2013-07-01   375
2013-10-01   381
2014-01-01   383
2014-04-01   377
2014-07-01   373
2014-10-01   368
2015-01-01   363
2015-04-01   364
2015-07-01   360
2015-10-01   361
2016-01-01   360
2016-04-01   357
2016-07-01   348
2016-10-01   348
2017-01-01   357
2017-04-01   350
2017-07-01   353
2017-10-01   349
2018-01-01   358
