Title:               Number of Private Establishments for All Industries in Columbus County, NC
Series ID:           ENU3704720510
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Establishments
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:25 AM CDT
Notes:               An establishment is an economic unit, such as a factory, mine, store,
                     or office that produces goods or services. It generally is at a single
                     location and is engaged predominantly in one type of economic
                     activity. Where a single location encompasses two or more distinct
                     activities, these are treated as separate establishments, if separate
                     payroll records are available, and the various activities are
                     classified under different industry codes.

DATE       VALUE
1990-01-01   896
1990-04-01   901
1990-07-01   901
1990-10-01   904
1991-01-01   917
1991-04-01   918
1991-07-01   926
1991-10-01   936
1992-01-01   923
1992-04-01   934
1992-07-01   935
1992-10-01   936
1993-01-01   955
1993-04-01   964
1993-07-01   968
1993-10-01   988
1994-01-01  1001
1994-04-01  1009
1994-07-01  1015
1994-10-01  1018
1995-01-01  1022
1995-04-01  1022
1995-07-01  1020
1995-10-01  1030
1996-01-01  1033
1996-04-01  1032
1996-07-01  1037
1996-10-01  1050
1997-01-01  1044
1997-04-01  1054
1997-07-01  1063
1997-10-01  1068
1998-01-01  1060
1998-04-01  1070
1998-07-01  1064
1998-10-01  1068
1999-01-01  1070
1999-04-01  1085
1999-07-01  1098
1999-10-01  1106
2000-01-01  1133
2000-04-01  1137
2000-07-01  1143
2000-10-01  1147
2001-01-01  1125
2001-04-01  1135
2001-07-01  1120
2001-10-01  1124
2002-01-01  1137
2002-04-01  1133
2002-07-01  1135
2002-10-01  1137
2003-01-01  1090
2003-04-01  1083
2003-07-01  1089
2003-10-01  1102
2004-01-01  1096
2004-04-01  1102
2004-07-01  1097
2004-10-01  1099
2005-01-01  1081
2005-04-01  1095
2005-07-01  1099
2005-10-01  1084
2006-01-01  1103
2006-04-01  1098
2006-07-01  1106
2006-10-01  1108
2007-01-01  1120
2007-04-01  1120
2007-07-01  1120
2007-10-01  1126
2008-01-01  1130
2008-04-01  1105
2008-07-01  1110
2008-10-01  1119
2009-01-01  1116
2009-04-01  1117
2009-07-01  1100
2009-10-01  1098
2010-01-01  1080
2010-04-01  1074
2010-07-01  1081
2010-10-01  1083
2011-01-01  1056
2011-04-01  1061
2011-07-01  1056
2011-10-01  1046
2012-01-01  1066
2012-04-01  1072
2012-07-01  1058
2012-10-01  1055
2013-01-01  1031
2013-04-01  1029
2013-07-01  1035
2013-10-01  1042
2014-01-01  1048
2014-04-01  1048
2014-07-01  1035
2014-10-01  1020
2015-01-01  1027
2015-04-01  1023
2015-07-01  1011
2015-10-01  1034
2016-01-01  1003
2016-04-01  1002
2016-07-01   978
2016-10-01   984
2017-01-01   992
2017-04-01  1006
2017-07-01   995
2017-10-01   992
2018-01-01  1007
