Title:               Number of Private Establishments for All Industries in Davidson County, NC
Series ID:           ENU3705720510
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Establishments
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:25 AM CDT
Notes:               An establishment is an economic unit, such as a factory, mine, store,
                     or office that produces goods or services. It generally is at a single
                     location and is engaged predominantly in one type of economic
                     activity. Where a single location encompasses two or more distinct
                     activities, these are treated as separate establishments, if separate
                     payroll records are available, and the various activities are
                     classified under different industry codes.

DATE       VALUE
1990-01-01  2072
1990-04-01  2123
1990-07-01  2148
1990-10-01  2155
1991-01-01  2146
1991-04-01  2182
1991-07-01  2183
1991-10-01  2212
1992-01-01  2223
1992-04-01  2226
1992-07-01  2246
1992-10-01  2256
1993-01-01  2269
1993-04-01  2299
1993-07-01  2306
1993-10-01  2317
1994-01-01  2318
1994-04-01  2342
1994-07-01  2356
1994-10-01  2375
1995-01-01  2417
1995-04-01  2426
1995-07-01  2445
1995-10-01  2472
1996-01-01  2470
1996-04-01  2484
1996-07-01  2495
1996-10-01  2516
1997-01-01  2496
1997-04-01  2519
1997-07-01  2556
1997-10-01  2573
1998-01-01  2600
1998-04-01  2614
1998-07-01  2621
1998-10-01  2639
1999-01-01  2649
1999-04-01  2704
1999-07-01  2751
1999-10-01  2781
2000-01-01  2779
2000-04-01  2801
2000-07-01  2816
2000-10-01  2835
2001-01-01  2839
2001-04-01  2859
2001-07-01  2865
2001-10-01  2874
2002-01-01  2902
2002-04-01  2904
2002-07-01  2891
2002-10-01  2904
2003-01-01  2780
2003-04-01  2778
2003-07-01  2790
2003-10-01  2794
2004-01-01  2832
2004-04-01  2849
2004-07-01  2836
2004-10-01  2856
2005-01-01  2864
2005-04-01  2885
2005-07-01  2902
2005-10-01  2905
2006-01-01  2913
2006-04-01  2929
2006-07-01  2950
2006-10-01  2960
2007-01-01  3014
2007-04-01  3036
2007-07-01  3054
2007-10-01  3077
2008-01-01  3082
2008-04-01  3056
2008-07-01  3058
2008-10-01  3012
2009-01-01  2929
2009-04-01  2898
2009-07-01  2854
2009-10-01  2836
2010-01-01  2815
2010-04-01  2796
2010-07-01  2764
2010-10-01  2776
2011-01-01  2713
2011-04-01  2733
2011-07-01  2742
2011-10-01  2747
2012-01-01  2727
2012-04-01  2743
2012-07-01  2732
2012-10-01  2727
2013-01-01  2683
2013-04-01  2693
2013-07-01  2694
2013-10-01  2709
2014-01-01  2730
2014-04-01  2719
2014-07-01  2697
2014-10-01  2672
2015-01-01  2696
2015-04-01  2719
2015-07-01  2716
2015-10-01  2733
2016-01-01  2730
2016-04-01  2754
2016-07-01  2722
2016-10-01  2729
2017-01-01  2718
2017-04-01  2717
2017-07-01  2741
2017-10-01  2752
2018-01-01  2763
