Title:               Number of Private Establishments for All Industries in Duplin County, NC
Series ID:           ENU3706120510
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Establishments
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:25 AM CDT
Notes:               An establishment is an economic unit, such as a factory, mine, store,
                     or office that produces goods or services. It generally is at a single
                     location and is engaged predominantly in one type of economic
                     activity. Where a single location encompasses two or more distinct
                     activities, these are treated as separate establishments, if separate
                     payroll records are available, and the various activities are
                     classified under different industry codes.

DATE       VALUE
1990-01-01   726
1990-04-01   751
1990-07-01   749
1990-10-01   744
1991-01-01   763
1991-04-01   778
1991-07-01   781
1991-10-01   780
1992-01-01   810
1992-04-01   813
1992-07-01   823
1992-10-01   824
1993-01-01   828
1993-04-01   836
1993-07-01   840
1993-10-01   851
1994-01-01   840
1994-04-01   860
1994-07-01   873
1994-10-01   885
1995-01-01   907
1995-04-01   915
1995-07-01   923
1995-10-01   938
1996-01-01   923
1996-04-01   924
1996-07-01   926
1996-10-01   953
1997-01-01   953
1997-04-01   972
1997-07-01   985
1997-10-01   997
1998-01-01   999
1998-04-01  1004
1998-07-01  1004
1998-10-01  1014
1999-01-01  1016
1999-04-01  1038
1999-07-01  1054
1999-10-01  1056
2000-01-01  1047
2000-04-01  1057
2000-07-01  1051
2000-10-01  1052
2001-01-01  1035
2001-04-01  1040
2001-07-01  1033
2001-10-01  1025
2002-01-01  1041
2002-04-01  1034
2002-07-01  1035
2002-10-01  1031
2003-01-01   976
2003-04-01   975
2003-07-01   990
2003-10-01  1003
2004-01-01   992
2004-04-01   990
2004-07-01   991
2004-10-01  1001
2005-01-01   993
2005-04-01   988
2005-07-01  1004
2005-10-01  1010
2006-01-01  1014
2006-04-01  1025
2006-07-01  1032
2006-10-01  1038
2007-01-01  1054
2007-04-01  1054
2007-07-01  1079
2007-10-01  1079
2008-01-01  1142
2008-04-01  1070
2008-07-01  1078
2008-10-01  1076
2009-01-01  1083
2009-04-01  1060
2009-07-01  1048
2009-10-01  1051
2010-01-01  1042
2010-04-01  1055
2010-07-01  1077
2010-10-01  1075
2011-01-01  1059
2011-04-01  1068
2011-07-01  1088
2011-10-01  1083
2012-01-01  1084
2012-04-01  1084
2012-07-01  1077
2012-10-01  1079
2013-01-01  1067
2013-04-01  1066
2013-07-01  1061
2013-10-01  1057
2014-01-01  1047
2014-04-01  1029
2014-07-01  1021
2014-10-01  1019
2015-01-01  1028
2015-04-01  1025
2015-07-01  1009
2015-10-01  1014
2016-01-01   998
2016-04-01   999
2016-07-01  1003
2016-10-01  1012
2017-01-01  1004
2017-04-01  1009
2017-07-01  1015
2017-10-01  1016
2018-01-01  1014
