Title:               Number of Private Establishments for All Industries in Granville County, NC
Series ID:           ENU3707720510
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Establishments
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:25 AM CDT
Notes:               An establishment is an economic unit, such as a factory, mine, store,
                     or office that produces goods or services. It generally is at a single
                     location and is engaged predominantly in one type of economic
                     activity. Where a single location encompasses two or more distinct
                     activities, these are treated as separate establishments, if separate
                     payroll records are available, and the various activities are
                     classified under different industry codes.

DATE       VALUE
1990-01-01   556
1990-04-01   560
1990-07-01   563
1990-10-01   573
1991-01-01   576
1991-04-01   573
1991-07-01   582
1991-10-01   579
1992-01-01   586
1992-04-01   583
1992-07-01   589
1992-10-01   595
1993-01-01   618
1993-04-01   611
1993-07-01   619
1993-10-01   613
1994-01-01   625
1994-04-01   634
1994-07-01   637
1994-10-01   641
1995-01-01   653
1995-04-01   659
1995-07-01   678
1995-10-01   697
1996-01-01   694
1996-04-01   702
1996-07-01   700
1996-10-01   712
1997-01-01   718
1997-04-01   713
1997-07-01   728
1997-10-01   727
1998-01-01   725
1998-04-01   730
1998-07-01   722
1998-10-01   722
1999-01-01   743
1999-04-01   756
1999-07-01   775
1999-10-01   782
2000-01-01   773
2000-04-01   777
2000-07-01   781
2000-10-01   779
2001-01-01   733
2001-04-01   735
2001-07-01   727
2001-10-01   724
2002-01-01   745
2002-04-01   747
2002-07-01   743
2002-10-01   744
2003-01-01   749
2003-04-01   753
2003-07-01   765
2003-10-01   769
2004-01-01   762
2004-04-01   770
2004-07-01   782
2004-10-01   784
2005-01-01   776
2005-04-01   781
2005-07-01   779
2005-10-01   776
2006-01-01   809
2006-04-01   805
2006-07-01   821
2006-10-01   826
2007-01-01   856
2007-04-01   861
2007-07-01   873
2007-10-01   882
2008-01-01   884
2008-04-01   875
2008-07-01   884
2008-10-01   877
2009-01-01   858
2009-04-01   848
2009-07-01   847
2009-10-01   850
2010-01-01   839
2010-04-01   836
2010-07-01   835
2010-10-01   841
2011-01-01   820
2011-04-01   826
2011-07-01   837
2011-10-01   830
2012-01-01   847
2012-04-01   849
2012-07-01   853
2012-10-01   863
2013-01-01   865
2013-04-01   863
2013-07-01   858
2013-10-01   858
2014-01-01   870
2014-04-01   866
2014-07-01   875
2014-10-01   872
2015-01-01   884
2015-04-01   890
2015-07-01   892
2015-10-01   904
2016-01-01   907
2016-04-01   913
2016-07-01   897
2016-10-01   905
2017-01-01   882
2017-04-01   886
2017-07-01   877
2017-10-01   881
2018-01-01   884
