Title:               Number of Private Establishments for All Industries in Greene County, NC
Series ID:           ENU3707920510
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Establishments
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:25 AM CDT
Notes:               An establishment is an economic unit, such as a factory, mine, store,
                     or office that produces goods or services. It generally is at a single
                     location and is engaged predominantly in one type of economic
                     activity. Where a single location encompasses two or more distinct
                     activities, these are treated as separate establishments, if separate
                     payroll records are available, and the various activities are
                     classified under different industry codes.

DATE       VALUE
1990-01-01   189
1990-04-01   196
1990-07-01   198
1990-10-01   212
1991-01-01   201
1991-04-01   210
1991-07-01   211
1991-10-01   219
1992-01-01   213
1992-04-01   216
1992-07-01   217
1992-10-01   214
1993-01-01   217
1993-04-01   214
1993-07-01   212
1993-10-01   221
1994-01-01   218
1994-04-01   217
1994-07-01   214
1994-10-01   218
1995-01-01   226
1995-04-01   230
1995-07-01   229
1995-10-01   233
1996-01-01   239
1996-04-01   238
1996-07-01   247
1996-10-01   250
1997-01-01   241
1997-04-01   242
1997-07-01   242
1997-10-01   239
1998-01-01   241
1998-04-01   239
1998-07-01   246
1998-10-01   249
1999-01-01   260
1999-04-01   267
1999-07-01   271
1999-10-01   268
2000-01-01   272
2000-04-01   274
2000-07-01   271
2000-10-01   273
2001-01-01   244
2001-04-01   250
2001-07-01   256
2001-10-01   249
2002-01-01   259
2002-04-01   264
2002-07-01   263
2002-10-01   266
2003-01-01   269
2003-04-01   262
2003-07-01   268
2003-10-01   267
2004-01-01   271
2004-04-01   277
2004-07-01   282
2004-10-01   282
2005-01-01   280
2005-04-01   278
2005-07-01   279
2005-10-01   279
2006-01-01   278
2006-04-01   281
2006-07-01   278
2006-10-01   280
2007-01-01   283
2007-04-01   283
2007-07-01   295
2007-10-01   298
2008-01-01   298
2008-04-01   297
2008-07-01   296
2008-10-01   296
2009-01-01   301
2009-04-01   299
2009-07-01   299
2009-10-01   296
2010-01-01   292
2010-04-01   290
2010-07-01   285
2010-10-01   283
2011-01-01   286
2011-04-01   287
2011-07-01   287
2011-10-01   290
2012-01-01   302
2012-04-01   300
2012-07-01   300
2012-10-01   301
2013-01-01   296
2013-04-01   288
2013-07-01   287
2013-10-01   290
2014-01-01   279
2014-04-01   284
2014-07-01   284
2014-10-01   285
2015-01-01   295
2015-04-01   290
2015-07-01   284
2015-10-01   282
2016-01-01   287
2016-04-01   286
2016-07-01   282
2016-10-01   287
2017-01-01   296
2017-04-01   307
2017-07-01   304
2017-10-01   306
2018-01-01   301
