Title:               Number of Private Establishments for All Industries in Henderson County, NC
Series ID:           ENU3708920510
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Establishments
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:22 AM CDT
Notes:               An establishment is an economic unit, such as a factory, mine, store,
                     or office that produces goods or services. It generally is at a single
                     location and is engaged predominantly in one type of economic
                     activity. Where a single location encompasses two or more distinct
                     activities, these are treated as separate establishments, if separate
                     payroll records are available, and the various activities are
                     classified under different industry codes.

DATE       VALUE
1990-01-01  1627
1990-04-01  1673
1990-07-01  1686
1990-10-01  1698
1991-01-01  1693
1991-04-01  1674
1991-07-01  1690
1991-10-01  1683
1992-01-01  1667
1992-04-01  1675
1992-07-01  1687
1992-10-01  1689
1993-01-01  1691
1993-04-01  1724
1993-07-01  1736
1993-10-01  1771
1994-01-01  1766
1994-04-01  1793
1994-07-01  1826
1994-10-01  1851
1995-01-01  1848
1995-04-01  1861
1995-07-01  1889
1995-10-01  1919
1996-01-01  1891
1996-04-01  1903
1996-07-01  1919
1996-10-01  1936
1997-01-01  1942
1997-04-01  1968
1997-07-01  1987
1997-10-01  1991
1998-01-01  2011
1998-04-01  2041
1998-07-01  2061
1998-10-01  2075
1999-01-01  2102
1999-04-01  2167
1999-07-01  2223
1999-10-01  2266
2000-01-01  2279
2000-04-01  2308
2000-07-01  2311
2000-10-01  2317
2001-01-01  2250
2001-04-01  2279
2001-07-01  2278
2001-10-01  2305
2002-01-01  2346
2002-04-01  2347
2002-07-01  2353
2002-10-01  2379
2003-01-01  2308
2003-04-01  2332
2003-07-01  2362
2003-10-01  2398
2004-01-01  2363
2004-04-01  2401
2004-07-01  2439
2004-10-01  2460
2005-01-01  2498
2005-04-01  2503
2005-07-01  2517
2005-10-01  2511
2006-01-01  2541
2006-04-01  2585
2006-07-01  2622
2006-10-01  2669
2007-01-01  2762
2007-04-01  2783
2007-07-01  2807
2007-10-01  2856
2008-01-01  2885
2008-04-01  2879
2008-07-01  2892
2008-10-01  2895
2009-01-01  2875
2009-04-01  2839
2009-07-01  2807
2009-10-01  2807
2010-01-01  2795
2010-04-01  2784
2010-07-01  2790
2010-10-01  2781
2011-01-01  2743
2011-04-01  2745
2011-07-01  2777
2011-10-01  2786
2012-01-01  2744
2012-04-01  2760
2012-07-01  2736
2012-10-01  2754
2013-01-01  2696
2013-04-01  2692
2013-07-01  2681
2013-10-01  2700
2014-01-01  2739
2014-04-01  2723
2014-07-01  2704
2014-10-01  2708
2015-01-01  2749
2015-04-01  2784
2015-07-01  2786
2015-10-01  2833
2016-01-01  2846
2016-04-01  2878
2016-07-01  2851
2016-10-01  2893
2017-01-01  2896
2017-04-01  2937
2017-07-01  2938
2017-10-01  2957
2018-01-01  2991
