Title:               Number of Private Establishments for All Industries in Jackson County, NC
Series ID:           ENU3709920510
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Establishments
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:25 AM CDT
Notes:               An establishment is an economic unit, such as a factory, mine, store,
                     or office that produces goods or services. It generally is at a single
                     location and is engaged predominantly in one type of economic
                     activity. Where a single location encompasses two or more distinct
                     activities, these are treated as separate establishments, if separate
                     payroll records are available, and the various activities are
                     classified under different industry codes.

DATE       VALUE
1990-01-01   584
1990-04-01   600
1990-07-01   606
1990-10-01   618
1991-01-01   631
1991-04-01   633
1991-07-01   645
1991-10-01   655
1992-01-01   670
1992-04-01   671
1992-07-01   677
1992-10-01   682
1993-01-01   692
1993-04-01   704
1993-07-01   714
1993-10-01   721
1994-01-01   726
1994-04-01   744
1994-07-01   749
1994-10-01   761
1995-01-01   758
1995-04-01   764
1995-07-01   774
1995-10-01   791
1996-01-01   793
1996-04-01   788
1996-07-01   802
1996-10-01   824
1997-01-01   818
1997-04-01   837
1997-07-01   855
1997-10-01   857
1998-01-01   851
1998-04-01   848
1998-07-01   853
1998-10-01   864
1999-01-01   862
1999-04-01   885
1999-07-01   908
1999-10-01   917
2000-01-01   911
2000-04-01   922
2000-07-01   924
2000-10-01   923
2001-01-01   881
2001-04-01   895
2001-07-01   900
2001-10-01   906
2002-01-01   922
2002-04-01   922
2002-07-01   917
2002-10-01   924
2003-01-01   920
2003-04-01   920
2003-07-01   938
2003-10-01   943
2004-01-01   934
2004-04-01   941
2004-07-01   944
2004-10-01   955
2005-01-01   954
2005-04-01   969
2005-07-01   985
2005-10-01   979
2006-01-01   987
2006-04-01   991
2006-07-01  1007
2006-10-01  1020
2007-01-01  1014
2007-04-01  1027
2007-07-01  1037
2007-10-01  1064
2008-01-01  1064
2008-04-01  1059
2008-07-01  1059
2008-10-01  1058
2009-01-01  1043
2009-04-01  1032
2009-07-01  1035
2009-10-01  1022
2010-01-01  1057
2010-04-01  1059
2010-07-01  1056
2010-10-01  1043
2011-01-01  1024
2011-04-01  1027
2011-07-01  1035
2011-10-01  1029
2012-01-01  1016
2012-04-01  1027
2012-07-01  1024
2012-10-01  1024
2013-01-01  1003
2013-04-01  1003
2013-07-01   997
2013-10-01   995
2014-01-01   990
2014-04-01   982
2014-07-01   973
2014-10-01   971
2015-01-01   974
2015-04-01   987
2015-07-01   985
2015-10-01   988
2016-01-01   976
2016-04-01   976
2016-07-01   970
2016-10-01   965
2017-01-01   972
2017-04-01   986
2017-07-01   985
2017-10-01   996
2018-01-01  1015
