Title:               Number of Private Establishments for All Industries in Johnston County, NC
Series ID:           ENU3710120510
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Establishments
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:22 AM CDT
Notes:               An establishment is an economic unit, such as a factory, mine, store,
                     or office that produces goods or services. It generally is at a single
                     location and is engaged predominantly in one type of economic
                     activity. Where a single location encompasses two or more distinct
                     activities, these are treated as separate establishments, if separate
                     payroll records are available, and the various activities are
                     classified under different industry codes.

DATE       VALUE
1990-01-01  1680
1990-04-01  1721
1990-07-01  1714
1990-10-01  1732
1991-01-01  1773
1991-04-01  1797
1991-07-01  1821
1991-10-01  1823
1992-01-01  1841
1992-04-01  1872
1992-07-01  1888
1992-10-01  1895
1993-01-01  1917
1993-04-01  1944
1993-07-01  1957
1993-10-01  1992
1994-01-01  1986
1994-04-01  2014
1994-07-01  2028
1994-10-01  2037
1995-01-01  2065
1995-04-01  2080
1995-07-01  2089
1995-10-01  2131
1996-01-01  2138
1996-04-01  2183
1996-07-01  2207
1996-10-01  2256
1997-01-01  2237
1997-04-01  2281
1997-07-01  2333
1997-10-01  2325
1998-01-01  2329
1998-04-01  2348
1998-07-01  2351
1998-10-01  2382
1999-01-01  2417
1999-04-01  2466
1999-07-01  2514
1999-10-01  2557
2000-01-01  2547
2000-04-01  2576
2000-07-01  2589
2000-10-01  2596
2001-01-01  2525
2001-04-01  2560
2001-07-01  2557
2001-10-01  2577
2002-01-01  2641
2002-04-01  2635
2002-07-01  2663
2002-10-01  2657
2003-01-01  2628
2003-04-01  2642
2003-07-01  2666
2003-10-01  2688
2004-01-01  2719
2004-04-01  2701
2004-07-01  2741
2004-10-01  2769
2005-01-01  2795
2005-04-01  2810
2005-07-01  2845
2005-10-01  2867
2006-01-01  2906
2006-04-01  2932
2006-07-01  2984
2006-10-01  3019
2007-01-01  3107
2007-04-01  3124
2007-07-01  3144
2007-10-01  3194
2008-01-01  3243
2008-04-01  3213
2008-07-01  3241
2008-10-01  3260
2009-01-01  3221
2009-04-01  3173
2009-07-01  3150
2009-10-01  3133
2010-01-01  3099
2010-04-01  3066
2010-07-01  3030
2010-10-01  3052
2011-01-01  3021
2011-04-01  3024
2011-07-01  3036
2011-10-01  3057
2012-01-01  3099
2012-04-01  3102
2012-07-01  3083
2012-10-01  3084
2013-01-01  3052
2013-04-01  3046
2013-07-01  3029
2013-10-01  3062
2014-01-01  3115
2014-04-01  3119
2014-07-01  3091
2014-10-01  3093
2015-01-01  3132
2015-04-01  3156
2015-07-01  3178
2015-10-01  3209
2016-01-01  3214
2016-04-01  3245
2016-07-01  3244
2016-10-01  3278
2017-01-01  3291
2017-04-01  3320
2017-07-01  3368
2017-10-01  3402
2018-01-01  3467
