Title:               Number of Private Establishments for All Industries in Lincoln County, NC
Series ID:           ENU3710920510
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Establishments
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:25 AM CDT
Notes:               An establishment is an economic unit, such as a factory, mine, store,
                     or office that produces goods or services. It generally is at a single
                     location and is engaged predominantly in one type of economic
                     activity. Where a single location encompasses two or more distinct
                     activities, these are treated as separate establishments, if separate
                     payroll records are available, and the various activities are
                     classified under different industry codes.

DATE       VALUE
1990-01-01   853
1990-04-01   850
1990-07-01   875
1990-10-01   880
1991-01-01   888
1991-04-01   879
1991-07-01   893
1991-10-01   893
1992-01-01   912
1992-04-01   898
1992-07-01   902
1992-10-01   910
1993-01-01   916
1993-04-01   919
1993-07-01   912
1993-10-01   923
1994-01-01   923
1994-04-01   928
1994-07-01   949
1994-10-01   948
1995-01-01   964
1995-04-01   974
1995-07-01   987
1995-10-01  1006
1996-01-01  1020
1996-04-01  1030
1996-07-01  1051
1996-10-01  1058
1997-01-01  1063
1997-04-01  1082
1997-07-01  1104
1997-10-01  1095
1998-01-01  1113
1998-04-01  1119
1998-07-01  1116
1998-10-01  1136
1999-01-01  1159
1999-04-01  1200
1999-07-01  1234
1999-10-01  1237
2000-01-01  1238
2000-04-01  1267
2000-07-01  1280
2000-10-01  1278
2001-01-01  1302
2001-04-01  1309
2001-07-01  1325
2001-10-01  1322
2002-01-01  1345
2002-04-01  1361
2002-07-01  1368
2002-10-01  1375
2003-01-01  1325
2003-04-01  1318
2003-07-01  1333
2003-10-01  1337
2004-01-01  1344
2004-04-01  1343
2004-07-01  1360
2004-10-01  1375
2005-01-01  1392
2005-04-01  1409
2005-07-01  1441
2005-10-01  1439
2006-01-01  1463
2006-04-01  1497
2006-07-01  1531
2006-10-01  1536
2007-01-01  1613
2007-04-01  1630
2007-07-01  1631
2007-10-01  1654
2008-01-01  1645
2008-04-01  1650
2008-07-01  1658
2008-10-01  1683
2009-01-01  1673
2009-04-01  1647
2009-07-01  1617
2009-10-01  1600
2010-01-01  1588
2010-04-01  1573
2010-07-01  1571
2010-10-01  1596
2011-01-01  1567
2011-04-01  1563
2011-07-01  1569
2011-10-01  1590
2012-01-01  1604
2012-04-01  1614
2012-07-01  1608
2012-10-01  1620
2013-01-01  1590
2013-04-01  1594
2013-07-01  1575
2013-10-01  1586
2014-01-01  1600
2014-04-01  1600
2014-07-01  1591
2014-10-01  1591
2015-01-01  1612
2015-04-01  1633
2015-07-01  1648
2015-10-01  1668
2016-01-01  1664
2016-04-01  1691
2016-07-01  1675
2016-10-01  1684
2017-01-01  1687
2017-04-01  1700
2017-07-01  1708
2017-10-01  1725
2018-01-01  1741
