Title:               Number of Private Establishments for All Industries in Macon County, NC
Series ID:           ENU3711320510
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Establishments
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:25 AM CDT
Notes:               An establishment is an economic unit, such as a factory, mine, store,
                     or office that produces goods or services. It generally is at a single
                     location and is engaged predominantly in one type of economic
                     activity. Where a single location encompasses two or more distinct
                     activities, these are treated as separate establishments, if separate
                     payroll records are available, and the various activities are
                     classified under different industry codes.

DATE       VALUE
1990-01-01   699
1990-04-01   716
1990-07-01   717
1990-10-01   713
1991-01-01   722
1991-04-01   733
1991-07-01   750
1991-10-01   750
1992-01-01   745
1992-04-01   753
1992-07-01   757
1992-10-01   767
1993-01-01   758
1993-04-01   773
1993-07-01   800
1993-10-01   805
1994-01-01   808
1994-04-01   818
1994-07-01   835
1994-10-01   846
1995-01-01   856
1995-04-01   868
1995-07-01   877
1995-10-01   887
1996-01-01   895
1996-04-01   898
1996-07-01   921
1996-10-01   934
1997-01-01   938
1997-04-01   953
1997-07-01   963
1997-10-01   952
1998-01-01   933
1998-04-01   954
1998-07-01   955
1998-10-01   966
1999-01-01   956
1999-04-01   985
1999-07-01  1023
1999-10-01  1035
2000-01-01  1027
2000-04-01  1047
2000-07-01  1055
2000-10-01  1054
2001-01-01  1054
2001-04-01  1084
2001-07-01  1086
2001-10-01  1095
2002-01-01  1122
2002-04-01  1141
2002-07-01  1150
2002-10-01  1144
2003-01-01  1103
2003-04-01  1110
2003-07-01  1128
2003-10-01  1130
2004-01-01  1143
2004-04-01  1141
2004-07-01  1156
2004-10-01  1163
2005-01-01  1176
2005-04-01  1172
2005-07-01  1185
2005-10-01  1195
2006-01-01  1207
2006-04-01  1216
2006-07-01  1214
2006-10-01  1223
2007-01-01  1270
2007-04-01  1277
2007-07-01  1290
2007-10-01  1310
2008-01-01  1309
2008-04-01  1310
2008-07-01  1320
2008-10-01  1313
2009-01-01  1291
2009-04-01  1268
2009-07-01  1258
2009-10-01  1249
2010-01-01  1227
2010-04-01  1217
2010-07-01  1195
2010-10-01  1190
2011-01-01  1147
2011-04-01  1125
2011-07-01  1139
2011-10-01  1142
2012-01-01  1123
2012-04-01  1137
2012-07-01  1138
2012-10-01  1143
2013-01-01  1104
2013-04-01  1102
2013-07-01  1097
2013-10-01  1092
2014-01-01  1104
2014-04-01  1101
2014-07-01  1092
2014-10-01  1102
2015-01-01  1098
2015-04-01  1110
2015-07-01  1111
2015-10-01  1117
2016-01-01  1091
2016-04-01  1106
2016-07-01  1080
2016-10-01  1087
2017-01-01  1086
2017-04-01  1098
2017-07-01  1108
2017-10-01  1112
2018-01-01  1130
