Title:               Number of Private Establishments for All Industries in Madison County, NC
Series ID:           ENU3711520510
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Establishments
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:25 AM CDT
Notes:               An establishment is an economic unit, such as a factory, mine, store,
                     or office that produces goods or services. It generally is at a single
                     location and is engaged predominantly in one type of economic
                     activity. Where a single location encompasses two or more distinct
                     activities, these are treated as separate establishments, if separate
                     payroll records are available, and the various activities are
                     classified under different industry codes.

DATE       VALUE
1990-01-01   174
1990-04-01   172
1990-07-01   171
1990-10-01   174
1991-01-01   171
1991-04-01   175
1991-07-01   174
1991-10-01   173
1992-01-01   170
1992-04-01   176
1992-07-01   177
1992-10-01   181
1993-01-01   180
1993-04-01   187
1993-07-01   192
1993-10-01   190
1994-01-01   200
1994-04-01   198
1994-07-01   199
1994-10-01   202
1995-01-01   206
1995-04-01   211
1995-07-01   215
1995-10-01   219
1996-01-01   224
1996-04-01   230
1996-07-01   231
1996-10-01   233
1997-01-01   233
1997-04-01   243
1997-07-01   245
1997-10-01   243
1998-01-01   251
1998-04-01   251
1998-07-01   254
1998-10-01   251
1999-01-01   262
1999-04-01   266
1999-07-01   280
1999-10-01   275
2000-01-01   276
2000-04-01   287
2000-07-01   288
2000-10-01   281
2001-01-01   284
2001-04-01   288
2001-07-01   288
2001-10-01   296
2002-01-01   307
2002-04-01   316
2002-07-01   315
2002-10-01   321
2003-01-01   304
2003-04-01   302
2003-07-01   303
2003-10-01   308
2004-01-01   308
2004-04-01   316
2004-07-01   318
2004-10-01   321
2005-01-01   327
2005-04-01   330
2005-07-01   332
2005-10-01   329
2006-01-01   331
2006-04-01   338
2006-07-01   340
2006-10-01   343
2007-01-01   377
2007-04-01   383
2007-07-01   386
2007-10-01   389
2008-01-01   384
2008-04-01   376
2008-07-01   375
2008-10-01   376
2009-01-01   369
2009-04-01   354
2009-07-01   350
2009-10-01   343
2010-01-01   333
2010-04-01   335
2010-07-01   337
2010-10-01   338
2011-01-01   325
2011-04-01   330
2011-07-01   333
2011-10-01   336
2012-01-01   342
2012-04-01   341
2012-07-01   341
2012-10-01   338
2013-01-01   344
2013-04-01   340
2013-07-01   340
2013-10-01   342
2014-01-01   348
2014-04-01   343
2014-07-01   336
2014-10-01   338
2015-01-01   346
2015-04-01   350
2015-07-01   346
2015-10-01   351
2016-01-01   354
2016-04-01   358
2016-07-01   356
2016-10-01   353
2017-01-01   358
2017-04-01   366
2017-07-01   367
2017-10-01   368
2018-01-01   365
