Title:               Number of Private Establishments for All Industries in Mecklenburg County, NC
Series ID:           ENU3711920510
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Establishments
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:25 AM CDT
Notes:               An establishment is an economic unit, such as a factory, mine, store,
                     or office that produces goods or services. It generally is at a single
                     location and is engaged predominantly in one type of economic
                     activity. Where a single location encompasses two or more distinct
                     activities, these are treated as separate establishments, if separate
                     payroll records are available, and the various activities are
                     classified under different industry codes.

DATE        VALUE
1990-01-01  15538
1990-04-01  15960
1990-07-01  16130
1990-10-01  16457
1991-01-01  16805
1991-04-01  17021
1991-07-01  17260
1991-10-01  17666
1992-01-01  17457
1992-04-01  17597
1992-07-01  17803
1992-10-01  17958
1993-01-01  18108
1993-04-01  18355
1993-07-01  18592
1993-10-01  18909
1994-01-01  18899
1994-04-01  19147
1994-07-01  19462
1994-10-01  19841
1995-01-01  19886
1995-04-01  20179
1995-07-01  20482
1995-10-01  20964
1996-01-01  21061
1996-04-01  21238
1996-07-01  21570
1996-10-01  21908
1997-01-01  21969
1997-04-01  22343
1997-07-01  22846
1997-10-01  22949
1998-01-01  23148
1998-04-01  23380
1998-07-01  23694
1998-10-01  23837
1999-01-01  24391
1999-04-01  25161
1999-07-01  25753
1999-10-01  26339
2000-01-01  26200
2000-04-01  26510
2000-07-01  26722
2000-10-01  27010
2001-01-01  26273
2001-04-01  26539
2001-07-01  26607
2001-10-01  27061
2002-01-01  27757
2002-04-01  28025
2002-07-01  28124
2002-10-01  28247
2003-01-01  26435
2003-04-01  26455
2003-07-01  26631
2003-10-01  27025
2004-01-01  26573
2004-04-01  26629
2004-07-01  26702
2004-10-01  27034
2005-01-01  26760
2005-04-01  27065
2005-07-01  27494
2005-10-01  27937
2006-01-01  27881
2006-04-01  28292
2006-07-01  28763
2006-10-01  29267
2007-01-01  31015
2007-04-01  31247
2007-07-01  31514
2007-10-01  32066
2008-01-01  32216
2008-04-01  32159
2008-07-01  32335
2008-10-01  32593
2009-01-01  32202
2009-04-01  31818
2009-07-01  31644
2009-10-01  31621
2010-01-01  31249
2010-04-01  31455
2010-07-01  31505
2010-10-01  31726
2011-01-01  31396
2011-04-01  31567
2011-07-01  31943
2011-10-01  32240
2012-01-01  32369
2012-04-01  32779
2012-07-01  32778
2012-10-01  32823
2013-01-01  31957
2013-04-01  32234
2013-07-01  32049
2013-10-01  32528
2014-01-01  32929
2014-04-01  33053
2014-07-01  33137
2014-10-01  33181
2015-01-01  33893
2015-04-01  34463
2015-07-01  34743
2015-10-01  35474
2016-01-01  36123
2016-04-01  36414
2016-07-01  36205
2016-10-01  36605
2017-01-01  36321
2017-04-01  36654
2017-07-01  37002
2017-10-01  37329
2018-01-01  37797
