Title:               Number of Private Establishments for All Industries in Onslow County, NC
Series ID:           ENU3713320510
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Establishments
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:25 AM CDT
Notes:               An establishment is an economic unit, such as a factory, mine, store,
                     or office that produces goods or services. It generally is at a single
                     location and is engaged predominantly in one type of economic
                     activity. Where a single location encompasses two or more distinct
                     activities, these are treated as separate establishments, if separate
                     payroll records are available, and the various activities are
                     classified under different industry codes.

DATE       VALUE
1990-01-01  1703
1990-04-01  1730
1990-07-01  1730
1990-10-01  1721
1991-01-01  1817
1991-04-01  1815
1991-07-01  1847
1991-10-01  1851
1992-01-01  1870
1992-04-01  1895
1992-07-01  1910
1992-10-01  1933
1993-01-01  1973
1993-04-01  2001
1993-07-01  2010
1993-10-01  2044
1994-01-01  2033
1994-04-01  2051
1994-07-01  2062
1994-10-01  2083
1995-01-01  2091
1995-04-01  2104
1995-07-01  2117
1995-10-01  2151
1996-01-01  2124
1996-04-01  2122
1996-07-01  2142
1996-10-01  2169
1997-01-01  2199
1997-04-01  2233
1997-07-01  2287
1997-10-01  2301
1998-01-01  2275
1998-04-01  2303
1998-07-01  2299
1998-10-01  2320
1999-01-01  2356
1999-04-01  2400
1999-07-01  2439
1999-10-01  2473
2000-01-01  2455
2000-04-01  2474
2000-07-01  2483
2000-10-01  2473
2001-01-01  2452
2001-04-01  2467
2001-07-01  2436
2001-10-01  2443
2002-01-01  2484
2002-04-01  2508
2002-07-01  2506
2002-10-01  2518
2003-01-01  2409
2003-04-01  2404
2003-07-01  2431
2003-10-01  2433
2004-01-01  2465
2004-04-01  2472
2004-07-01  2490
2004-10-01  2499
2005-01-01  2502
2005-04-01  2514
2005-07-01  2524
2005-10-01  2553
2006-01-01  2598
2006-04-01  2629
2006-07-01  2652
2006-10-01  2658
2007-01-01  2748
2007-04-01  2765
2007-07-01  2781
2007-10-01  2830
2008-01-01  2835
2008-04-01  2835
2008-07-01  2839
2008-10-01  2822
2009-01-01  2798
2009-04-01  2809
2009-07-01  2797
2009-10-01  2762
2010-01-01  2790
2010-04-01  2805
2010-07-01  2816
2010-10-01  2828
2011-01-01  2781
2011-04-01  2793
2011-07-01  2823
2011-10-01  2850
2012-01-01  2834
2012-04-01  2875
2012-07-01  2854
2012-10-01  2847
2013-01-01  2796
2013-04-01  2807
2013-07-01  2834
2013-10-01  2840
2014-01-01  2831
2014-04-01  2809
2014-07-01  2830
2014-10-01  2774
2015-01-01  2834
2015-04-01  2870
2015-07-01  2887
2015-10-01  2919
2016-01-01  2892
2016-04-01  2938
2016-07-01  2879
2016-10-01  2899
2017-01-01  2879
2017-04-01  2904
2017-07-01  2933
2017-10-01  2952
2018-01-01  2982
