Title:               Number of Private Establishments for All Industries in Pender County, NC
Series ID:           ENU3714120510
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Establishments
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:25 AM CDT
Notes:               An establishment is an economic unit, such as a factory, mine, store,
                     or office that produces goods or services. It generally is at a single
                     location and is engaged predominantly in one type of economic
                     activity. Where a single location encompasses two or more distinct
                     activities, these are treated as separate establishments, if separate
                     payroll records are available, and the various activities are
                     classified under different industry codes.

DATE       VALUE
1990-01-01   394
1990-04-01   399
1990-07-01   399
1990-10-01   410
1991-01-01   417
1991-04-01   425
1991-07-01   436
1991-10-01   443
1992-01-01   450
1992-04-01   455
1992-07-01   462
1992-10-01   474
1993-01-01   493
1993-04-01   494
1993-07-01   498
1993-10-01   514
1994-01-01   507
1994-04-01   522
1994-07-01   545
1994-10-01   563
1995-01-01   560
1995-04-01   574
1995-07-01   575
1995-10-01   593
1996-01-01   598
1996-04-01   615
1996-07-01   615
1996-10-01   623
1997-01-01   645
1997-04-01   669
1997-07-01   689
1997-10-01   706
1998-01-01   718
1998-04-01   728
1998-07-01   730
1998-10-01   737
1999-01-01   738
1999-04-01   763
1999-07-01   781
1999-10-01   797
2000-01-01   787
2000-04-01   790
2000-07-01   790
2000-10-01   789
2001-01-01   779
2001-04-01   783
2001-07-01   773
2001-10-01   782
2002-01-01   803
2002-04-01   812
2002-07-01   821
2002-10-01   824
2003-01-01   783
2003-04-01   783
2003-07-01   797
2003-10-01   795
2004-01-01   802
2004-04-01   826
2004-07-01   824
2004-10-01   830
2005-01-01   847
2005-04-01   861
2005-07-01   873
2005-10-01   906
2006-01-01   919
2006-04-01   942
2006-07-01   958
2006-10-01   970
2007-01-01   991
2007-04-01   994
2007-07-01   998
2007-10-01  1014
2008-01-01  1038
2008-04-01  1014
2008-07-01  1007
2008-10-01  1004
2009-01-01   975
2009-04-01   969
2009-07-01   974
2009-10-01   970
2010-01-01   978
2010-04-01   976
2010-07-01   979
2010-10-01   971
2011-01-01   965
2011-04-01   968
2011-07-01   966
2011-10-01   978
2012-01-01   985
2012-04-01   999
2012-07-01  1004
2012-10-01  1009
2013-01-01   977
2013-04-01   989
2013-07-01   996
2013-10-01  1007
2014-01-01  1030
2014-04-01  1030
2014-07-01  1026
2014-10-01  1018
2015-01-01  1045
2015-04-01  1065
2015-07-01  1068
2015-10-01  1085
2016-01-01  1099
2016-04-01  1127
2016-07-01  1118
2016-10-01  1125
2017-01-01  1136
2017-04-01  1147
2017-07-01  1156
2017-10-01  1170
2018-01-01  1190
