Title:               Number of Private Establishments for All Industries in Perquimans County, NC
Series ID:           ENU3714320510
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Establishments
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:25 AM CDT
Notes:               An establishment is an economic unit, such as a factory, mine, store,
                     or office that produces goods or services. It generally is at a single
                     location and is engaged predominantly in one type of economic
                     activity. Where a single location encompasses two or more distinct
                     activities, these are treated as separate establishments, if separate
                     payroll records are available, and the various activities are
                     classified under different industry codes.

DATE       VALUE
1990-01-01   138
1990-04-01   138
1990-07-01   140
1990-10-01   141
1991-01-01   143
1991-04-01   143
1991-07-01   149
1991-10-01   149
1992-01-01   149
1992-04-01   151
1992-07-01   151
1992-10-01   153
1993-01-01   155
1993-04-01   157
1993-07-01   152
1993-10-01   154
1994-01-01   150
1994-04-01   154
1994-07-01   158
1994-10-01   161
1995-01-01   163
1995-04-01   164
1995-07-01   158
1995-10-01   167
1996-01-01   164
1996-04-01   167
1996-07-01   169
1996-10-01   169
1997-01-01   167
1997-04-01   162
1997-07-01   167
1997-10-01   166
1998-01-01   169
1998-04-01   168
1998-07-01   167
1998-10-01   166
1999-01-01   168
1999-04-01   170
1999-07-01   173
1999-10-01   172
2000-01-01   172
2000-04-01   172
2000-07-01   174
2000-10-01   178
2001-01-01   180
2001-04-01   181
2001-07-01   180
2001-10-01   182
2002-01-01   181
2002-04-01   180
2002-07-01   182
2002-10-01   179
2003-01-01   168
2003-04-01   172
2003-07-01   172
2003-10-01   177
2004-01-01   194
2004-04-01   196
2004-07-01   194
2004-10-01   196
2005-01-01   196
2005-04-01   199
2005-07-01   199
2005-10-01   200
2006-01-01   206
2006-04-01   208
2006-07-01   214
2006-10-01   215
2007-01-01   220
2007-04-01   220
2007-07-01   217
2007-10-01   215
2008-01-01   212
2008-04-01   213
2008-07-01   214
2008-10-01   216
2009-01-01   216
2009-04-01   210
2009-07-01   209
2009-10-01   207
2010-01-01   204
2010-04-01   199
2010-07-01   211
2010-10-01   209
2011-01-01   200
2011-04-01   197
2011-07-01   194
2011-10-01   199
2012-01-01   205
2012-04-01   208
2012-07-01   204
2012-10-01   203
2013-01-01   207
2013-04-01   209
2013-07-01   203
2013-10-01   205
2014-01-01   204
2014-04-01   205
2014-07-01   201
2014-10-01   203
2015-01-01   210
2015-04-01   213
2015-07-01   215
2015-10-01   216
2016-01-01   221
2016-04-01   226
2016-07-01   224
2016-10-01   224
2017-01-01   224
2017-04-01   224
2017-07-01   227
2017-10-01   226
2018-01-01   230
