Title:               Number of Private Establishments for All Industries in Pitt County, NC
Series ID:           ENU3714720510
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Establishments
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:25 AM CDT
Notes:               An establishment is an economic unit, such as a factory, mine, store,
                     or office that produces goods or services. It generally is at a single
                     location and is engaged predominantly in one type of economic
                     activity. Where a single location encompasses two or more distinct
                     activities, these are treated as separate establishments, if separate
                     payroll records are available, and the various activities are
                     classified under different industry codes.

DATE       VALUE
1990-01-01  2134
1990-04-01  2150
1990-07-01  2190
1990-10-01  2237
1991-01-01  2239
1991-04-01  2257
1991-07-01  2298
1991-10-01  2340
1992-01-01  2351
1992-04-01  2350
1992-07-01  2353
1992-10-01  2378
1993-01-01  2427
1993-04-01  2459
1993-07-01  2478
1993-10-01  2523
1994-01-01  2554
1994-04-01  2595
1994-07-01  2648
1994-10-01  2688
1995-01-01  2692
1995-04-01  2711
1995-07-01  2737
1995-10-01  2774
1996-01-01  2779
1996-04-01  2801
1996-07-01  2833
1996-10-01  2872
1997-01-01  2888
1997-04-01  2907
1997-07-01  2956
1997-10-01  2964
1998-01-01  2983
1998-04-01  2988
1998-07-01  2968
1998-10-01  2990
1999-01-01  3035
1999-04-01  3092
1999-07-01  3151
1999-10-01  3220
2000-01-01  3246
2000-04-01  3285
2000-07-01  3207
2000-10-01  3214
2001-01-01  3213
2001-04-01  3241
2001-07-01  3230
2001-10-01  3240
2002-01-01  3310
2002-04-01  3328
2002-07-01  3346
2002-10-01  3330
2003-01-01  3197
2003-04-01  3217
2003-07-01  3253
2003-10-01  3280
2004-01-01  3296
2004-04-01  3302
2004-07-01  3312
2004-10-01  3339
2005-01-01  3337
2005-04-01  3352
2005-07-01  3403
2005-10-01  3443
2006-01-01  3471
2006-04-01  3462
2006-07-01  3483
2006-10-01  3513
2007-01-01  3613
2007-04-01  3608
2007-07-01  3671
2007-10-01  3688
2008-01-01  3722
2008-04-01  3690
2008-07-01  3708
2008-10-01  3711
2009-01-01  3713
2009-04-01  3690
2009-07-01  3677
2009-10-01  3684
2010-01-01  3691
2010-04-01  3682
2010-07-01  3697
2010-10-01  3686
2011-01-01  3661
2011-04-01  3678
2011-07-01  3704
2011-10-01  3714
2012-01-01  3723
2012-04-01  3766
2012-07-01  3739
2012-10-01  3710
2013-01-01  3641
2013-04-01  3623
2013-07-01  3604
2013-10-01  3604
2014-01-01  3628
2014-04-01  3644
2014-07-01  3673
2014-10-01  3668
2015-01-01  3667
2015-04-01  3668
2015-07-01  3628
2015-10-01  3655
2016-01-01  3625
2016-04-01  3634
2016-07-01  3605
2016-10-01  3629
2017-01-01  3639
2017-04-01  3666
2017-07-01  3661
2017-10-01  3695
2018-01-01  3703
