Title:               Number of Private Establishments for All Industries in Randolph County, NC
Series ID:           ENU3715120510
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Establishments
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:25 AM CDT
Notes:               An establishment is an economic unit, such as a factory, mine, store,
                     or office that produces goods or services. It generally is at a single
                     location and is engaged predominantly in one type of economic
                     activity. Where a single location encompasses two or more distinct
                     activities, these are treated as separate establishments, if separate
                     payroll records are available, and the various activities are
                     classified under different industry codes.

DATE       VALUE
1990-01-01  1816
1990-04-01  1831
1990-07-01  1824
1990-10-01  1876
1991-01-01  1873
1991-04-01  1889
1991-07-01  1902
1991-10-01  1948
1992-01-01  1952
1992-04-01  1968
1992-07-01  1995
1992-10-01  2003
1993-01-01  2031
1993-04-01  2040
1993-07-01  2053
1993-10-01  2074
1994-01-01  2057
1994-04-01  2084
1994-07-01  2097
1994-10-01  2100
1995-01-01  2114
1995-04-01  2135
1995-07-01  2146
1995-10-01  2151
1996-01-01  2138
1996-04-01  2177
1996-07-01  2180
1996-10-01  2211
1997-01-01  2226
1997-04-01  2274
1997-07-01  2291
1997-10-01  2292
1998-01-01  2334
1998-04-01  2338
1998-07-01  2352
1998-10-01  2382
1999-01-01  2398
1999-04-01  2453
1999-07-01  2499
1999-10-01  2533
2000-01-01  2522
2000-04-01  2552
2000-07-01  2438
2000-10-01  2446
2001-01-01  2434
2001-04-01  2450
2001-07-01  2456
2001-10-01  2465
2002-01-01  2581
2002-04-01  2604
2002-07-01  2612
2002-10-01  2614
2003-01-01  2528
2003-04-01  2534
2003-07-01  2547
2003-10-01  2552
2004-01-01  2541
2004-04-01  2551
2004-07-01  2565
2004-10-01  2584
2005-01-01  2581
2005-04-01  2589
2005-07-01  2609
2005-10-01  2607
2006-01-01  2596
2006-04-01  2589
2006-07-01  2592
2006-10-01  2605
2007-01-01  2656
2007-04-01  2671
2007-07-01  2671
2007-10-01  2691
2008-01-01  2697
2008-04-01  2668
2008-07-01  2671
2008-10-01  2694
2009-01-01  2669
2009-04-01  2619
2009-07-01  2618
2009-10-01  2576
2010-01-01  2574
2010-04-01  2563
2010-07-01  2573
2010-10-01  2588
2011-01-01  2566
2011-04-01  2570
2011-07-01  2581
2011-10-01  2591
2012-01-01  2580
2012-04-01  2590
2012-07-01  2557
2012-10-01  2543
2013-01-01  2487
2013-04-01  2462
2013-07-01  2429
2013-10-01  2440
2014-01-01  2451
2014-04-01  2452
2014-07-01  2455
2014-10-01  2451
2015-01-01  2478
2015-04-01  2496
2015-07-01  2497
2015-10-01  2513
2016-01-01  2505
2016-04-01  2519
2016-07-01  2447
2016-10-01  2468
2017-01-01  2439
2017-04-01  2442
2017-07-01  2456
2017-10-01  2447
2018-01-01  2450
