Title:               Number of Private Establishments for All Industries in Robeson County, NC
Series ID:           ENU3715520510
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Establishments
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:22 AM CDT
Notes:               An establishment is an economic unit, such as a factory, mine, store,
                     or office that produces goods or services. It generally is at a single
                     location and is engaged predominantly in one type of economic
                     activity. Where a single location encompasses two or more distinct
                     activities, these are treated as separate establishments, if separate
                     payroll records are available, and the various activities are
                     classified under different industry codes.

DATE       VALUE
1990-01-01  1602
1990-04-01  1613
1990-07-01  1613
1990-10-01  1620
1991-01-01  1655
1991-04-01  1652
1991-07-01  1661
1991-10-01  1670
1992-01-01  1680
1992-04-01  1681
1992-07-01  1675
1992-10-01  1686
1993-01-01  1705
1993-04-01  1703
1993-07-01  1692
1993-10-01  1708
1994-01-01  1721
1994-04-01  1746
1994-07-01  1758
1994-10-01  1753
1995-01-01  1766
1995-04-01  1780
1995-07-01  1774
1995-10-01  1787
1996-01-01  1789
1996-04-01  1787
1996-07-01  1793
1996-10-01  1802
1997-01-01  1803
1997-04-01  1805
1997-07-01  1808
1997-10-01  1787
1998-01-01  1810
1998-04-01  1827
1998-07-01  1824
1998-10-01  1819
1999-01-01  1839
1999-04-01  1892
1999-07-01  1923
1999-10-01  1955
2000-01-01  1911
2000-04-01  1900
2000-07-01  1836
2000-10-01  1848
2001-01-01  1839
2001-04-01  1864
2001-07-01  1854
2001-10-01  1832
2002-01-01  1865
2002-04-01  1888
2002-07-01  1888
2002-10-01  1893
2003-01-01  1855
2003-04-01  1855
2003-07-01  1843
2003-10-01  1857
2004-01-01  1831
2004-04-01  1829
2004-07-01  1835
2004-10-01  1838
2005-01-01  1836
2005-04-01  1849
2005-07-01  1865
2005-10-01  1865
2006-01-01  1854
2006-04-01  1857
2006-07-01  1854
2006-10-01  1846
2007-01-01  1888
2007-04-01  1885
2007-07-01  1885
2007-10-01  1905
2008-01-01  1897
2008-04-01  1894
2008-07-01  1906
2008-10-01  1893
2009-01-01  1890
2009-04-01  1883
2009-07-01  1875
2009-10-01  1867
2010-01-01  1871
2010-04-01  1875
2010-07-01  1874
2010-10-01  1877
2011-01-01  1897
2011-04-01  1905
2011-07-01  1929
2011-10-01  1942
2012-01-01  1931
2012-04-01  1950
2012-07-01  1944
2012-10-01  1938
2013-01-01  1913
2013-04-01  1915
2013-07-01  1900
2013-10-01  1912
2014-01-01  1933
2014-04-01  1931
2014-07-01  1930
2014-10-01  1937
2015-01-01  1927
2015-04-01  1931
2015-07-01  1895
2015-10-01  1899
2016-01-01  1899
2016-04-01  1883
2016-07-01  1865
2016-10-01  1891
2017-01-01  1873
2017-04-01  1884
2017-07-01  1895
2017-10-01  1891
2018-01-01  1890
