Title:               Number of Private Establishments for All Industries in Scotland County, NC
Series ID:           ENU3716520510
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Establishments
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:25 AM CDT
Notes:               An establishment is an economic unit, such as a factory, mine, store,
                     or office that produces goods or services. It generally is at a single
                     location and is engaged predominantly in one type of economic
                     activity. Where a single location encompasses two or more distinct
                     activities, these are treated as separate establishments, if separate
                     payroll records are available, and the various activities are
                     classified under different industry codes.

DATE       VALUE
1990-01-01   572
1990-04-01   590
1990-07-01   595
1990-10-01   593
1991-01-01   593
1991-04-01   593
1991-07-01   598
1991-10-01   602
1992-01-01   605
1992-04-01   603
1992-07-01   606
1992-10-01   604
1993-01-01   604
1993-04-01   612
1993-07-01   618
1993-10-01   624
1994-01-01   618
1994-04-01   623
1994-07-01   640
1994-10-01   637
1995-01-01   639
1995-04-01   644
1995-07-01   644
1995-10-01   640
1996-01-01   649
1996-04-01   657
1996-07-01   671
1996-10-01   674
1997-01-01   668
1997-04-01   666
1997-07-01   679
1997-10-01   682
1998-01-01   681
1998-04-01   685
1998-07-01   689
1998-10-01   692
1999-01-01   694
1999-04-01   711
1999-07-01   721
1999-10-01   729
2000-01-01   714
2000-04-01   721
2000-07-01   697
2000-10-01   696
2001-01-01   695
2001-04-01   695
2001-07-01   685
2001-10-01   687
2002-01-01   697
2002-04-01   702
2002-07-01   691
2002-10-01   682
2003-01-01   672
2003-04-01   672
2003-07-01   674
2003-10-01   682
2004-01-01   671
2004-04-01   672
2004-07-01   681
2004-10-01   682
2005-01-01   684
2005-04-01   675
2005-07-01   683
2005-10-01   683
2006-01-01   674
2006-04-01   678
2006-07-01   678
2006-10-01   671
2007-01-01   685
2007-04-01   684
2007-07-01   689
2007-10-01   691
2008-01-01   694
2008-04-01   699
2008-07-01   711
2008-10-01   698
2009-01-01   691
2009-04-01   690
2009-07-01   686
2009-10-01   674
2010-01-01   674
2010-04-01   663
2010-07-01   656
2010-10-01   655
2011-01-01   654
2011-04-01   656
2011-07-01   651
2011-10-01   658
2012-01-01   651
2012-04-01   643
2012-07-01   649
2012-10-01   644
2013-01-01   624
2013-04-01   624
2013-07-01   624
2013-10-01   628
2014-01-01   623
2014-04-01   614
2014-07-01   607
2014-10-01   611
2015-01-01   599
2015-04-01   597
2015-07-01   592
2015-10-01   595
2016-01-01   587
2016-04-01   590
2016-07-01   581
2016-10-01   582
2017-01-01   583
2017-04-01   585
2017-07-01   576
2017-10-01   576
2018-01-01   575
