Title:               Number of Private Establishments for All Industries in Stokes County, NC
Series ID:           ENU3716920510
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Establishments
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:25 AM CDT
Notes:               An establishment is an economic unit, such as a factory, mine, store,
                     or office that produces goods or services. It generally is at a single
                     location and is engaged predominantly in one type of economic
                     activity. Where a single location encompasses two or more distinct
                     activities, these are treated as separate establishments, if separate
                     payroll records are available, and the various activities are
                     classified under different industry codes.

DATE       VALUE
1990-01-01   420
1990-04-01   421
1990-07-01   425
1990-10-01   426
1991-01-01   432
1991-04-01   427
1991-07-01   435
1991-10-01   434
1992-01-01   440
1992-04-01   443
1992-07-01   444
1992-10-01   462
1993-01-01   451
1993-04-01   455
1993-07-01   452
1993-10-01   455
1994-01-01   442
1994-04-01   459
1994-07-01   472
1994-10-01   481
1995-01-01   478
1995-04-01   480
1995-07-01   481
1995-10-01   484
1996-01-01   483
1996-04-01   487
1996-07-01   495
1996-10-01   504
1997-01-01   499
1997-04-01   506
1997-07-01   517
1997-10-01   510
1998-01-01   524
1998-04-01   522
1998-07-01   535
1998-10-01   543
1999-01-01   537
1999-04-01   535
1999-07-01   550
1999-10-01   557
2000-01-01   565
2000-04-01   576
2000-07-01   556
2000-10-01   559
2001-01-01   568
2001-04-01   575
2001-07-01   576
2001-10-01   581
2002-01-01   587
2002-04-01   586
2002-07-01   590
2002-10-01   591
2003-01-01   580
2003-04-01   586
2003-07-01   577
2003-10-01   582
2004-01-01   603
2004-04-01   601
2004-07-01   602
2004-10-01   611
2005-01-01   613
2005-04-01   617
2005-07-01   620
2005-10-01   631
2006-01-01   620
2006-04-01   625
2006-07-01   638
2006-10-01   647
2007-01-01   656
2007-04-01   657
2007-07-01   661
2007-10-01   664
2008-01-01   655
2008-04-01   642
2008-07-01   645
2008-10-01   650
2009-01-01   640
2009-04-01   634
2009-07-01   619
2009-10-01   624
2010-01-01   608
2010-04-01   604
2010-07-01   611
2010-10-01   615
2011-01-01   603
2011-04-01   605
2011-07-01   609
2011-10-01   618
2012-01-01   623
2012-04-01   633
2012-07-01   618
2012-10-01   619
2013-01-01   618
2013-04-01   629
2013-07-01   618
2013-10-01   618
2014-01-01   623
2014-04-01   623
2014-07-01   626
2014-10-01   625
2015-01-01   637
2015-04-01   634
2015-07-01   636
2015-10-01   639
2016-01-01   634
2016-04-01   640
2016-07-01   632
2016-10-01   639
2017-01-01   643
2017-04-01   638
2017-07-01   644
2017-10-01   648
2018-01-01   648
