Title:               Number of Private Establishments for All Industries in Transylvania County, NC
Series ID:           ENU3717520510
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Establishments
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:25 AM CDT
Notes:               An establishment is an economic unit, such as a factory, mine, store,
                     or office that produces goods or services. It generally is at a single
                     location and is engaged predominantly in one type of economic
                     activity. Where a single location encompasses two or more distinct
                     activities, these are treated as separate establishments, if separate
                     payroll records are available, and the various activities are
                     classified under different industry codes.

DATE       VALUE
1990-01-01   506
1990-04-01   513
1990-07-01   519
1990-10-01   517
1991-01-01   516
1991-04-01   521
1991-07-01   523
1991-10-01   533
1992-01-01   529
1992-04-01   529
1992-07-01   531
1992-10-01   536
1993-01-01   533
1993-04-01   534
1993-07-01   533
1993-10-01   538
1994-01-01   537
1994-04-01   549
1994-07-01   552
1994-10-01   558
1995-01-01   556
1995-04-01   567
1995-07-01   577
1995-10-01   593
1996-01-01   583
1996-04-01   585
1996-07-01   591
1996-10-01   579
1997-01-01   575
1997-04-01   601
1997-07-01   602
1997-10-01   598
1998-01-01   593
1998-04-01   598
1998-07-01   602
1998-10-01   608
1999-01-01   613
1999-04-01   638
1999-07-01   659
1999-10-01   676
2000-01-01   666
2000-04-01   682
2000-07-01   691
2000-10-01   696
2001-01-01   693
2001-04-01   699
2001-07-01   704
2001-10-01   712
2002-01-01   741
2002-04-01   758
2002-07-01   766
2002-10-01   779
2003-01-01   746
2003-04-01   750
2003-07-01   769
2003-10-01   766
2004-01-01   732
2004-04-01   756
2004-07-01   753
2004-10-01   747
2005-01-01   740
2005-04-01   754
2005-07-01   767
2005-10-01   772
2006-01-01   777
2006-04-01   779
2006-07-01   799
2006-10-01   804
2007-01-01   844
2007-04-01   863
2007-07-01   877
2007-10-01   897
2008-01-01   907
2008-04-01   907
2008-07-01   910
2008-10-01   908
2009-01-01   887
2009-04-01   877
2009-07-01   868
2009-10-01   861
2010-01-01   839
2010-04-01   839
2010-07-01   832
2010-10-01   838
2011-01-01   823
2011-04-01   824
2011-07-01   822
2011-10-01   827
2012-01-01   820
2012-04-01   827
2012-07-01   823
2012-10-01   821
2013-01-01   806
2013-04-01   821
2013-07-01   818
2013-10-01   819
2014-01-01   826
2014-04-01   832
2014-07-01   829
2014-10-01   823
2015-01-01   839
2015-04-01   845
2015-07-01   839
2015-10-01   854
2016-01-01   847
2016-04-01   859
2016-07-01   846
2016-10-01   858
2017-01-01   852
2017-04-01   865
2017-07-01   867
2017-10-01   872
2018-01-01   873
