Title:               Number of Private Establishments for All Industries in Vance County, NC
Series ID:           ENU3718120510
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Establishments
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:25 AM CDT
Notes:               An establishment is an economic unit, such as a factory, mine, store,
                     or office that produces goods or services. It generally is at a single
                     location and is engaged predominantly in one type of economic
                     activity. Where a single location encompasses two or more distinct
                     activities, these are treated as separate establishments, if separate
                     payroll records are available, and the various activities are
                     classified under different industry codes.

DATE       VALUE
1990-01-01   735
1990-04-01   764
1990-07-01   760
1990-10-01   762
1991-01-01   738
1991-04-01   746
1991-07-01   740
1991-10-01   757
1992-01-01   755
1992-04-01   762
1992-07-01   771
1992-10-01   779
1993-01-01   793
1993-04-01   804
1993-07-01   818
1993-10-01   820
1994-01-01   807
1994-04-01   818
1994-07-01   816
1994-10-01   829
1995-01-01   837
1995-04-01   833
1995-07-01   847
1995-10-01   852
1996-01-01   857
1996-04-01   851
1996-07-01   862
1996-10-01   871
1997-01-01   867
1997-04-01   866
1997-07-01   881
1997-10-01   871
1998-01-01   873
1998-04-01   870
1998-07-01   876
1998-10-01   883
1999-01-01   904
1999-04-01   913
1999-07-01   933
1999-10-01   945
2000-01-01   931
2000-04-01   944
2000-07-01   919
2000-10-01   924
2001-01-01   916
2001-04-01   938
2001-07-01   933
2001-10-01   921
2002-01-01   929
2002-04-01   938
2002-07-01   939
2002-10-01   924
2003-01-01   879
2003-04-01   872
2003-07-01   875
2003-10-01   877
2004-01-01   867
2004-04-01   877
2004-07-01   890
2004-10-01   893
2005-01-01   867
2005-04-01   874
2005-07-01   864
2005-10-01   863
2006-01-01   859
2006-04-01   868
2006-07-01   874
2006-10-01   883
2007-01-01   897
2007-04-01   895
2007-07-01   892
2007-10-01   898
2008-01-01   896
2008-04-01   893
2008-07-01   896
2008-10-01   892
2009-01-01   882
2009-04-01   871
2009-07-01   855
2009-10-01   853
2010-01-01   855
2010-04-01   851
2010-07-01   854
2010-10-01   881
2011-01-01   838
2011-04-01   828
2011-07-01   827
2011-10-01   826
2012-01-01   842
2012-04-01   843
2012-07-01   841
2012-10-01   835
2013-01-01   836
2013-04-01   835
2013-07-01   830
2013-10-01   834
2014-01-01   819
2014-04-01   812
2014-07-01   809
2014-10-01   809
2015-01-01   806
2015-04-01   808
2015-07-01   803
2015-10-01   811
2016-01-01   817
2016-04-01   826
2016-07-01   808
2016-10-01   809
2017-01-01   786
2017-04-01   789
2017-07-01   783
2017-10-01   784
2018-01-01   790
