Title:               Number of Private Establishments for All Industries in Wilson County, NC
Series ID:           ENU3719520510
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Establishments
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:25 AM CDT
Notes:               An establishment is an economic unit, such as a factory, mine, store,
                     or office that produces goods or services. It generally is at a single
                     location and is engaged predominantly in one type of economic
                     activity. Where a single location encompasses two or more distinct
                     activities, these are treated as separate establishments, if separate
                     payroll records are available, and the various activities are
                     classified under different industry codes.

DATE       VALUE
1990-01-01  1447
1990-04-01  1507
1990-07-01  1531
1990-10-01  1534
1991-01-01  1558
1991-04-01  1545
1991-07-01  1557
1991-10-01  1568
1992-01-01  1567
1992-04-01  1568
1992-07-01  1573
1992-10-01  1590
1993-01-01  1592
1993-04-01  1605
1993-07-01  1613
1993-10-01  1635
1994-01-01  1638
1994-04-01  1661
1994-07-01  1669
1994-10-01  1666
1995-01-01  1656
1995-04-01  1648
1995-07-01  1654
1995-10-01  1669
1996-01-01  1677
1996-04-01  1685
1996-07-01  1690
1996-10-01  1711
1997-01-01  1717
1997-04-01  1721
1997-07-01  1748
1997-10-01  1763
1998-01-01  1738
1998-04-01  1734
1998-07-01  1761
1998-10-01  1765
1999-01-01  1756
1999-04-01  1797
1999-07-01  1816
1999-10-01  1839
2000-01-01  1823
2000-04-01  1825
2000-07-01  1813
2000-10-01  1820
2001-01-01  1797
2001-04-01  1813
2001-07-01  1819
2001-10-01  1826
2002-01-01  1868
2002-04-01  1890
2002-07-01  1891
2002-10-01  1900
2003-01-01  1828
2003-04-01  1813
2003-07-01  1816
2003-10-01  1835
2004-01-01  1828
2004-04-01  1820
2004-07-01  1827
2004-10-01  1834
2005-01-01  1822
2005-04-01  1821
2005-07-01  1835
2005-10-01  1842
2006-01-01  1827
2006-04-01  1837
2006-07-01  1854
2006-10-01  1831
2007-01-01  1852
2007-04-01  1855
2007-07-01  1873
2007-10-01  1887
2008-01-01  1902
2008-04-01  1907
2008-07-01  1908
2008-10-01  1901
2009-01-01  1875
2009-04-01  1852
2009-07-01  1837
2009-10-01  1828
2010-01-01  1825
2010-04-01  1830
2010-07-01  1831
2010-10-01  1834
2011-01-01  1820
2011-04-01  1812
2011-07-01  1812
2011-10-01  1821
2012-01-01  1818
2012-04-01  1837
2012-07-01  1828
2012-10-01  1828
2013-01-01  1814
2013-04-01  1804
2013-07-01  1794
2013-10-01  1794
2014-01-01  1804
2014-04-01  1789
2014-07-01  1785
2014-10-01  1783
2015-01-01  1788
2015-04-01  1810
2015-07-01  1808
2015-10-01  1823
2016-01-01  1800
2016-04-01  1795
2016-07-01  1781
2016-10-01  1800
2017-01-01  1818
2017-04-01  1825
2017-07-01  1828
2017-10-01  1840
2018-01-01  1832
