Title:               Total Quarterly Wages in Asheville, NC (MSA)
Series ID:           ENUC117030010SA
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Quarterly
Units:               Dollars
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:22 AM CDT
Notes:               Total wages are the wages paid by Unemployment Insurance covered
                     employers during the calendar quarter, regardless of when the services
                     were performed.
                     
                     The Federal Reserve Bank of St. Louis seasonally adjusts this series
                     by using the 'x12' package from R with default parameter settings. The
                     package uses the U.S. Bureau of the Census X-12-ARIMA Seasonal
                     Adjustment Program. More information on the 'x12' package can be found
                     at http://cran.r-project.org/web/packages/x12/x12.pdf. More
                     information on X-12-ARIMA can be found at
                     http://www.census.gov/srd/www/x12a/.

DATE             VALUE
1990-01-01   615162120
1990-04-01   623587876
1990-07-01   621859946
1990-10-01   626501471
1991-01-01   638800007
1991-04-01   653623029
1991-07-01   651985287
1991-10-01   655042307
1992-01-01   680746982
1992-04-01   685220740
1992-07-01   704157166
1992-10-01   740611067
1993-01-01   692050235
1993-04-01   732911455
1993-07-01   755453444
1993-10-01   770608896
1994-01-01   757725884
1994-04-01   775564333
1994-07-01   800125970
1994-10-01   794424662
1995-01-01   822995250
1995-04-01   827384377
1995-07-01   825878209
1995-10-01   842513256
1996-01-01   868846948
1996-04-01   875891187
1996-07-01   880154442
1996-10-01   910454469
1997-01-01   930299332
1997-04-01   938850614
1997-07-01   947670615
1997-10-01   979840715
1998-01-01   963993760
1998-04-01   996492323
1998-07-01  1132418345
1998-10-01  1033708644
1999-01-01  1015440045
1999-04-01  1040259344
1999-07-01  1064410687
1999-10-01  1087240703
2000-01-01  1104865665
2000-04-01  1099997750
2000-07-01  1109647774
2000-10-01  1116119577
2001-01-01  1144133739
2001-04-01  1130493758
2001-07-01  1121257817
2001-10-01  1131818185
2002-01-01  1139179153
2002-04-01  1134588441
2002-07-01  1137853634
2002-10-01  1136762798
2003-01-01  1162191010
2003-04-01  1156497656
2003-07-01  1165644724
2003-10-01  1192577906
2004-01-01  1176380366
2004-04-01  1204256539
2004-07-01  1229546846
2004-10-01  1270636894
2005-01-01  1230440683
2005-04-01  1281858382
2005-07-01  1307008638
2005-10-01  1296019019
2006-01-01  1333856226
2006-04-01  1354161025
2006-07-01  1367979867
2006-10-01  1399727742
2007-01-01  1439005821
2007-04-01  1457071454
2007-07-01  1462076183
2007-10-01  1469901359
2008-01-01  1494101512
2008-04-01  1482220166
2008-07-01  1469885598
2008-10-01  1458399076
2009-01-01  1410423474
2009-04-01  1397990777
2009-07-01  1384634832
2009-10-01  1425247234
2010-01-01  1366821814
2010-04-01  1436427386
2010-07-01  1448112898
2010-10-01  1456557068
2011-01-01  1429302330
2011-04-01  1454416745
2011-07-01  1500580029
2011-10-01  1442334052
2012-01-01  1521203190
2012-04-01  1500509365
2012-07-01  1499268979
2012-10-01  1513624419
2013-01-01  1559008379
2013-04-01  1553279704
2013-07-01  1556625272
2013-10-01  1562474102
2014-01-01  1596098628
2014-04-01  1605947957
2014-07-01  1625584725
2014-10-01  1675971045
2015-01-01  1646666170
2015-04-01  1699172179
2015-07-01  1737601510
2015-10-01  1822658405
2016-01-01  1720690972
2016-04-01  1816204760
2016-07-01  1869067021
2016-10-01  1855512936
2017-01-01  1892411445
2017-04-01  1907301667
2017-07-01  1893047923
2017-10-01  1929095182
2018-01-01  1981613205
