Title:               Average Weekly Wages for Employees in Total Covered Establishments in Asheville, NC (MSA)
Series ID:           ENUC117040010
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Dollars per Week
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:22 AM CDT
Notes:               Average weekly wages are the wages paid by unemployment insurance
                     covered employers during the calendar quarter, regardless of when the
                     services were performed. Included in wages are pay for vacation and
                     other paid leave, bonuses, stock options, tips, the cash value of
                     meals and lodging, and in some States, contributions to deferred
                     compensation plans (such as 401(k) plans).

DATE       VALUE
1990-01-01   357
1990-04-01   360
1990-07-01   360
1990-10-01   393
1991-01-01   367
1991-04-01   377
1991-07-01   379
1991-10-01   405
1992-01-01   390
1992-04-01   391
1992-07-01   399
1992-10-01   445
1993-01-01   385
1993-04-01   404
1993-07-01   413
1993-10-01   449
1994-01-01   404
1994-04-01   411
1994-07-01   426
1994-10-01   449
1995-01-01   424
1995-04-01   431
1995-07-01   435
1995-10-01   470
1996-01-01   440
1996-04-01   442
1996-07-01   448
1996-10-01   486
1997-01-01   452
1997-04-01   457
1997-07-01   464
1997-10-01   513
1998-01-01   461
1998-04-01   480
1998-07-01   515
1998-10-01   537
1999-01-01   475
1999-04-01   494
1999-07-01   510
1999-10-01   553
2000-01-01   510
2000-04-01   509
2000-07-01   522
2000-10-01   558
2001-01-01   528
2001-04-01   525
2001-07-01   532
2001-10-01   576
2002-01-01   536
2002-04-01   531
2002-07-01   540
2002-10-01   579
2003-01-01   544
2003-04-01   539
2003-07-01   547
2003-10-01   601
2004-01-01   550
2004-04-01   554
2004-07-01   570
2004-10-01   632
2005-01-01   559
2005-04-01   582
2005-07-01   598
2005-10-01   639
2006-01-01   599
2006-04-01   604
2006-07-01   609
2006-10-01   668
2007-01-01   622
2007-04-01   627
2007-07-01   631
2007-10-01   688
2008-01-01   638
2008-04-01   638
2008-07-01   643
2008-10-01   701
2009-01-01   633
2009-04-01   638
2009-07-01   647
2009-10-01   717
2010-01-01   629
2010-04-01   654
2010-07-01   670
2010-10-01   722
2011-01-01   654
2011-04-01   657
2011-07-01   691
2011-10-01   708
2012-01-01   691
2012-04-01   668
2012-07-01   677
2012-10-01   728
2013-01-01   695
2013-04-01   674
2013-07-01   690
2013-10-01   731
2014-01-01   703
2014-04-01   688
2014-07-01   708
2014-10-01   769
2015-01-01   706
2015-04-01   708
2015-07-01   734
2015-10-01   810
2016-01-01   712
2016-04-01   735
2016-07-01   767
2016-10-01   805
2017-01-01   767
2017-04-01   762
2017-07-01   764
2017-10-01   823
2018-01-01   785
