Title:               Average Weekly Wages for Employees in State Government Establishments in Asheville, NC (MSA)
Series ID:           ENUC117040210
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Dollars per Week
Date Range:          1990-01-01 to 2018-04-01
Last Updated:        2018-12-17 3:32 PM CST
Notes:               Average weekly wages are the wages paid by unemployment insurance
                     covered employers during the calendar quarter, regardless of when the
                     services were performed. Included in wages are pay for vacation and
                     other paid leave, bonuses, stock options, tips, the cash value of
                     meals and lodging, and in some States, contributions to deferred
                     compensation plans (such as 401(k) plans).

DATE       VALUE
1990-01-01   408
1990-04-01   408
1990-07-01   528
1990-10-01   430
1991-01-01   424
1991-04-01   419
1991-07-01   535
1991-10-01   412
1992-01-01   421
1992-04-01   388
1992-07-01   557
1992-10-01   450
1993-01-01   424
1993-04-01   406
1993-07-01   568
1993-10-01   450
1994-01-01   439
1994-04-01   461
1994-07-01   492
1994-10-01   453
1995-01-01   455
1995-04-01   462
1995-07-01   498
1995-10-01   460
1996-01-01   459
1996-04-01   462
1996-07-01   473
1996-10-01   483
1997-01-01   470
1997-04-01   473
1997-07-01   491
1997-10-01   492
1998-01-01   478
1998-04-01   515
1998-07-01   502
1998-10-01   519
1999-01-01   509
1999-04-01   519
1999-07-01   555
1999-10-01   521
2000-01-01   525
2000-04-01   516
2000-07-01   574
2000-10-01   555
2001-01-01   562
2001-04-01   518
2001-07-01   570
2001-10-01   545
2002-01-01   560
2002-04-01   561
2002-07-01   598
2002-10-01   565
2003-01-01   567
2003-04-01   555
2003-07-01   589
2003-10-01     .
2004-01-01   569
2004-04-01   573
2004-07-01   619
2004-10-01   607
2005-01-01   589
2005-04-01   591
2005-07-01   637
2005-10-01   625
2006-01-01   616
2006-04-01   634
2006-07-01   669
2006-10-01   667
2007-01-01   651
2007-04-01   676
2007-07-01   701
2007-10-01   686
2008-01-01   690
2008-04-01   693
2008-07-01   731
2008-10-01   703
2009-01-01   697
2009-04-01   694
2009-07-01   721
2009-10-01   701
2010-01-01   709
2010-04-01   713
2010-07-01   729
2010-10-01   704
2011-01-01   704
2011-04-01   715
2011-07-01   753
2011-10-01   707
2012-01-01   724
2012-04-01   709
2012-07-01   761
2012-10-01   727
2013-01-01   746
2013-04-01   726
2013-07-01   757
2013-10-01   698
2014-01-01   733
2014-04-01   717
2014-07-01   765
2014-10-01   725
2015-01-01   751
2015-04-01   736
2015-07-01   767
2015-10-01   773
2016-01-01   744
2016-04-01   757
2016-07-01   799
2016-10-01   785
2017-01-01   764
2017-04-01   764
2017-07-01   797
2017-10-01   782
2018-01-01   786
2018-04-01   805
