Title:               Average Weekly Wages for Employees in Local Government Establishments in Asheville, NC (MSA)
Series ID:           ENUC117040310
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Dollars per Week
Date Range:          1990-01-01 to 2018-04-01
Last Updated:        2018-12-17 3:32 PM CST
Notes:               Average weekly wages are the wages paid by unemployment insurance
                     covered employers during the calendar quarter, regardless of when the
                     services were performed. Included in wages are pay for vacation and
                     other paid leave, bonuses, stock options, tips, the cash value of
                     meals and lodging, and in some States, contributions to deferred
                     compensation plans (such as 401(k) plans).

DATE       VALUE
1990-01-01   357
1990-04-01   377
1990-07-01   336
1990-10-01   394
1991-01-01   371
1991-04-01   384
1991-07-01   373
1991-10-01   399
1992-01-01   379
1992-04-01   389
1992-07-01   352
1992-10-01   401
1993-01-01   378
1993-04-01   409
1993-07-01   372
1993-10-01   429
1994-01-01   400
1994-04-01   421
1994-07-01   405
1994-10-01   448
1995-01-01   426
1995-04-01   443
1995-07-01   434
1995-10-01   465
1996-01-01   430
1996-04-01   448
1996-07-01   451
1996-10-01   481
1997-01-01   449
1997-04-01   469
1997-07-01   485
1997-10-01   511
1998-01-01   472
1998-04-01   499
1998-07-01   550
1998-10-01   551
1999-01-01   479
1999-04-01   512
1999-07-01   568
1999-10-01   560
2000-01-01   519
2000-04-01   532
2000-07-01   588
2000-10-01   584
2001-01-01   551
2001-04-01   568
2001-07-01   577
2001-10-01   606
2002-01-01   557
2002-04-01   574
2002-07-01   589
2002-10-01   618
2003-01-01   574
2003-04-01   578
2003-07-01   596
2003-10-01     .
2004-01-01   564
2004-04-01   583
2004-07-01   630
2004-10-01   659
2005-01-01   568
2005-04-01   608
2005-07-01   663
2005-10-01   652
2006-01-01   601
2006-04-01   615
2006-07-01   648
2006-10-01   692
2007-01-01   635
2007-04-01   644
2007-07-01   692
2007-10-01   729
2008-01-01   660
2008-04-01   663
2008-07-01   728
2008-10-01   760
2009-01-01   697
2009-04-01   671
2009-07-01   717
2009-10-01   782
2010-01-01   674
2010-04-01   675
2010-07-01   734
2010-10-01   771
2011-01-01   691
2011-04-01   674
2011-07-01   770
2011-10-01   753
2012-01-01   699
2012-04-01   687
2012-07-01   733
2012-10-01   761
2013-01-01   707
2013-04-01   700
2013-07-01   738
2013-10-01   765
2014-01-01   714
2014-04-01   705
2014-07-01   774
2014-10-01   824
2015-01-01   727
2015-04-01   739
2015-07-01   775
2015-10-01   873
2016-01-01   741
2016-04-01   774
2016-07-01   838
2016-10-01   844
2017-01-01   795
2017-04-01   784
2017-07-01   829
2017-10-01   873
2018-01-01   830
2018-04-01   820
