Title:               Average Weekly Wages for Employees in Private Establishments in Asheville, NC (MSA)
Series ID:           ENUC117040510
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Dollars per Week
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:22 AM CDT
Notes:               Average weekly wages are the wages paid by unemployment insurance
                     covered employers during the calendar quarter, regardless of when the
                     services were performed. Included in wages are pay for vacation and
                     other paid leave, bonuses, stock options, tips, the cash value of
                     meals and lodging, and in some States, contributions to deferred
                     compensation plans (such as 401(k) plans).

DATE       VALUE
1990-01-01   350
1990-04-01   352
1990-07-01   352
1990-10-01   387
1991-01-01   359
1991-04-01   371
1991-07-01   369
1991-10-01   399
1992-01-01   383
1992-04-01   386
1992-07-01   392
1992-10-01   446
1993-01-01   377
1993-04-01   398
1993-07-01   406
1993-10-01   447
1994-01-01   397
1994-04-01   403
1994-07-01   419
1994-10-01   444
1995-01-01   416
1995-04-01   423
1995-07-01   427
1995-10-01   465
1996-01-01   432
1996-04-01   433
1996-07-01   439
1996-10-01   480
1997-01-01   444
1997-04-01   448
1997-07-01   454
1997-10-01   506
1998-01-01   452
1998-04-01   469
1998-07-01   506
1998-10-01   529
1999-01-01   466
1999-04-01   483
1999-07-01   495
1999-10-01   546
2000-01-01   499
2000-04-01   498
2000-07-01   505
2000-10-01   548
2001-01-01   514
2001-04-01   510
2001-07-01   518
2001-10-01   565
2002-01-01   524
2002-04-01   516
2002-07-01   525
2002-10-01   566
2003-01-01   529
2003-04-01   522
2003-07-01   529
2003-10-01   587
2004-01-01   533
2004-04-01   537
2004-07-01   548
2004-10-01   618
2005-01-01   543
2005-04-01   566
2005-07-01   578
2005-10-01   627
2006-01-01   586
2006-04-01   586
2006-07-01   589
2006-10-01   653
2007-01-01   606
2007-04-01   608
2007-07-01   610
2007-10-01   670
2008-01-01   619
2008-04-01   617
2008-07-01   617
2008-10-01   678
2009-01-01   605
2009-04-01   614
2009-07-01   620
2009-10-01   693
2010-01-01   605
2010-04-01   633
2010-07-01   648
2010-10-01   699
2011-01-01   632
2011-04-01   633
2011-07-01   663
2011-10-01   688
2012-01-01   670
2012-04-01   649
2012-07-01   651
2012-10-01   710
2013-01-01   673
2013-04-01   654
2013-07-01   666
2013-10-01   716
2014-01-01   681
2014-04-01   671
2014-07-01   683
2014-10-01   753
2015-01-01   684
2015-04-01   691
2015-07-01   713
2015-10-01   793
2016-01-01   693
2016-04-01   718
2016-07-01   744
2016-10-01   788
2017-01-01   750
2017-04-01   745
2017-07-01   745
2017-10-01   805
2018-01-01   767
