Title:               Average Weekly Wages for Employees in Private Establishments in Asheville, NC (MSA)
Series ID:           ENUC117040510SA
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Quarterly
Units:               Dollars per Week
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:25 AM CDT
Notes:               Average weekly wages are the wages paid by unemployment insurance
                     covered employers during the calendar quarter, regardless of when the
                     services were performed. Included in wages are pay for vacation and
                     other paid leave, bonuses, stock options, tips, the cash value of
                     meals and lodging, and in some States, contributions to deferred
                     compensation plans (such as 401(k) plans). 
                     
                     The Federal Reserve Bank of St. Louis seasonally adjusts this series
                     by using the 'x12' package from R with default parameter settings. The
                     package uses the U.S. Bureau of the Census X-12-ARIMA Seasonal
                     Adjustment Program. More information on the 'x12' package can be found
                     at http://cran.r-project.org/web/packages/x12/x12.pdf. More
                     information on X-12-ARIMA can be found at
                     http://www.census.gov/srd/www/x12a/.

DATE        VALUE
1990-01-01  358.1
1990-04-01  358.4
1990-07-01  359.4
1990-10-01  364.5
1991-01-01  367.7
1991-04-01  378.0
1991-07-01  376.2
1991-10-01  375.6
1992-01-01  392.9
1992-04-01  393.7
1992-07-01  398.9
1992-10-01  419.6
1993-01-01  387.0
1993-04-01  406.6
1993-07-01  412.2
1993-10-01  420.4
1994-01-01  407.9
1994-04-01  412.3
1994-07-01  425.0
1994-10-01  417.0
1995-01-01  428.0
1995-04-01  433.4
1995-07-01  432.4
1995-10-01  436.3
1996-01-01  445.2
1996-04-01  443.7
1996-07-01  444.4
1996-10-01  449.9
1997-01-01  458.1
1997-04-01  459.3
1997-07-01  459.5
1997-10-01  474.0
1998-01-01  466.3
1998-04-01  481.0
1998-07-01  512.6
1998-10-01  495.1
1999-01-01  480.2
1999-04-01  496.0
1999-07-01  501.5
1999-10-01  511.5
2000-01-01  512.7
2000-04-01  512.0
2000-07-01  512.4
2000-10-01  513.7
2001-01-01  526.3
2001-04-01  524.8
2001-07-01  526.3
2001-10-01  530.1
2002-01-01  534.9
2002-04-01  531.2
2002-07-01  534.4
2002-10-01  531.0
2003-01-01  539.4
2003-04-01  537.3
2003-07-01  539.0
2003-10-01  550.7
2004-01-01  543.5
2004-04-01  552.1
2004-07-01  559.0
2004-10-01  579.3
2005-01-01  554.2
2005-04-01  581.2
2005-07-01  590.2
2005-10-01  587.2
2006-01-01  598.9
2006-04-01  601.1
2006-07-01  602.0
2006-10-01  610.5
2007-01-01  620.5
2007-04-01  623.4
2007-07-01  623.6
2007-10-01  625.3
2008-01-01  635.1
2008-04-01  633.0
2008-07-01  629.9
2008-10-01  632.5
2009-01-01  621.1
2009-04-01  630.7
2009-07-01  631.9
2009-10-01  647.2
2010-01-01  620.3
2010-04-01  651.4
2010-07-01  659.0
2010-10-01  654.8
2011-01-01  645.6
2011-04-01  652.6
2011-07-01  673.6
2011-10-01  646.2
2012-01-01  682.2
2012-04-01  669.8
2012-07-01  660.9
2012-10-01  668.7
2013-01-01  683.3
2013-04-01  675.2
2013-07-01  676.0
2013-10-01  675.4
2014-01-01  690.9
2014-04-01  692.0
2014-07-01  693.2
2014-10-01  711.4
2015-01-01  693.8
2015-04-01  711.5
2015-07-01  724.2
2015-10-01  749.3
2016-01-01  703.6
2016-04-01  737.9
2016-07-01  756.0
2016-10-01  745.3
2017-01-01  761.3
2017-04-01  764.8
2017-07-01  757.5
2017-10-01  761.8
2018-01-01  778.2
