Title:               Total Quarterly Wages in Burlington, NC (MSA)
Series ID:           ENUC155030010SA
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Quarterly
Units:               Dollars
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:24 AM CDT
Notes:               Total wages are the wages paid by Unemployment Insurance covered
                     employers during the calendar quarter, regardless of when the services
                     were performed.
                     
                     The Federal Reserve Bank of St. Louis seasonally adjusts this series
                     by using the 'x12' package from R with default parameter settings. The
                     package uses the U.S. Bureau of the Census X-12-ARIMA Seasonal
                     Adjustment Program. More information on the 'x12' package can be found
                     at http://cran.r-project.org/web/packages/x12/x12.pdf. More
                     information on X-12-ARIMA can be found at
                     http://www.census.gov/srd/www/x12a/.

DATE            VALUE
1990-01-01  241319624
1990-04-01  243663250
1990-07-01  244393224
1990-10-01  237699138
1991-01-01  249419151
1991-04-01  250531682
1991-07-01  255327783
1991-10-01  257220971
1992-01-01  263923139
1992-04-01  264705023
1992-07-01  263700802
1992-10-01  269083939
1993-01-01  267125391
1993-04-01  277300579
1993-07-01  287487268
1993-10-01  291501017
1994-01-01  289086172
1994-04-01  292857628
1994-07-01  310847899
1994-10-01  304891952
1995-01-01  316010547
1995-04-01  315158691
1995-07-01  313232370
1995-10-01  314745232
1996-01-01  324199122
1996-04-01  334382991
1996-07-01  339266348
1996-10-01  344769579
1997-01-01  352751526
1997-04-01  356723782
1997-07-01  362108751
1997-10-01  372454976
1998-01-01  372813029
1998-04-01  381746550
1998-07-01  380909224
1998-10-01  388839376
1999-01-01  391655073
1999-04-01  407559245
1999-07-01  420351392
1999-10-01  444311324
2000-01-01  439690033
2000-04-01  440435326
2000-07-01  450736948
2000-10-01  440401170
2001-01-01  450813801
2001-04-01  440047204
2001-07-01  436805714
2001-10-01  438458767
2002-01-01  445965878
2002-04-01  442143324
2002-07-01  433807156
2002-10-01  422357731
2003-01-01  429022730
2003-04-01  426906433
2003-07-01  429449394
2003-10-01  428019535
2004-01-01  439816341
2004-04-01  446355193
2004-07-01  451640308
2004-10-01  457628840
2005-01-01  445665019
2005-04-01  458918794
2005-07-01  470704348
2005-10-01  450139789
2006-01-01  480328454
2006-04-01  459580084
2006-07-01  467389384
2006-10-01  509558392
2007-01-01  503799954
2007-04-01  504952210
2007-07-01  499653730
2007-10-01  487203927
2008-01-01  518209062
2008-04-01  527232578
2008-07-01  506642074
2008-10-01  493558525
2009-01-01  466942163
2009-04-01  453021057
2009-07-01  460534945
2009-10-01  465273950
2010-01-01  457523075
2010-04-01  457240478
2010-07-01  468788930
2010-10-01  483530077
2011-01-01  484229828
2011-04-01  495851661
2011-07-01  495886905
2011-10-01  476744896
2012-01-01  510056678
2012-04-01  501325338
2012-07-01  506156951
2012-10-01  498142386
2013-01-01  520732438
2013-04-01  526764471
2013-07-01  511118146
2013-10-01  518375348
2014-01-01  511740095
2014-04-01  516840367
2014-07-01  528467759
2014-10-01  533219340
2015-01-01  530316549
2015-04-01  518827065
2015-07-01  544143296
2015-10-01  564734613
2016-01-01  544935278
2016-04-01  582188962
2016-07-01  594827278
2016-10-01  585539615
2017-01-01  606640357
2017-04-01  607496482
2017-07-01  595812648
2017-10-01  603085062
2018-01-01  621521680
