Title:               Average Weekly Wages for Employees in Total Covered Establishments in Burlington, NC (MSA)
Series ID:           ENUC155040010
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Dollars per Week
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:22 AM CDT
Notes:               Average weekly wages are the wages paid by unemployment insurance
                     covered employers during the calendar quarter, regardless of when the
                     services were performed. Included in wages are pay for vacation and
                     other paid leave, bonuses, stock options, tips, the cash value of
                     meals and lodging, and in some States, contributions to deferred
                     compensation plans (such as 401(k) plans).

DATE       VALUE
1990-01-01   326
1990-04-01   334
1990-07-01   329
1990-10-01   362
1991-01-01   352
1991-04-01   358
1991-07-01   355
1991-10-01   395
1992-01-01   370
1992-04-01   371
1992-07-01   361
1992-10-01   406
1993-01-01   361
1993-04-01   382
1993-07-01   388
1993-10-01   432
1994-01-01   383
1994-04-01   393
1994-07-01   407
1994-10-01   440
1995-01-01   409
1995-04-01   419
1995-07-01   403
1995-10-01   447
1996-01-01   415
1996-04-01   434
1996-07-01   423
1996-10-01   471
1997-01-01   433
1997-04-01   451
1997-07-01   441
1997-10-01   505
1998-01-01   449
1998-04-01   467
1998-07-01   458
1998-10-01   511
1999-01-01   467
1999-04-01   493
1999-07-01   490
1999-10-01   562
2000-01-01   513
2000-04-01   516
2000-07-01   520
2000-10-01   555
2001-01-01   531
2001-04-01   533
2001-07-01   531
2001-10-01   572
2002-01-01   556
2002-04-01   561
2002-07-01   542
2002-10-01   564
2003-01-01   550
2003-04-01   552
2003-07-01   545
2003-10-01   581
2004-01-01   566
2004-04-01   575
2004-07-01   569
2004-10-01   614
2005-01-01   573
2005-04-01   597
2005-07-01   598
2005-10-01   622
2006-01-01   629
2006-04-01   601
2006-07-01   597
2006-10-01   697
2007-01-01   639
2007-04-01   639
2007-07-01   614
2007-10-01   656
2008-01-01   649
2008-04-01   669
2008-07-01   637
2008-10-01   682
2009-01-01   616
2009-04-01   617
2009-07-01   627
2009-10-01   686
2010-01-01   638
2010-04-01   641
2010-07-01   641
2010-10-01   697
2011-01-01   654
2011-04-01   672
2011-07-01   663
2011-10-01   675
2012-01-01   676
2012-04-01   666
2012-07-01   668
2012-10-01   692
2013-01-01   690
2013-04-01   701
2013-07-01   672
2013-10-01   716
2014-01-01   689
2014-04-01   684
2014-07-01   686
2014-10-01   722
2015-01-01   704
2015-04-01   683
2015-07-01   708
2015-10-01   761
2016-01-01   712
2016-04-01   747
2016-07-01   748
2016-10-01   768
2017-01-01   779
2017-04-01   773
2017-07-01   746
2017-10-01   782
2018-01-01   786
