Title:               Average Weekly Wages for Employees in Private Establishments in Burlington, NC (MSA)
Series ID:           ENUC155040510
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Dollars per Week
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:24 AM CDT
Notes:               Average weekly wages are the wages paid by unemployment insurance
                     covered employers during the calendar quarter, regardless of when the
                     services were performed. Included in wages are pay for vacation and
                     other paid leave, bonuses, stock options, tips, the cash value of
                     meals and lodging, and in some States, contributions to deferred
                     compensation plans (such as 401(k) plans).

DATE       VALUE
1990-01-01   321
1990-04-01   331
1990-07-01   327
1990-10-01   358
1991-01-01   347
1991-04-01   355
1991-07-01   353
1991-10-01   393
1992-01-01   366
1992-04-01   368
1992-07-01   356
1992-10-01   405
1993-01-01   356
1993-04-01   379
1993-07-01   385
1993-10-01   432
1994-01-01   380
1994-04-01   391
1994-07-01   406
1994-10-01   441
1995-01-01   406
1995-04-01   418
1995-07-01   403
1995-10-01   448
1996-01-01   413
1996-04-01   435
1996-07-01   421
1996-10-01   473
1997-01-01   432
1997-04-01   450
1997-07-01   438
1997-10-01   508
1998-01-01   448
1998-04-01   467
1998-07-01   454
1998-10-01   512
1999-01-01   467
1999-04-01   492
1999-07-01   489
1999-10-01   565
2000-01-01   515
2000-04-01   516
2000-07-01   518
2000-10-01   555
2001-01-01   531
2001-04-01   530
2001-07-01   530
2001-10-01   572
2002-01-01   557
2002-04-01   554
2002-07-01   535
2002-10-01   561
2003-01-01   548
2003-04-01   551
2003-07-01   543
2003-10-01   579
2004-01-01   567
2004-04-01   577
2004-07-01   565
2004-10-01   618
2005-01-01   573
2005-04-01   600
2005-07-01   596
2005-10-01   626
2006-01-01   632
2006-04-01   602
2006-07-01   591
2006-10-01   704
2007-01-01   639
2007-04-01   640
2007-07-01   606
2007-10-01   653
2008-01-01   648
2008-04-01   673
2008-07-01   628
2008-10-01   680
2009-01-01   609
2009-04-01   612
2009-07-01   619
2009-10-01   685
2010-01-01   634
2010-04-01   640
2010-07-01   635
2010-10-01   698
2011-01-01   654
2011-04-01   673
2011-07-01   660
2011-10-01   674
2012-01-01   678
2012-04-01   668
2012-07-01   665
2012-10-01   692
2013-01-01   693
2013-04-01   706
2013-07-01   670
2013-10-01   720
2014-01-01   692
2014-04-01   686
2014-07-01   684
2014-10-01   723
2015-01-01   706
2015-04-01   682
2015-07-01   705
2015-10-01   762
2016-01-01   712
2016-04-01   754
2016-07-01   745
2016-10-01   771
2017-01-01   783
2017-04-01   780
2017-07-01   742
2017-10-01   787
2018-01-01   789
