Title:               Average Weekly Wages for Employees in Private Establishments in Burlington, NC (MSA)
Series ID:           ENUC155040510SA
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Quarterly
Units:               Dollars per Week
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:24 AM CDT
Notes:               Average weekly wages are the wages paid by unemployment insurance
                     covered employers during the calendar quarter, regardless of when the
                     services were performed. Included in wages are pay for vacation and
                     other paid leave, bonuses, stock options, tips, the cash value of
                     meals and lodging, and in some States, contributions to deferred
                     compensation plans (such as 401(k) plans). 
                     
                     The Federal Reserve Bank of St. Louis seasonally adjusts this series
                     by using the 'x12' package from R with default parameter settings. The
                     package uses the U.S. Bureau of the Census X-12-ARIMA Seasonal
                     Adjustment Program. More information on the 'x12' package can be found
                     at http://cran.r-project.org/web/packages/x12/x12.pdf. More
                     information on X-12-ARIMA can be found at
                     http://www.census.gov/srd/www/x12a/.

DATE        VALUE
1990-01-01  327.5
1990-04-01  335.2
1990-07-01  338.5
1990-10-01  335.4
1991-01-01  354.7
1991-04-01  359.5
1991-07-01  365.0
1991-10-01  367.7
1992-01-01  375.0
1992-04-01  372.6
1992-07-01  367.9
1992-10-01  378.2
1993-01-01  366.0
1993-04-01  383.3
1993-07-01  397.9
1993-10-01  402.8
1994-01-01  391.9
1994-04-01  394.6
1994-07-01  419.9
1994-10-01  410.7
1995-01-01  419.8
1995-04-01  420.7
1995-07-01  417.4
1995-10-01  417.4
1996-01-01  427.3
1996-04-01  436.8
1996-07-01  436.7
1996-10-01  441.0
1997-01-01  446.5
1997-04-01  451.5
1997-07-01  454.6
1997-10-01  474.6
1998-01-01  461.6
1998-04-01  469.1
1998-07-01  470.5
1998-10-01  480.1
1999-01-01  479.0
1999-04-01  495.3
1999-07-01  505.1
1999-10-01  533.4
2000-01-01  525.0
2000-04-01  520.3
2000-07-01  533.2
2000-10-01  528.2
2001-01-01  537.9
2001-04-01  534.7
2001-07-01  544.2
2001-10-01  547.9
2002-01-01  562.1
2002-04-01  558.4
2002-07-01  548.9
2002-10-01  539.4
2003-01-01  552.0
2003-04-01  554.3
2003-07-01  558.2
2003-10-01  556.2
2004-01-01  571.9
2004-04-01  579.2
2004-07-01  582.5
2004-10-01  592.2
2005-01-01  578.7
2005-04-01  601.3
2005-07-01  617.1
2005-10-01  597.1
2006-01-01  639.9
2006-04-01  603.0
2006-07-01  613.0
2006-10-01  669.6
2007-01-01  647.7
2007-04-01  641.4
2007-07-01  629.3
2007-10-01  619.1
2008-01-01  658.3
2008-04-01  675.2
2008-07-01  650.6
2008-10-01  645.4
2009-01-01  618.9
2009-04-01  614.5
2009-07-01  639.1
2009-10-01  651.8
2010-01-01  644.4
2010-04-01  642.7
2010-07-01  653.0
2010-10-01  667.7
2011-01-01  663.1
2011-04-01  675.9
2011-07-01  677.0
2011-10-01  648.0
2012-01-01  685.1
2012-04-01  670.7
2012-07-01  681.3
2012-10-01  668.7
2013-01-01  697.3
2013-04-01  708.6
2013-07-01  685.9
2013-10-01  699.4
2014-01-01  693.4
2014-04-01  687.9
2014-07-01  701.0
2014-10-01  704.5
2015-01-01  704.9
2015-04-01  683.5
2015-07-01  723.3
2015-10-01  744.3
2016-01-01  709.0
2016-04-01  754.9
2016-07-01  765.6
2016-10-01  754.0
2017-01-01  778.6
2017-04-01  780.3
2017-07-01  762.8
2017-10-01  771.2
2018-01-01  783.5
