Title:               Average Weekly Wages for Employees in Federal Government Establishments in Charlotte-Gastonia-Rock Hill, NC-SC (MSA)
Series ID:           ENUC167440110
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Dollars per Week
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:24 AM CDT
Notes:               Average weekly wages are the wages paid by unemployment insurance
                     covered employers during the calendar quarter, regardless of when the
                     services were performed. Included in wages are pay for vacation and
                     other paid leave, bonuses, stock options, tips, the cash value of
                     meals and lodging, and in some States, contributions to deferred
                     compensation plans (such as 401(k) plans).

DATE       VALUE
1990-01-01   619
1990-04-01   480
1990-07-01   597
1990-10-01   599
1991-01-01   636
1991-04-01   611
1991-07-01   697
1991-10-01   662
1992-01-01   735
1992-04-01   656
1992-07-01   726
1992-10-01   804
1993-01-01   744
1993-04-01   701
1993-07-01   775
1993-10-01   769
1994-01-01   734
1994-04-01   693
1994-07-01   799
1994-10-01   796
1995-01-01   755
1995-04-01   713
1995-07-01   766
1995-10-01   826
1996-01-01   754
1996-04-01   800
1996-07-01   761
1996-10-01   878
1997-01-01   791
1997-04-01   826
1997-07-01   772
1997-10-01   860
1998-01-01   775
1998-04-01   848
1998-07-01   781
1998-10-01   864
1999-01-01   785
1999-04-01   875
1999-07-01   799
1999-10-01   913
2000-01-01   888
2000-04-01   757
2000-07-01   799
2000-10-01   882
2001-01-01   961
2001-04-01   896
2001-07-01   942
2001-10-01   907
2002-01-01   974
2002-04-01   958
2002-07-01   987
2002-10-01   958
2003-01-01  1013
2003-04-01   966
2003-07-01  1025
2003-10-01   970
2004-01-01  1110
2004-04-01  1010
2004-07-01  1121
2004-10-01  1085
2005-01-01  1066
2005-04-01  1137
2005-07-01  1033
2005-10-01  1080
2006-01-01  1060
2006-04-01  1122
2006-07-01  1191
2006-10-01  1147
2007-01-01  1107
2007-04-01  1235
2007-07-01  1089
2007-10-01  1255
2008-01-01  1080
2008-04-01  1226
2008-07-01  1082
2008-10-01  1279
2009-01-01  1103
2009-04-01  1175
2009-07-01  1148
2009-10-01  1294
2010-01-01  1132
2010-04-01  1156
2010-07-01  1103
2010-10-01  1373
2011-01-01  1185
2011-04-01  1375
2011-07-01  1291
2011-10-01  1297
2012-01-01  1336
2012-04-01  1267
2012-07-01  1325
2012-10-01  1319
2013-01-01  1375
2013-04-01  1266
2013-07-01  1392
2013-10-01  1232
2014-01-01  1463
2014-04-01  1246
2014-07-01  1426
2014-10-01  1268
2015-01-01  1494
2015-04-01  1244
2015-07-01  1434
2015-10-01  1353
2016-01-01  1343
2016-04-01  1261
2016-07-01  1465
2016-10-01  1464
2017-01-01  1374
2017-04-01  1393
2017-07-01  1356
2017-10-01  1466
2018-01-01  1408
