Title:               Average Weekly Wages for Employees in Total Covered Establishments in Durham, NC (MSA)
Series ID:           ENUC205040010
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Dollars per Week
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:22 AM CDT
Notes:               Average weekly wages are the wages paid by unemployment insurance
                     covered employers during the calendar quarter, regardless of when the
                     services were performed. Included in wages are pay for vacation and
                     other paid leave, bonuses, stock options, tips, the cash value of
                     meals and lodging, and in some States, contributions to deferred
                     compensation plans (such as 401(k) plans).

DATE       VALUE
1990-01-01   463
1990-04-01   458
1990-07-01   472
1990-10-01   495
1991-01-01   501
1991-04-01   483
1991-07-01   512
1991-10-01   536
1992-01-01   513
1992-04-01   510
1992-07-01   556
1992-10-01   573
1993-01-01   510
1993-04-01   533
1993-07-01   551
1993-10-01   594
1994-01-01   550
1994-04-01   536
1994-07-01   578
1994-10-01   585
1995-01-01   585
1995-04-01   574
1995-07-01   590
1995-10-01   621
1996-01-01   607
1996-04-01   594
1996-07-01   598
1996-10-01   652
1997-01-01   679
1997-04-01   626
1997-07-01   640
1997-10-01   718
1998-01-01   694
1998-04-01   639
1998-07-01   656
1998-10-01   745
1999-01-01   753
1999-04-01   710
1999-07-01   728
1999-10-01   783
2000-01-01   833
2000-04-01   793
2000-07-01   825
2000-10-01   825
2001-01-01   860
2001-04-01   809
2001-07-01   785
2001-10-01   839
2002-01-01   860
2002-04-01   799
2002-07-01   801
2002-10-01   831
2003-01-01   870
2003-04-01   811
2003-07-01   831
2003-10-01   871
2004-01-01   917
2004-04-01   834
2004-07-01   856
2004-10-01   923
2005-01-01   908
2005-04-01   878
2005-07-01   900
2005-10-01   910
2006-01-01   993
2006-04-01   904
2006-07-01   929
2006-10-01   967
2007-01-01  1052
2007-04-01   958
2007-07-01   981
2007-10-01  1041
2008-01-01  1099
2008-04-01   999
2008-07-01  1003
2008-10-01  1031
2009-01-01  1086
2009-04-01   991
2009-07-01  1036
2009-10-01  1107
2010-01-01  1125
2010-04-01  1044
2010-07-01  1055
2010-10-01  1149
2011-01-01  1127
2011-04-01  1097
2011-07-01  1128
2011-10-01  1098
2012-01-01  1213
2012-04-01  1077
2012-07-01  1105
2012-10-01  1127
2013-01-01  1176
2013-04-01  1095
2013-07-01  1081
2013-10-01  1150
2014-01-01  1211
2014-04-01  1099
2014-07-01  1107
2014-10-01  1169
2015-01-01  1210
2015-04-01  1103
2015-07-01  1124
2015-10-01  1188
2016-01-01  1176
2016-04-01  1107
2016-07-01  1157
2016-10-01  1175
2017-01-01  1244
2017-04-01  1141
2017-07-01  1147
2017-10-01  1205
2018-01-01  1286
