Title:               Average Weekly Wages for Employees in Federal Government Establishments in Durham, NC (MSA)
Series ID:           ENUC205040110SA
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Quarterly
Units:               Dollars per Week
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:24 AM CDT
Notes:               Average weekly wages are the wages paid by unemployment insurance
                     covered employers during the calendar quarter, regardless of when the
                     services were performed. Included in wages are pay for vacation and
                     other paid leave, bonuses, stock options, tips, the cash value of
                     meals and lodging, and in some States, contributions to deferred
                     compensation plans (such as 401(k) plans). 
                     
                     The Federal Reserve Bank of St. Louis seasonally adjusts this series
                     by using the 'x12' package from R with default parameter settings. The
                     package uses the U.S. Bureau of the Census X-12-ARIMA Seasonal
                     Adjustment Program. More information on the 'x12' package can be found
                     at http://cran.r-project.org/web/packages/x12/x12.pdf. More
                     information on X-12-ARIMA can be found at
                     http://www.census.gov/srd/www/x12a/.

DATE         VALUE
1990-01-01   599.2
1990-04-01   584.4
1990-07-01   613.7
1990-10-01   673.0
1991-01-01   660.8
1991-04-01   701.0
1991-07-01   703.4
1991-10-01   726.4
1992-01-01   741.2
1992-04-01   728.0
1992-07-01   745.3
1992-10-01   752.7
1993-01-01   767.7
1993-04-01   760.8
1993-07-01   793.7
1993-10-01   794.1
1994-01-01   817.2
1994-04-01   834.2
1994-07-01   842.2
1994-10-01   827.7
1995-01-01   835.2
1995-04-01   879.3
1995-07-01   890.0
1995-10-01   796.8
1996-01-01   959.6
1996-04-01   904.6
1996-07-01   853.7
1996-10-01   891.5
1997-01-01   863.9
1997-04-01   839.7
1997-07-01   904.3
1997-10-01   971.2
1998-01-01   914.9
1998-04-01   985.7
1998-07-01   939.0
1998-10-01   902.0
1999-01-01   936.4
1999-04-01  1010.3
1999-07-01   986.0
1999-10-01   962.6
2000-01-01  1020.5
2000-04-01   901.9
2000-07-01   953.8
2000-10-01  1013.4
2001-01-01  1049.0
2001-04-01   996.3
2001-07-01  1055.1
2001-10-01  1084.7
2002-01-01  1087.5
2002-04-01  1137.0
2002-07-01  1175.1
2002-10-01  1159.6
2003-01-01  1201.6
2003-04-01  1272.8
2003-07-01  1228.4
2003-10-01  1240.9
2004-01-01  1259.3
2004-04-01  1260.0
2004-07-01  1294.2
2004-10-01  1329.1
2005-01-01  1309.5
2005-04-01  1350.4
2005-07-01  1310.2
2005-10-01  1325.9
2006-01-01  1350.2
2006-04-01  1496.6
2006-07-01  1529.5
2006-10-01  1371.0
2007-01-01  1508.8
2007-04-01  1444.7
2007-07-01  1493.4
2007-10-01  1385.3
2008-01-01  1325.4
2008-04-01  1076.6
2008-07-01  1082.1
2008-10-01  1103.1
2009-01-01  1169.2
2009-04-01  1206.8
2009-07-01  1203.3
2009-10-01  1578.6
2010-01-01  1407.7
2010-04-01  1540.1
2010-07-01  1466.2
2010-10-01  1615.2
2011-01-01  1523.5
2011-04-01  1674.7
2011-07-01  1614.3
2011-10-01  1551.1
2012-01-01  1587.2
2012-04-01  1559.8
2012-07-01  1588.3
2012-10-01  1540.5
2013-01-01  1557.2
2013-04-01  1551.3
2013-07-01  1535.8
2013-10-01  1540.3
2014-01-01  1557.1
2014-04-01  1548.9
2014-07-01  1635.2
2014-10-01  1496.0
2015-01-01  1657.7
2015-04-01  1582.8
2015-07-01  1662.9
2015-10-01  1576.8
2016-01-01  1622.2
2016-04-01  1597.1
2016-07-01  1717.9
2016-10-01  1703.9
2017-01-01  1659.6
2017-04-01  1771.0
2017-07-01  1600.5
2017-10-01  1755.2
2018-01-01  1716.1
