Title:               Total Quarterly Wages in Fayetteville, NC (MSA)
Series ID:           ENUC221830010
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Dollars
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:24 AM CDT
Notes:               Total wages are the wages paid by Unemployment Insurance covered
                     employers during the calendar quarter, regardless of when the services
                     were performed.

DATE             VALUE
1990-01-01   410495738
1990-04-01   422669186
1990-07-01   413161597
1990-10-01   436106070
1991-01-01   413823478
1991-04-01   445016876
1991-07-01   445490290
1991-10-01   466495708
1992-01-01   457130176
1992-04-01   471016469
1992-07-01   482503319
1992-10-01   533037913
1993-01-01   471750803
1993-04-01   503291183
1993-07-01   508042173
1993-10-01   546452484
1994-01-01   488584818
1994-04-01   521999926
1994-07-01   532523083
1994-10-01   568270505
1995-01-01   533877574
1995-04-01   553569889
1995-07-01   542292116
1995-10-01   596347600
1996-01-01   565448012
1996-04-01   592688887
1996-07-01   578921940
1996-10-01   646287539
1997-01-01   612445541
1997-04-01   628580439
1997-07-01   622378860
1997-10-01   694273126
1998-01-01   645833522
1998-04-01   676680655
1998-07-01   664241290
1998-10-01   763595695
1999-01-01   661405523
1999-04-01   719139785
1999-07-01   721214408
1999-10-01   786020281
2000-01-01   734578949
2000-04-01   751328458
2000-07-01   753286107
2000-10-01   791418176
2001-01-01   757541175
2001-04-01   754064925
2001-07-01   734386591
2001-10-01   793501272
2002-01-01   781350589
2002-04-01   805420188
2002-07-01   792377472
2002-10-01   851131950
2003-01-01   805531207
2003-04-01   823934384
2003-07-01   809437687
2003-10-01   882170979
2004-01-01   817565042
2004-04-01   861141562
2004-07-01   878347960
2004-10-01   939463254
2005-01-01   875615949
2005-04-01   912969195
2005-07-01   961455938
2005-10-01   987725089
2006-01-01   945365583
2006-04-01   970579531
2006-07-01   952599335
2006-10-01  1023046369
2007-01-01  1009914463
2007-04-01  1041878685
2007-07-01  1037674352
2007-10-01  1115905881
2008-01-01  1068610670
2008-04-01  1115184635
2008-07-01  1066274332
2008-10-01  1185030931
2009-01-01  1068033511
2009-04-01  1133442143
2009-07-01  1107129299
2009-10-01  1222799918
2010-01-01  1067221727
2010-04-01  1160811889
2010-07-01  1151251558
2010-10-01  1246852377
2011-01-01  1116284280
2011-04-01  1220486453
2011-07-01  1221257561
2011-10-01  1258086045
2012-01-01  1176557802
2012-04-01  1200001347
2012-07-01  1176204303
2012-10-01  1239705366
2013-01-01  1251386978
2013-04-01  1254989528
2013-07-01  1217177126
2013-10-01  1272984655
2014-01-01  1168903274
2014-04-01  1202148438
2014-07-01  1179390666
2014-10-01  1243397950
2015-01-01  1179762531
2015-04-01  1224083221
2015-07-01  1214391194
2015-10-01  1328631148
2016-01-01  1229927296
2016-04-01  1239417601
2016-07-01  1312329423
2016-10-01  1316848779
2017-01-01  1293325297
2017-04-01  1305075602
2017-07-01  1294892620
2017-10-01  1369469068
2018-01-01  1320833925
