Title:               Total Quarterly Wages in Fayetteville, NC (MSA)
Series ID:           ENUC221830010SA
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Quarterly
Units:               Dollars
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:24 AM CDT
Notes:               Total wages are the wages paid by Unemployment Insurance covered
                     employers during the calendar quarter, regardless of when the services
                     were performed.
                     
                     The Federal Reserve Bank of St. Louis seasonally adjusts this series
                     by using the 'x12' package from R with default parameter settings. The
                     package uses the U.S. Bureau of the Census X-12-ARIMA Seasonal
                     Adjustment Program. More information on the 'x12' package can be found
                     at http://cran.r-project.org/web/packages/x12/x12.pdf. More
                     information on X-12-ARIMA can be found at
                     http://www.census.gov/srd/www/x12a/.

DATE             VALUE
1990-01-01   425822007
1990-04-01   423778363
1990-07-01   417925538
1990-10-01   414905775
1991-01-01   429941177
1991-04-01   446179538
1991-07-01   450361212
1991-10-01   443621017
1992-01-01   475404600
1992-04-01   472184476
1992-07-01   488005886
1992-10-01   506504084
1993-01-01   490416945
1993-04-01   504513439
1993-07-01   514975672
1993-10-01   518701285
1994-01-01   507108715
1994-04-01   523019184
1994-07-01   541885570
1994-10-01   538809582
1995-01-01   552701046
1995-04-01   554253562
1995-07-01   554120197
1995-10-01   565430294
1996-01-01   583274744
1996-04-01   593098613
1996-07-01   593716531
1996-10-01   613088746
1997-01-01   629430651
1997-04-01   629295560
1997-07-01   639381500
1997-10-01   659381084
1998-01-01   661580454
1998-04-01   678265203
1998-07-01   682227789
1998-10-01   726514284
1999-01-01   676087794
1999-04-01   721443015
1999-07-01   739341190
1999-10-01   750376006
2000-01-01   749123201
2000-04-01   754071413
2000-07-01   771118137
2000-10-01   757275030
2001-01-01   771894254
2001-04-01   756771270
2001-07-01   750661073
2001-10-01   760392999
2002-01-01   796335430
2002-04-01   808251250
2002-07-01   808824319
2002-10-01   815878942
2003-01-01   822296030
2003-04-01   826374548
2003-07-01   825011506
2003-10-01   846120240
2004-01-01   835610003
2004-04-01   863254749
2004-07-01   894258401
2004-10-01   901576856
2005-01-01   895848812
2005-04-01   914244603
2005-07-01   978943035
2005-10-01   947694176
2006-01-01   968542312
2006-04-01   970396771
2006-07-01   971046530
2006-10-01   979841642
2007-01-01  1037988271
2007-04-01  1038929147
2007-07-01  1059866624
2007-10-01  1064822494
2008-01-01  1104373588
2008-04-01  1109307238
2008-07-01  1089049706
2008-10-01  1127675421
2009-01-01  1109931792
2009-04-01  1125266646
2009-07-01  1129555759
2009-10-01  1161862907
2010-01-01  1113489909
2010-04-01  1151743088
2010-07-01  1171304336
2010-10-01  1186651581
2011-01-01  1164920608
2011-04-01  1211330986
2011-07-01  1239930164
2011-10-01  1201223464
2012-01-01  1223814187
2012-04-01  1192684532
2012-07-01  1192658800
2012-10-01  1188415611
2013-01-01  1293990265
2013-04-01  1250096632
2013-07-01  1235454406
2013-10-01  1222428546
2014-01-01  1202068587
2014-04-01  1200629782
2014-07-01  1199001574
2014-10-01  1194181145
2015-01-01  1208045459
2015-04-01  1226158544
2015-07-01  1235928633
2015-10-01  1275299820
2016-01-01  1255877559
2016-04-01  1244635101
2016-07-01  1335995964
2016-10-01  1263867248
2017-01-01  1317448119
2017-04-01  1313482634
2017-07-01  1318110243
2017-10-01  1314627800
2018-01-01  1343195530
