Title:               Average Weekly Wages for Employees in Federal Government Establishments in Fayetteville, NC (MSA)
Series ID:           ENUC221840110
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Dollars per Week
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:24 AM CDT
Notes:               Average weekly wages are the wages paid by unemployment insurance
                     covered employers during the calendar quarter, regardless of when the
                     services were performed. Included in wages are pay for vacation and
                     other paid leave, bonuses, stock options, tips, the cash value of
                     meals and lodging, and in some States, contributions to deferred
                     compensation plans (such as 401(k) plans).

DATE       VALUE
1990-01-01   518
1990-04-01   502
1990-07-01   468
1990-10-01   491
1991-01-01   464
1991-04-01   481
1991-07-01   484
1991-10-01   508
1992-01-01   539
1992-04-01   530
1992-07-01   553
1992-10-01   555
1993-01-01   540
1993-04-01   534
1993-07-01   518
1993-10-01   401
1994-01-01   415
1994-04-01   468
1994-07-01   474
1994-10-01   444
1995-01-01   457
1995-04-01   453
1995-07-01   502
1995-10-01   493
1996-01-01   550
1996-04-01   559
1996-07-01   566
1996-10-01   587
1997-01-01   604
1997-04-01   561
1997-07-01   605
1997-10-01   594
1998-01-01   622
1998-04-01   593
1998-07-01   616
1998-10-01   761
1999-01-01   598
1999-04-01   611
1999-07-01   601
1999-10-01   615
2000-01-01   658
2000-04-01   630
2000-07-01   685
2000-10-01   646
2001-01-01   664
2001-04-01   691
2001-07-01   616
2001-10-01   714
2002-01-01   721
2002-04-01   751
2002-07-01   725
2002-10-01   773
2003-01-01   753
2003-04-01   784
2003-07-01   777
2003-10-01   809
2004-01-01   810
2004-04-01   842
2004-07-01   920
2004-10-01   824
2005-01-01   883
2005-04-01   830
2005-07-01   946
2005-10-01   864
2006-01-01   944
2006-04-01   882
2006-07-01  1025
2006-10-01   924
2007-01-01  1026
2007-04-01   957
2007-07-01  1153
2007-10-01   979
2008-01-01  1074
2008-04-01  1063
2008-07-01   987
2008-10-01  1111
2009-01-01  1034
2009-04-01  1078
2009-07-01  1151
2009-10-01  1196
2010-01-01  1048
2010-04-01  1069
2010-07-01  1146
2010-10-01  1225
2011-01-01  1065
2011-04-01  1266
2011-07-01  1193
2011-10-01  1350
2012-01-01  1151
2012-04-01  1227
2012-07-01  1164
2012-10-01  1244
2013-01-01  1176
2013-04-01  1249
2013-07-01  1096
2013-10-01  1253
2014-01-01  1199
2014-04-01  1287
2014-07-01  1218
2014-10-01  1275
2015-01-01  1229
2015-04-01  1284
2015-07-01  1226
2015-10-01  1313
2016-01-01  1340
2016-04-01  1170
2016-07-01  1404
2016-10-01  1269
2017-01-01  1392
2017-04-01  1295
2017-07-01  1412
2017-10-01  1322
2018-01-01  1291
