Title:               Total Quarterly Wages in Goldsboro, NC (MSA)
Series ID:           ENUC241430010
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Dollars
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:23 AM CDT
Notes:               Total wages are the wages paid by Unemployment Insurance covered
                     employers during the calendar quarter, regardless of when the services
                     were performed.

DATE            VALUE
1990-01-01  158286964
1990-04-01  162343653
1990-07-01  167292704
1990-10-01  172842512
1991-01-01  156651500
1991-04-01  161336452
1991-07-01  166444720
1991-10-01  176380197
1992-01-01  165069223
1992-04-01  169455967
1992-07-01  177083646
1992-10-01  195191195
1993-01-01  169800099
1993-04-01  180724483
1993-07-01  193735559
1993-10-01  206075027
1994-01-01  185211473
1994-04-01  192524058
1994-07-01  204252615
1994-10-01  217252949
1995-01-01  198992286
1995-04-01  210362031
1995-07-01  240656962
1995-10-01  233276925
1996-01-01  210818088
1996-04-01  222212336
1996-07-01  219957328
1996-10-01  249344194
1997-01-01  224904812
1997-04-01  236396871
1997-07-01  237994845
1997-10-01  264497516
1998-01-01  239803143
1998-04-01  249891694
1998-07-01  252896909
1998-10-01  279191230
1999-01-01  248779741
1999-04-01  255008900
1999-07-01  264997783
1999-10-01  292375717
2000-01-01  269169365
2000-04-01  275260717
2000-07-01  279167218
2000-10-01  297227465
2001-01-01  281226944
2001-04-01  282218494
2001-07-01  280192296
2001-10-01  298709380
2002-01-01  282343308
2002-04-01  283998315
2002-07-01  288965251
2002-10-01  304544586
2003-01-01  276703332
2003-04-01  276849947
2003-07-01  283182190
2003-10-01  309746646
2004-01-01  280164398
2004-04-01  287561688
2004-07-01  302147131
2004-10-01  325886436
2005-01-01  288288123
2005-04-01  300438694
2005-07-01  315289832
2005-10-01  329448035
2006-01-01  314465270
2006-04-01  319137092
2006-07-01  319689638
2006-10-01  347571481
2007-01-01  329493774
2007-04-01  339937044
2007-07-01  338271620
2007-10-01  368841298
2008-01-01  338492214
2008-04-01  342227673
2008-07-01  346022019
2008-10-01  366243644
2009-01-01  327496438
2009-04-01  336452333
2009-07-01  331018511
2009-10-01  366852969
2010-01-01  309501057
2010-04-01  334624399
2010-07-01  334541820
2010-10-01  367705037
2011-01-01  323948779
2011-04-01  349349550
2011-07-01  363369055
2011-10-01  375932501
2012-01-01  360655736
2012-04-01  363365696
2012-07-01  360182817
2012-10-01  384131775
2013-01-01  358409061
2013-04-01  356337575
2013-07-01  360777296
2013-10-01  373287520
2014-01-01  350208698
2014-04-01  350219597
2014-07-01  358793323
2014-10-01  380262275
2015-01-01  355194262
2015-04-01  361418901
2015-07-01  367259275
2015-10-01  402100951
2016-01-01  353859127
2016-04-01  366095601
2016-07-01  381604979
2016-10-01  396241127
2017-01-01  374744243
2017-04-01  384401957
2017-07-01  373769805
2017-10-01  399754312
2018-01-01  379059582
