Title:               Average Weekly Wages for Employees in Local Government Establishments in Goldsboro, NC (MSA)
Series ID:           ENUC241440310SA
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Quarterly
Units:               Dollars per Week
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:23 AM CDT
Notes:               Average weekly wages are the wages paid by unemployment insurance
                     covered employers during the calendar quarter, regardless of when the
                     services were performed. Included in wages are pay for vacation and
                     other paid leave, bonuses, stock options, tips, the cash value of
                     meals and lodging, and in some States, contributions to deferred
                     compensation plans (such as 401(k) plans). 
                     
                     The Federal Reserve Bank of St. Louis seasonally adjusts this series
                     by using the 'x12' package from R with default parameter settings. The
                     package uses the U.S. Bureau of the Census X-12-ARIMA Seasonal
                     Adjustment Program. More information on the 'x12' package can be found
                     at http://cran.r-project.org/web/packages/x12/x12.pdf. More
                     information on X-12-ARIMA can be found at
                     http://www.census.gov/srd/www/x12a/.

DATE        VALUE
1990-01-01  359.1
1990-04-01  358.5
1990-07-01  387.6
1990-10-01  374.7
1991-01-01  377.0
1991-04-01  381.2
1991-07-01  345.9
1991-10-01  373.8
1992-01-01  373.1
1992-04-01  382.4
1992-07-01  394.8
1992-10-01  382.9
1993-01-01  383.9
1993-04-01  399.4
1993-07-01  340.0
1993-10-01  403.2
1994-01-01  401.6
1994-04-01  391.5
1994-07-01  414.1
1994-10-01  403.0
1995-01-01  423.2
1995-04-01  434.2
1995-07-01  423.3
1995-10-01  439.1
1996-01-01  428.6
1996-04-01  443.1
1996-07-01  429.8
1996-10-01  422.6
1997-01-01  433.4
1997-04-01  424.6
1997-07-01  454.9
1997-10-01  431.7
1998-01-01  456.4
1998-04-01  475.1
1998-07-01  487.1
1998-10-01  503.2
1999-01-01  473.0
1999-04-01  487.8
1999-07-01  494.3
1999-10-01  507.4
2000-01-01  499.5
2000-04-01  489.2
2000-07-01  527.6
2000-10-01  517.5
2001-01-01  631.0
2001-04-01  573.1
2001-07-01  561.3
2001-10-01  517.8
2002-01-01  533.8
2002-04-01  541.9
2002-07-01  527.8
2002-10-01  542.9
2003-01-01  561.2
2003-04-01  571.3
2003-07-01  555.2
2003-10-01  584.2
2004-01-01  592.0
2004-04-01  574.8
2004-07-01  604.1
2004-10-01  599.3
2005-01-01  588.7
2005-04-01  608.7
2005-07-01  641.6
2005-10-01  621.0
2006-01-01  621.3
2006-04-01  635.0
2006-07-01  629.3
2006-10-01  631.0
2007-01-01  651.4
2007-04-01  671.4
2007-07-01  660.8
2007-10-01  674.5
2008-01-01  678.0
2008-04-01  680.0
2008-07-01  686.1
2008-10-01  699.7
2009-01-01  693.1
2009-04-01  691.0
2009-07-01  672.2
2009-10-01  702.1
2010-01-01  626.7
2010-04-01  616.4
2010-07-01  645.6
2010-10-01  620.2
2011-01-01  626.0
2011-04-01  619.0
2011-07-01  640.5
2011-10-01  626.0
2012-01-01  629.8
2012-04-01  636.6
2012-07-01  622.0
2012-10-01  626.2
2013-01-01  632.4
2013-04-01  635.9
2013-07-01  625.6
2013-10-01  635.5
2014-01-01  637.9
2014-04-01  643.5
2014-07-01  662.6
2014-10-01  662.2
2015-01-01  663.1
2015-04-01  672.3
2015-07-01  663.6
2015-10-01  697.2
2016-01-01  661.2
2016-04-01  682.4
2016-07-01  690.1
2016-10-01  697.7
2017-01-01  696.6
2017-04-01  689.8
2017-07-01  698.6
2017-10-01  702.3
2018-01-01  718.5
