Title:               Total Quarterly Wages in Greensboro-High Point, NC (MSA)
Series ID:           ENUC246630010SA
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Quarterly
Units:               Dollars
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:24 AM CDT
Notes:               Total wages are the wages paid by Unemployment Insurance covered
                     employers during the calendar quarter, regardless of when the services
                     were performed.
                     
                     The Federal Reserve Bank of St. Louis seasonally adjusts this series
                     by using the 'x12' package from R with default parameter settings. The
                     package uses the U.S. Bureau of the Census X-12-ARIMA Seasonal
                     Adjustment Program. More information on the 'x12' package can be found
                     at http://cran.r-project.org/web/packages/x12/x12.pdf. More
                     information on X-12-ARIMA can be found at
                     http://www.census.gov/srd/www/x12a/.

DATE             VALUE
1990-01-01  1611184058
1990-04-01  1602062810
1990-07-01  1573589112
1990-10-01  1578051015
1991-01-01  1570179174
1991-04-01  1601321604
1991-07-01  1605196467
1991-10-01  1596898349
1992-01-01  1679688002
1992-04-01  1702922358
1992-07-01  1761421684
1992-10-01  1855683144
1993-01-01  1722623170
1993-04-01  1820379054
1993-07-01  1856169196
1993-10-01  1925055553
1994-01-01  1881035707
1994-04-01  1931248636
1994-07-01  2021033418
1994-10-01  2007395252
1995-01-01  2094639014
1995-04-01  2094765969
1995-07-01  2101256523
1995-10-01  2141483283
1996-01-01  2198924134
1996-04-01  2231617348
1996-07-01  2218459612
1996-10-01  2279652933
1997-01-01  2312944244
1997-04-01  2342782032
1997-07-01  2373233803
1997-10-01  2417660306
1998-01-01  2424391610
1998-04-01  2495715284
1998-07-01  2540032520
1998-10-01  2702344868
1999-01-01  2569465112
1999-04-01  2705787916
1999-07-01  2753802786
1999-10-01  2797525117
2000-01-01  2779924423
2000-04-01  2804802176
2000-07-01  2830942044
2000-10-01  2807789387
2001-01-01  2860161987
2001-04-01  2823265750
2001-07-01  2811577344
2001-10-01  2775075545
2002-01-01  2808853525
2002-04-01  2818491775
2002-07-01  2810668791
2002-10-01  2788323645
2003-01-01  2849517640
2003-04-01  2805781933
2003-07-01  2824384424
2003-10-01  2875167195
2004-01-01  2847783296
2004-04-01  2914081342
2004-07-01  2952633171
2004-10-01  3044252553
2005-01-01  2953455799
2005-04-01  3031966474
2005-07-01  3155510519
2005-10-01  3089758080
2006-01-01  3151107367
2006-04-01  3189061497
2006-07-01  3174327106
2006-10-01  3256496443
2007-01-01  3378861797
2007-04-01  3364537536
2007-07-01  3317259945
2007-10-01  3353265228
2008-01-01  3413613835
2008-04-01  3381014476
2008-07-01  3395810698
2008-10-01  3297768541
2009-01-01  3157499774
2009-04-01  3139175516
2009-07-01  3105166424
2009-10-01  3190862869
2010-01-01  3083672053
2010-04-01  3192920445
2010-07-01  3228009808
2010-10-01  3276099306
2011-01-01  3237016805
2011-04-01  3310429795
2011-07-01  3397702884
2011-10-01  3247877568
2012-01-01  3459650354
2012-04-01  3354333180
2012-07-01  3387395435
2012-10-01  3449215975
2013-01-01  3516611898
2013-04-01  3494474133
2013-07-01  3440672409
2013-10-01  3476454951
2014-01-01  3569671020
2014-04-01  3526265544
2014-07-01  3601477424
2014-10-01  3653773266
2015-01-01  3682960209
2015-04-01  3701546088
2015-07-01  3745345053
2015-10-01  3896236050
2016-01-01  3634639406
2016-04-01  3811451136
2016-07-01  3907955500
2016-10-01  3806038639
2017-01-01  3916260437
2017-04-01  3958777248
2017-07-01  3922517212
2017-10-01  3966098080
2018-01-01  4019484265
