Title:               Average Weekly Wages for Employees in Total Covered Establishments in Greensboro-High Point, NC (MSA)
Series ID:           ENUC246640010
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Dollars per Week
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:21 AM CDT
Notes:               Average weekly wages are the wages paid by unemployment insurance
                     covered employers during the calendar quarter, regardless of when the
                     services were performed. Included in wages are pay for vacation and
                     other paid leave, bonuses, stock options, tips, the cash value of
                     meals and lodging, and in some States, contributions to deferred
                     compensation plans (such as 401(k) plans).

DATE       VALUE
1990-01-01   401
1990-04-01   398
1990-07-01   389
1990-10-01   425
1991-01-01   405
1991-04-01   414
1991-07-01   411
1991-10-01   438
1992-01-01   429
1992-04-01   429
1992-07-01   441
1992-10-01   491
1993-01-01   427
1993-04-01   442
1993-07-01   442
1993-10-01   489
1994-01-01   448
1994-04-01   449
1994-07-01   464
1994-10-01   493
1995-01-01   481
1995-04-01   473
1995-07-01   470
1995-10-01   513
1996-01-01   496
1996-04-01   495
1996-07-01   487
1996-10-01   538
1997-01-01   510
1997-04-01   509
1997-07-01   504
1997-10-01   559
1998-01-01   527
1998-04-01   539
1998-07-01   533
1998-10-01   608
1999-01-01   546
1999-04-01   566
1999-07-01   570
1999-10-01   612
2000-01-01   587
2000-04-01   582
2000-07-01   583
2000-10-01   620
2001-01-01   607
2001-04-01   596
2001-07-01   599
2001-10-01   639
2002-01-01   618
2002-04-01   609
2002-07-01   610
2002-10-01   644
2003-01-01   633
2003-04-01   615
2003-07-01   624
2003-10-01   673
2004-01-01   641
2004-04-01   637
2004-07-01   643
2004-10-01   703
2005-01-01   648
2005-04-01   652
2005-07-01   676
2005-10-01   707
2006-01-01   683
2006-04-01   677
2006-07-01   671
2006-10-01   729
2007-01-01   723
2007-04-01   704
2007-07-01   690
2007-10-01   745
2008-01-01   729
2008-04-01   713
2008-07-01   717
2008-10-01   758
2009-01-01   716
2009-04-01   712
2009-07-01   714
2009-10-01   783
2010-01-01   727
2010-04-01   731
2010-07-01   741
2010-10-01   797
2011-01-01   756
2011-04-01   742
2011-07-01   771
2011-10-01   781
2012-01-01   805
2012-04-01   748
2012-07-01   768
2012-10-01   821
2013-01-01   821
2013-04-01   772
2013-07-01   771
2013-10-01   819
2014-01-01   835
2014-04-01   772
2014-07-01   800
2014-10-01   846
2015-01-01   847
2015-04-01   795
2015-07-01   814
2015-10-01   886
2016-01-01   824
2016-04-01   814
2016-07-01   841
2016-10-01   856
2017-01-01   880
2017-04-01   844
2017-07-01   843
2017-10-01   899
2018-01-01   899
