Title:               Average Weekly Wages for Employees in Federal Government Establishments in Greensboro-High Point, NC (MSA)
Series ID:           ENUC246640110SA
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Quarterly
Units:               Dollars per Week
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:24 AM CDT
Notes:               Average weekly wages are the wages paid by unemployment insurance
                     covered employers during the calendar quarter, regardless of when the
                     services were performed. Included in wages are pay for vacation and
                     other paid leave, bonuses, stock options, tips, the cash value of
                     meals and lodging, and in some States, contributions to deferred
                     compensation plans (such as 401(k) plans). 
                     
                     The Federal Reserve Bank of St. Louis seasonally adjusts this series
                     by using the 'x12' package from R with default parameter settings. The
                     package uses the U.S. Bureau of the Census X-12-ARIMA Seasonal
                     Adjustment Program. More information on the 'x12' package can be found
                     at http://cran.r-project.org/web/packages/x12/x12.pdf. More
                     information on X-12-ARIMA can be found at
                     http://www.census.gov/srd/www/x12a/.

DATE         VALUE
1990-01-01   624.4
1990-04-01   591.7
1990-07-01   635.9
1990-10-01   639.8
1991-01-01   680.4
1991-04-01   695.7
1991-07-01   698.7
1991-10-01   625.3
1992-01-01   740.4
1992-04-01   723.0
1992-07-01   704.4
1992-10-01   765.7
1993-01-01   729.2
1993-04-01   757.1
1993-07-01   777.4
1993-10-01   759.7
1994-01-01   763.0
1994-04-01   729.0
1994-07-01   737.2
1994-10-01   712.7
1995-01-01   708.1
1995-04-01   670.1
1995-07-01   777.8
1995-10-01   743.7
1996-01-01   741.1
1996-04-01   790.6
1996-07-01   740.3
1996-10-01   776.1
1997-01-01   772.3
1997-04-01   766.8
1997-07-01   768.4
1997-10-01   770.1
1998-01-01   777.4
1998-04-01   805.1
1998-07-01   795.5
1998-10-01   815.5
1999-01-01   783.8
1999-04-01   842.4
1999-07-01   823.2
1999-10-01   886.4
2000-01-01   900.8
2000-04-01   813.5
2000-07-01   864.6
2000-10-01   844.2
2001-01-01   915.6
2001-04-01   909.8
2001-07-01   951.0
2001-10-01   928.7
2002-01-01   924.5
2002-04-01   977.0
2002-07-01   963.6
2002-10-01   977.7
2003-01-01   984.8
2003-04-01   973.5
2003-07-01  1003.7
2003-10-01   988.7
2004-01-01  1074.4
2004-04-01  1011.2
2004-07-01  1096.4
2004-10-01  1112.2
2005-01-01  1067.3
2005-04-01  1133.3
2005-07-01  1044.0
2005-10-01  1049.5
2006-01-01  1074.7
2006-04-01  1045.3
2006-07-01  1215.2
2006-10-01  1063.5
2007-01-01  1104.9
2007-04-01  1152.8
2007-07-01  1099.3
2007-10-01  1139.4
2008-01-01  1081.0
2008-04-01  1123.8
2008-07-01  1101.9
2008-10-01  1137.8
2009-01-01  1110.6
2009-04-01  1113.6
2009-07-01  1145.2
2009-10-01  1187.0
2010-01-01  1127.9
2010-04-01  1124.3
2010-07-01  1110.2
2010-10-01  1258.3
2011-01-01  1138.9
2011-04-01  1302.6
2011-07-01  1270.0
2011-10-01  1192.7
2012-01-01  1241.3
2012-04-01  1180.8
2012-07-01  1230.6
2012-10-01  1232.5
2013-01-01  1214.8
2013-04-01  1218.5
2013-07-01  1214.5
2013-10-01  1160.2
2014-01-01  1248.2
2014-04-01  1233.4
2014-07-01  1250.3
2014-10-01  1164.1
2015-01-01  1317.1
2015-04-01  1253.6
2015-07-01  1299.9
2015-10-01  1305.4
2016-01-01  1209.3
2016-04-01  1223.2
2016-07-01  1293.0
2016-10-01  1277.9
2017-01-01  1246.3
2017-04-01  1362.4
2017-07-01  1209.9
2017-10-01  1303.0
2018-01-01  1314.5
