Title:               Average Weekly Wages for Employees in State Government Establishments in Greensboro-High Point, NC (MSA)
Series ID:           ENUC246640210
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Dollars per Week
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:24 AM CDT
Notes:               Average weekly wages are the wages paid by unemployment insurance
                     covered employers during the calendar quarter, regardless of when the
                     services were performed. Included in wages are pay for vacation and
                     other paid leave, bonuses, stock options, tips, the cash value of
                     meals and lodging, and in some States, contributions to deferred
                     compensation plans (such as 401(k) plans).

DATE       VALUE
1990-01-01   440
1990-04-01   453
1990-07-01   565
1990-10-01   456
1991-01-01   461
1991-04-01   475
1991-07-01   578
1991-10-01   457
1992-01-01   459
1992-04-01   449
1992-07-01   550
1992-10-01   466
1993-01-01   455
1993-04-01   461
1993-07-01   594
1993-10-01   493
1994-01-01   476
1994-04-01   495
1994-07-01   545
1994-10-01   496
1995-01-01   497
1995-04-01   516
1995-07-01   557
1995-10-01   511
1996-01-01   562
1996-04-01   515
1996-07-01   541
1996-10-01   537
1997-01-01   532
1997-04-01   557
1997-07-01   563
1997-10-01   584
1998-01-01   557
1998-04-01   566
1998-07-01   574
1998-10-01   593
1999-01-01   572
1999-04-01   598
1999-07-01   624
1999-10-01   605
2000-01-01   593
2000-04-01   600
2000-07-01   653
2000-10-01   626
2001-01-01   613
2001-04-01   630
2001-07-01   653
2001-10-01   626
2002-01-01   631
2002-04-01   652
2002-07-01   679
2002-10-01   654
2003-01-01   649
2003-04-01   659
2003-07-01   686
2003-10-01   673
2004-01-01   664
2004-04-01   679
2004-07-01   730
2004-10-01   695
2005-01-01   688
2005-04-01   713
2005-07-01   746
2005-10-01   729
2006-01-01   718
2006-04-01   731
2006-07-01   799
2006-10-01   767
2007-01-01   763
2007-04-01   794
2007-07-01   848
2007-10-01   812
2008-01-01   806
2008-04-01   823
2008-07-01   874
2008-10-01   833
2009-01-01   821
2009-04-01   827
2009-07-01   880
2009-10-01   838
2010-01-01   827
2010-04-01   824
2010-07-01   870
2010-10-01   821
2011-01-01   817
2011-04-01   844
2011-07-01   873
2011-10-01   827
2012-01-01   841
2012-04-01   860
2012-07-01   880
2012-10-01   849
2013-01-01   853
2013-04-01   864
2013-07-01   882
2013-10-01   841
2014-01-01   847
2014-04-01   854
2014-07-01   884
2014-10-01   851
2015-01-01   861
2015-04-01   875
2015-07-01   903
2015-10-01   923
2016-01-01   873
2016-04-01   889
2016-07-01   932
2016-10-01   949
2017-01-01   893
2017-04-01   926
2017-07-01   942
2017-10-01   927
2018-01-01   917
