Title:               Average Weekly Wages for Employees in Private Establishments in Greenville, NC (MSA)
Series ID:           ENUC247840510
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Dollars per Week
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:21 AM CDT
Notes:               Average weekly wages are the wages paid by unemployment insurance
                     covered employers during the calendar quarter, regardless of when the
                     services were performed. Included in wages are pay for vacation and
                     other paid leave, bonuses, stock options, tips, the cash value of
                     meals and lodging, and in some States, contributions to deferred
                     compensation plans (such as 401(k) plans).

DATE       VALUE
1990-01-01   310
1990-04-01   325
1990-07-01   317
1990-10-01   376
1991-01-01   343
1991-04-01   346
1991-07-01   345
1991-10-01   387
1992-01-01   349
1992-04-01   357
1992-07-01   363
1992-10-01   424
1993-01-01   350
1993-04-01   372
1993-07-01   381
1993-10-01   419
1994-01-01   375
1994-04-01   376
1994-07-01   390
1994-10-01   412
1995-01-01   382
1995-04-01   393
1995-07-01   388
1995-10-01   409
1996-01-01   394
1996-04-01   400
1996-07-01   398
1996-10-01   441
1997-01-01   414
1997-04-01   439
1997-07-01   404
1997-10-01   457
1998-01-01   400
1998-04-01   430
1998-07-01   426
1998-10-01   491
1999-01-01   431
1999-04-01   438
1999-07-01   444
1999-10-01   492
2000-01-01   456
2000-04-01   463
2000-07-01   441
2000-10-01   538
2001-01-01   461
2001-04-01   469
2001-07-01   463
2001-10-01   516
2002-01-01   479
2002-04-01   483
2002-07-01   476
2002-10-01   520
2003-01-01   483
2003-04-01   487
2003-07-01   495
2003-10-01   549
2004-01-01   484
2004-04-01   503
2004-07-01   512
2004-10-01   568
2005-01-01   504
2005-04-01   513
2005-07-01   531
2005-10-01   566
2006-01-01   530
2006-04-01   528
2006-07-01   538
2006-10-01   576
2007-01-01   548
2007-04-01   547
2007-07-01   556
2007-10-01   606
2008-01-01   561
2008-04-01   551
2008-07-01   557
2008-10-01   610
2009-01-01   553
2009-04-01   566
2009-07-01   579
2009-10-01   647
2010-01-01   570
2010-04-01   583
2010-07-01   609
2010-10-01   665
2011-01-01   597
2011-04-01   609
2011-07-01   628
2011-10-01   670
2012-01-01   637
2012-04-01   630
2012-07-01   636
2012-10-01   722
2013-01-01   660
2013-04-01   647
2013-07-01   650
2013-10-01   712
2014-01-01   679
2014-04-01   664
2014-07-01   674
2014-10-01   754
2015-01-01   677
2015-04-01   685
2015-07-01   683
2015-10-01   764
2016-01-01   701
2016-04-01   697
2016-07-01   738
2016-10-01   766
2017-01-01   731
2017-04-01   716
2017-07-01   770
2017-10-01   784
2018-01-01   756
