Title:               Total Quarterly Wages in Hickory-Lenoir-Morganton, NC (MSA)
Series ID:           ENUC258630010SA
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Quarterly
Units:               Dollars
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:21 AM CDT
Notes:               Total wages are the wages paid by Unemployment Insurance covered
                     employers during the calendar quarter, regardless of when the services
                     were performed.
                     
                     The Federal Reserve Bank of St. Louis seasonally adjusts this series
                     by using the 'x12' package from R with default parameter settings. The
                     package uses the U.S. Bureau of the Census X-12-ARIMA Seasonal
                     Adjustment Program. More information on the 'x12' package can be found
                     at http://cran.r-project.org/web/packages/x12/x12.pdf. More
                     information on X-12-ARIMA can be found at
                     http://www.census.gov/srd/www/x12a/.

DATE             VALUE
1990-01-01   740790354
1990-04-01   738486108
1990-07-01   731780858
1990-10-01   726254482
1991-01-01   721034536
1991-04-01   735782188
1991-07-01   740908395
1991-10-01   749603318
1992-01-01   780207678
1992-04-01   793112596
1992-07-01   793520556
1992-10-01   828002290
1993-01-01   807107065
1993-04-01   832223090
1993-07-01   872804354
1993-10-01   877353690
1994-01-01   870522567
1994-04-01   890697183
1994-07-01   923743602
1994-10-01   944689474
1995-01-01   953243186
1995-04-01   935579728
1995-07-01   924774402
1995-10-01   933582398
1996-01-01   956681821
1996-04-01   970329948
1996-07-01   973782164
1996-10-01   997776253
1997-01-01  1020289942
1997-04-01  1033594047
1997-07-01  1028889855
1997-10-01  1048607792
1998-01-01  1060253311
1998-04-01  1093461065
1998-07-01  1116587381
1998-10-01  1152611811
1999-01-01  1111401761
1999-04-01  1138469081
1999-07-01  1211798042
1999-10-01  1215206567
2000-01-01  1239321640
2000-04-01  1245241840
2000-07-01  1242511296
2000-10-01  1230672334
2001-01-01  1255202188
2001-04-01  1206480589
2001-07-01  1180756481
2001-10-01  1169788207
2002-01-01  1176959817
2002-04-01  1187941318
2002-07-01  1161070708
2002-10-01  1148613489
2003-01-01  1147776881
2003-04-01  1133110952
2003-07-01  1124786940
2003-10-01  1160990083
2004-01-01  1153144554
2004-04-01  1176394280
2004-07-01  1219654296
2004-10-01  1213469007
2005-01-01  1175478920
2005-04-01  1201961652
2005-07-01  1234558026
2005-10-01  1195489842
2006-01-01  1277496102
2006-04-01  1253260176
2006-07-01  1241150465
2006-10-01  1253763041
2007-01-01  1299730810
2007-04-01  1283222864
2007-07-01  1280998149
2007-10-01  1271583698
2008-01-01  1291275785
2008-04-01  1280202718
2008-07-01  1245139782
2008-10-01  1224421861
2009-01-01  1137468173
2009-04-01  1122815622
2009-07-01  1111715307
2009-10-01  1158641249
2010-01-01  1102323343
2010-04-01  1156764308
2010-07-01  1166867233
2010-10-01  1186236408
2011-01-01  1183436469
2011-04-01  1183887209
2011-07-01  1214142463
2011-10-01  1188977736
2012-01-01  1207843333
2012-04-01  1205353866
2012-07-01  1202133434
2012-10-01  1212336294
2013-01-01  1227359147
2013-04-01  1232777476
2013-07-01  1237195372
2013-10-01  1234850904
2014-01-01  1248394640
2014-04-01  1271384019
2014-07-01  1276571796
2014-10-01  1309239399
2015-01-01  1310402090
2015-04-01  1330358465
2015-07-01  1357921507
2015-10-01  1439636127
2016-01-01  1330381793
2016-04-01  1403105976
2016-07-01  1460729117
2016-10-01  1442870868
2017-01-01  1511234682
2017-04-01  1493815896
2017-07-01  1477224622
2017-10-01  1504555365
2018-01-01  1550682548
