Title:               Average Weekly Wages for Employees in Private Establishments in Hickory-Lenoir-Morganton, NC (MSA)
Series ID:           ENUC258640510
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Dollars per Week
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:23 AM CDT
Notes:               Average weekly wages are the wages paid by unemployment insurance
                     covered employers during the calendar quarter, regardless of when the
                     services were performed. Included in wages are pay for vacation and
                     other paid leave, bonuses, stock options, tips, the cash value of
                     meals and lodging, and in some States, contributions to deferred
                     compensation plans (such as 401(k) plans).

DATE       VALUE
1990-01-01   338
1990-04-01   347
1990-07-01   333
1990-10-01   374
1991-01-01   337
1991-04-01   358
1991-07-01   347
1991-10-01   388
1992-01-01   360
1992-04-01   372
1992-07-01   357
1992-10-01   420
1993-01-01   361
1993-04-01   381
1993-07-01   384
1993-10-01   431
1994-01-01   381
1994-04-01   397
1994-07-01   398
1994-10-01   453
1995-01-01   406
1995-04-01   411
1995-07-01   393
1995-10-01   444
1996-01-01   409
1996-04-01   429
1996-07-01   413
1996-10-01   469
1997-01-01   434
1997-04-01   448
1997-07-01   428
1997-10-01   490
1998-01-01   449
1998-04-01   472
1998-07-01   459
1998-10-01   529
1999-01-01   465
1999-04-01   482
1999-07-01   493
1999-10-01   545
2000-01-01   506
2000-04-01   511
2000-07-01   492
2000-10-01   544
2001-01-01   510
2001-04-01   510
2001-07-01   500
2001-10-01   558
2002-01-01   519
2002-04-01   532
2002-07-01   514
2002-10-01   567
2003-01-01   525
2003-04-01   530
2003-07-01   522
2003-10-01   592
2004-01-01   534
2004-04-01   548
2004-07-01   560
2004-10-01   614
2005-01-01   548
2005-04-01   564
2005-07-01   577
2005-10-01   607
2006-01-01   600
2006-04-01   586
2006-07-01   572
2006-10-01   631
2007-01-01   612
2007-04-01   604
2007-07-01   593
2007-10-01   652
2008-01-01   619
2008-04-01   618
2008-07-01   593
2008-10-01   652
2009-01-01   583
2009-04-01   593
2009-07-01   590
2009-10-01   676
2010-01-01   593
2010-04-01   624
2010-07-01   625
2010-10-01   684
2011-01-01   638
2011-04-01   628
2011-07-01   649
2011-10-01   682
2012-01-01   656
2012-04-01   644
2012-07-01   635
2012-10-01   692
2013-01-01   662
2013-04-01   651
2013-07-01   648
2013-10-01   690
2014-01-01   673
2014-04-01   670
2014-07-01   662
2014-10-01   723
2015-01-01   700
2015-04-01   690
2015-07-01   695
2015-10-01   779
2016-01-01   698
2016-04-01   713
2016-07-01   729
2016-10-01   768
2017-01-01   780
2017-04-01   740
2017-07-01   721
2017-10-01   788
2018-01-01   798
