Title:               Average Weekly Wages for Employees in Private Establishments in Hickory-Lenoir-Morganton, NC (MSA)
Series ID:           ENUC258640510SA
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Quarterly
Units:               Dollars per Week
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:23 AM CDT
Notes:               Average weekly wages are the wages paid by unemployment insurance
                     covered employers during the calendar quarter, regardless of when the
                     services were performed. Included in wages are pay for vacation and
                     other paid leave, bonuses, stock options, tips, the cash value of
                     meals and lodging, and in some States, contributions to deferred
                     compensation plans (such as 401(k) plans). 
                     
                     The Federal Reserve Bank of St. Louis seasonally adjusts this series
                     by using the 'x12' package from R with default parameter settings. The
                     package uses the U.S. Bureau of the Census X-12-ARIMA Seasonal
                     Adjustment Program. More information on the 'x12' package can be found
                     at http://cran.r-project.org/web/packages/x12/x12.pdf. More
                     information on X-12-ARIMA can be found at
                     http://www.census.gov/srd/www/x12a/.

DATE        VALUE
1990-01-01  349.9
1990-04-01  348.1
1990-07-01  346.2
1990-10-01  347.7
1991-01-01  348.9
1991-04-01  359.5
1991-07-01  360.4
1991-10-01  360.5
1992-01-01  372.8
1992-04-01  374.1
1992-07-01  370.6
1992-10-01  390.0
1993-01-01  373.7
1993-04-01  383.6
1993-07-01  398.8
1993-10-01  400.0
1994-01-01  394.0
1994-04-01  399.7
1994-07-01  413.8
1994-10-01  420.5
1995-01-01  419.4
1995-04-01  413.4
1995-07-01  409.5
1995-10-01  412.3
1996-01-01  422.0
1996-04-01  430.9
1996-07-01  430.9
1996-10-01  436.2
1997-01-01  447.0
1997-04-01  449.5
1997-07-01  446.9
1997-10-01  456.7
1998-01-01  461.2
1998-04-01  474.1
1998-07-01  478.8
1998-10-01  494.0
1999-01-01  476.5
1999-04-01  484.9
1999-07-01  513.4
1999-10-01  509.9
2000-01-01  517.4
2000-04-01  515.3
2000-07-01  511.4
2000-10-01  509.4
2001-01-01  521.0
2001-04-01  515.4
2001-07-01  518.6
2001-10-01  522.4
2002-01-01  530.3
2002-04-01  538.9
2002-07-01  531.8
2002-10-01  530.7
2003-01-01  536.9
2003-04-01  537.6
2003-07-01  538.8
2003-10-01  554.6
2004-01-01  545.8
2004-04-01  556.7
2004-07-01  576.9
2004-10-01  576.3
2005-01-01  558.9
2005-04-01  573.4
2005-07-01  594.4
2005-10-01  570.9
2006-01-01  610.3
2006-04-01  595.6
2006-07-01  589.8
2006-10-01  594.5
2007-01-01  621.1
2007-04-01  613.4
2007-07-01  612.5
2007-10-01  614.7
2008-01-01  627.2
2008-04-01  627.7
2008-07-01  612.5
2008-10-01  615.3
2009-01-01  590.0
2009-04-01  602.9
2009-07-01  608.8
2009-10-01  638.4
2010-01-01  599.8
2010-04-01  635.2
2010-07-01  643.2
2010-10-01  648.0
2011-01-01  643.8
2011-04-01  639.7
2011-07-01  666.9
2011-10-01  648.5
2012-01-01  659.6
2012-04-01  656.5
2012-07-01  651.7
2012-10-01  660.9
2013-01-01  662.7
2013-04-01  663.8
2013-07-01  665.6
2013-10-01  660.8
2014-01-01  671.1
2014-04-01  683.2
2014-07-01  681.0
2014-10-01  694.2
2015-01-01  694.7
2015-04-01  704.0
2015-07-01  716.8
2015-10-01  748.9
2016-01-01  689.4
2016-04-01  728.6
2016-07-01  753.3
2016-10-01  739.2
2017-01-01  767.1
2017-04-01  757.3
2017-07-01  746.3
2017-10-01  758.8
2018-01-01  782.5
